Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Total,,Total,Contiguous US,1324939.1340000008,31.15518441196938,338907,86799.0,36803.0,20520.0,95864.0,183386.0,126600.0,156361.0,232566.0,204991.0,164865.0,16170.0
Total,,Cooperative,Contiguous US,10411.509999999998,21.046511627906977,2274,699.0,122.0,305.0,221.0,1346.0,693.0,839.0,1913.0,2066.0,1978.0,225.0
Total,,Privately Owned,Contiguous US,71853.75900000002,21.932960893854748,16368,1733.0,1010.0,679.0,3770.0,10067.0,8024.0,9312.0,14520.0,12453.0,9351.0,932.0
Total,,Investor Owned,Contiguous US,1094633.9169999997,29.065384615384616,287311,70651.0,34008.0,18348.0,79951.0,154727.0,106882.0,129574.0,184811.0,167297.0,135800.0,12578.0
Total,,Municipal Owned,Contiguous US,148039.94799999995,33.90785340314136,32954,13714.0,1662.0,1188.0,11921.0,17244.0,11000.0,16635.0,31320.0,23174.0,17735.0,2434.0
"TEXAS REPUBLIC UTILITY, LLC",40247,Investor Owned,TX,3.18,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.18
"RAVEN FOREST OPERATING, LLC",40246,Investor Owned,TX,6.54,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54
EVERSOURCE GAS OF MASSACHUSETTS,40196,Investor Owned,MA,5004.2,38.0,1476,428.0,233.9,37.9,311.4,1019.4,468.5,504.4,763.3,588.9,622.5,26.0
TRAER MUNICIPAL UTILITIES,40188,Municipal Owned,IA,13.84,47.0,9,0.0,0.0,0.0,0.0,9.97,0.08,0.28,2.52,0.87,0.12,0.0
"CITIPOWER, LLC",40137,Privately Owned,KY,183.0,24.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,35.0,0.0,0.0
PAUL BUNYAN NATURAL GAS,40091,Privately Owned,MN,20.72,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.72
DOOLEY'S NATURAL GAS OF IOWA,40068,Privately Owned,IA,12.614,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.614
DAKOTA NATURAL GAS LLC,40064,Investor Owned,ND,20.22,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22
AGRINATURAL GAS,40022,Privately Owned,MN,177.98,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.24,3.74
HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,39995,Municipal Owned,KY,7.56,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.232,1.328
"SOUTHERN GAS SERVICES, INC.",39964,Privately Owned,LA,4.0,26.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"ENERTEX NB, LLC",39912,Investor Owned,TX,45.573,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.599,25.972
"PETERBOROUGH RETIREMENT COMMUNITY AT UPLAND FARM, INC.",39799,Privately Owned,NH,1.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0
"DOMINION PRIVATIZATION, TEXAS LLC",39795,Privately Owned,TX,160.92,6.0,0,151.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07,0.0
LAKE CUMBERLAND NATURAL GAS AUTHORITY,39783,Municipal Owned,KY,153.37,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,13.37,0.0
BAZZLE GAS COMPANY,39780,Privately Owned,WV,8.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
