,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,AL,Autauga,2.71,2.66,2.73,2.73,2.66,2.67,2.64,2.59,2.59,2.59
1,Avg household size of renter-occupied unit,AL,Autauga,2.63,2.76,2.67,2.68,2.8,2.74,2.58,2.59,2.6,2.48
2,FIPS Code,AL,Autauga,1001,1001,1001,1001,1001,1001,1001,1001,1001,1001
3,House Heating Fuel: Electric,AL,Autauga,9039,9677,10080,9960,10047,10582,10618,10937,11080,11769
4,House Heating Fuel: Fuel Oil,AL,Autauga,21,35,36,32,32,41,0,0,0,9
5,House Heating Fuel: Gas,AL,Autauga,7727,7251,7016,7215,7190,6930,7607,7514,7432,7295
6,House Heating Fuel: Propane,AL,Autauga,2747,2767,2599,2557,2695,2569,2248,2306,2352,2085
7,House Heating Fuel: Wood,AL,Autauga,94,143,113,199,179,163,190,191,137,128
26,Median Number of Rooms,AL,Autauga,5.9,6.0,6.0,6.0,6.0,6.0,6.0,5.9,6.0,5.9
27,Number of Rooms: 1,AL,Autauga,29,34,47,45,49,5,40,86,130,138
28,Number of Rooms: 2,AL,Autauga,226,220,286,307,288,216,286,316,309,283
29,Number of Rooms: 3,AL,Autauga,1025,919,989,960,788,989,1031,1123,1063,1146
30,Number of Rooms: 4,AL,Autauga,2628,2713,2684,2447,2589,2333,2123,2259,2366,2648
31,Number of Rooms: 5,AL,Autauga,4486,4268,4276,4534,4772,5032,5461,5448,5522,5447
32,Number of Rooms: 6,AL,Autauga,5412,5859,5793,5985,5856,5890,5124,5229,5004,5074
33,Number of Rooms: 7,AL,Autauga,3333,3328,3294,3475,3544,3435,3574,3569,3778,3914
34,Number of Rooms: 8,AL,Autauga,2407,2389,2648,2557,2393,2318,2537,2519,2530,2261
35,Number of Rooms: 9+,AL,Autauga,1984,2129,2060,1910,2152,2364,2538,2603,2613,2582
36,Owner-Occupied,AL,Autauga,41492,41290,42313,42036,40530,40187,40133,39944,40891,40638
37,Renter-Occupied,AL,Autauga,11663,12272,11878,12454,14164,14562,14426,14567,13763,14177
38,Total Housing Units,AL,Autauga,21530,21859,22077,22220,22431,22582,22714,23152,23315,23493
39,Total Population,AL,Autauga,53155,53944,54590,54907,55136,55221,55049,55036,55200,55380
40,Units in Structure: 1 ATTACHED,AL,Autauga,208,229,217,172,246,196,190,175,296,216
41,Units in Structure: 1 DETACHED,AL,Autauga,15113,15521,15485,15479,15908,16271,16368,16571,16865,16748
42,Units in Structure: 10-19,AL,Autauga,175,198,312,481,513,510,541,457,317,390
43,Units in Structure: 2,AL,Autauga,290,282,289,216,172,132,138,173,159,118
44,Units in Structure: 20-49,AL,Autauga,149,163,192,164,223,149,365,481,486,342
45,Units in Structure: 3-4,AL,Autauga,423,419,354,384,315,281,298,315,343,457
46,Units in Structure: 5-9,AL,Autauga,456,469,526,506,535,678,558,488,466,670
47,Units in Structure: 50+,AL,Autauga,65,41,80,88,106,128,128,58,83,102
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Autauga,35,34,13,15,12,30,33,20,21,36
49,Units in Structure: Mobile Home,AL,Autauga,4616,4503,4609,4715,4401,4207,4095,4414,4279,4414
50,Year Built: 1940-1949,AL,Autauga,235,239,250,300,316,834,779,787,732,824
51,Year Built: 1950-1959,AL,Autauga,931,960,909,1092,1003,2507,2452,2529,2772,2692
52,Year Built: 1960-1969,AL,Autauga,2626,2733,2836,2760,2577,3456,3628,3646,3444,3400
53,Year Built: 1970-1979,AL,Autauga,3542,3205,3216,3118,3449,2974,3040,3034,3299,3363
54,Year Built: 1980-1989,AL,Autauga,3582,3398,3306,2816,2908,5039,5183,5417,5043,5471
55,Year Built: 1990-1999,AL,Autauga,5142,5174,5240,5698,5231,5800,5425,5348,5428,5140
56,Year Built: 2000-2009,AL,Autauga,2946,2953,5471,5441,5571,980,1127,1080,1152,1149
57,Year Built: 2010-2013,AL,Autauga,1885,2564,283,418,679,37,141,278,444,648
58,Year Built: before 1940,AL,Autauga,641,633,566,577,697,310,283,366,397,301
0,Avg household size of owner-occupied unit,AL,Baldwin,2.51,2.51,2.46,2.5,2.57,2.6,2.62,2.69,2.66,2.64
1,Avg household size of renter-occupied unit,AL,Baldwin,2.48,2.5,2.57,2.57,2.6,2.59,2.61,2.48,2.48,2.44
2,FIPS Code,AL,Baldwin,1003,1003,1003,1003,1003,1003,1003,1003,1003,1003
3,House Heating Fuel: Electric,AL,Baldwin,56579,58304,60285,61312,62024,63283,64692,66041,68525,70199
4,House Heating Fuel: Fuel Oil,AL,Baldwin,55,74,92,63,67,13,12,30,53,38
5,House Heating Fuel: Gas,AL,Baldwin,9460,9147,9081,8680,8046,7911,7538,7267,7541,8168
6,House Heating Fuel: Propane,AL,Baldwin,2753,2682,2693,2597,2296,2215,1912,1874,1582,1589
7,House Heating Fuel: Wood,AL,Baldwin,412,356,445,427,403,386,519,415,421,453
26,Median Number of Rooms,AL,Baldwin,5.4,5.4,5.3,5.4,5.4,5.4,5.5,5.6,5.6,5.7
27,Number of Rooms: 1,AL,Baldwin,598,723,857,889,998,846,990,1107,1231,1320
28,Number of Rooms: 2,AL,Baldwin,1796,1718,1897,1765,1427,1372,1315,1247,1500,1449
29,Number of Rooms: 3,AL,Baldwin,8519,9150,9343,9352,8102,7484,7358,6861,6100,6075
30,Number of Rooms: 4,AL,Baldwin,18622,20046,20031,19069,20300,20611,19279,19337,19510,18136
31,Number of Rooms: 5,AL,Baldwin,23762,23016,23585,24137,24574,24179,24806,25096,24870,25315
32,Number of Rooms: 6,AL,Baldwin,20197,19761,18563,19087,20677,22002,22934,23913,24491,25126
33,Number of Rooms: 7,AL,Baldwin,12329,12579,12680,13215,12809,13414,13699,14081,14336,15271
34,Number of Rooms: 8,AL,Baldwin,7505,7846,8735,8996,8831,9020,9248,9589,9855,10677
35,Number of Rooms: 9+,AL,Baldwin,7765,8139,8293,8138,7845,7494,7950,8792,10052,10795
36,Owner-Occupied,AL,Baldwin,133660,135150,132317,133039,134287,137650,141084,149326,153739,160980
37,Renter-Occupied,AL,Baldwin,40174,42009,48463,51580,54307,54690,55515,51150,51354,48842
38,Total Housing Units,AL,Baldwin,101093,102978,103984,104648,105563,106422,107579,110023,111945,114164
39,Total Population,AL,Baldwin,175791,179523,183226,187114,191205,195121,199510,203360,208107,212830
40,Units in Structure: 1 ATTACHED,AL,Baldwin,1192,941,894,1058,1141,1137,1272,1300,1183,1290
41,Units in Structure: 1 DETACHED,AL,Baldwin,62270,64326,64222,65235,65719,66132,66516,69018,70081,72583
42,Units in Structure: 10-19,AL,Baldwin,2391,2954,3650,3631,4082,3894,3752,3808,3871,3757
43,Units in Structure: 2,AL,Baldwin,1411,1753,1850,2073,1800,2062,1767,1821,1734,2161
44,Units in Structure: 20-49,AL,Baldwin,3109,3720,3867,3815,3731,3248,2998,3006,2928,2724
45,Units in Structure: 3-4,AL,Baldwin,2389,2264,2329,2346,2455,2465,3037,2781,2525,2448
46,Units in Structure: 5-9,AL,Baldwin,3967,3712,3623,3213,2977,2552,2340,2406,2754,3135
47,Units in Structure: 50+,AL,Baldwin,9552,9575,10097,10452,11175,12363,12961,13482,13693,13285
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Baldwin,348,334,372,388,283,194,107,116,101,115
49,Units in Structure: Mobile Home,AL,Baldwin,14464,13399,13080,12437,12200,12375,12829,12285,13075,12666
50,Year Built: 1940-1949,AL,Baldwin,1678,1749,1784,2116,2040,3594,3738,3581,3109,3332
51,Year Built: 1950-1959,AL,Baldwin,3516,3460,3756,3901,3755,5389,5606,5744,5929,5801
52,Year Built: 1960-1969,AL,Baldwin,5768,5561,5366,5274,5386,11992,11354,11167,11365,11120
53,Year Built: 1970-1979,AL,Baldwin,11233,11496,11304,11122,11423,17615,18276,19413,19266,19126
54,Year Built: 1980-1989,AL,Baldwin,16210,16156,16347,16282,17541,26661,27600,27459,27822,27469
55,Year Built: 1990-1999,AL,Baldwin,28796,27905,27755,27266,26557,33819,32664,32970,33209,32845
56,Year Built: 2000-2009,AL,Baldwin,22743,22372,34487,34862,34705,2407,3456,4080,4554,4909
57,Year Built: 2010-2013,AL,Baldwin,8608,11684,497,1072,1661,186,456,1432,2916,5104
58,Year Built: before 1940,AL,Baldwin,2541,2595,2688,2753,2495,2204,2025,2035,1862,1930
0,Avg household size of owner-occupied unit,AL,Barbour,2.52,2.58,2.67,2.7,2.68,2.59,2.56,2.48,2.44,2.37
