,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,AL,Autauga,5.9,6.0,6.0,6.0,6.0,6.0,6.0,5.9,6.0,5.9
27,Number of Rooms: 1,AL,Autauga,29,34,47,45,49,5,40,86,130,138
28,Number of Rooms: 2,AL,Autauga,226,220,286,307,288,216,286,316,309,283
29,Number of Rooms: 3,AL,Autauga,1025,919,989,960,788,989,1031,1123,1063,1146
30,Number of Rooms: 4,AL,Autauga,2628,2713,2684,2447,2589,2333,2123,2259,2366,2648
31,Number of Rooms: 5,AL,Autauga,4486,4268,4276,4534,4772,5032,5461,5448,5522,5447
32,Number of Rooms: 6,AL,Autauga,5412,5859,5793,5985,5856,5890,5124,5229,5004,5074
33,Number of Rooms: 7,AL,Autauga,3333,3328,3294,3475,3544,3435,3574,3569,3778,3914
34,Number of Rooms: 8,AL,Autauga,2407,2389,2648,2557,2393,2318,2537,2519,2530,2261
35,Number of Rooms: 9+,AL,Autauga,1984,2129,2060,1910,2152,2364,2538,2603,2613,2582
26,Median Number of Rooms,AL,Baldwin,5.4,5.4,5.3,5.4,5.4,5.4,5.5,5.6,5.6,5.7
27,Number of Rooms: 1,AL,Baldwin,598,723,857,889,998,846,990,1107,1231,1320
28,Number of Rooms: 2,AL,Baldwin,1796,1718,1897,1765,1427,1372,1315,1247,1500,1449
29,Number of Rooms: 3,AL,Baldwin,8519,9150,9343,9352,8102,7484,7358,6861,6100,6075
30,Number of Rooms: 4,AL,Baldwin,18622,20046,20031,19069,20300,20611,19279,19337,19510,18136
31,Number of Rooms: 5,AL,Baldwin,23762,23016,23585,24137,24574,24179,24806,25096,24870,25315
32,Number of Rooms: 6,AL,Baldwin,20197,19761,18563,19087,20677,22002,22934,23913,24491,25126
33,Number of Rooms: 7,AL,Baldwin,12329,12579,12680,13215,12809,13414,13699,14081,14336,15271
34,Number of Rooms: 8,AL,Baldwin,7505,7846,8735,8996,8831,9020,9248,9589,9855,10677
35,Number of Rooms: 9+,AL,Baldwin,7765,8139,8293,8138,7845,7494,7950,8792,10052,10795
26,Median Number of Rooms,AL,Barbour,5.5,5.6,5.7,5.6,5.6,5.5,5.5,5.4,5.5,5.4
27,Number of Rooms: 1,AL,Barbour,26,32,35,57,66,111,147,137,115,142
28,Number of Rooms: 2,AL,Barbour,213,165,126,77,76,114,127,93,119,171
29,Number of Rooms: 3,AL,Barbour,811,892,741,788,884,828,686,693,865,873
30,Number of Rooms: 4,AL,Barbour,1878,1858,2020,2059,2037,2150,2102,2158,2014,2186
31,Number of Rooms: 5,AL,Barbour,3013,2747,2521,2709,2719,2788,2917,3047,2993,2969
32,Number of Rooms: 6,AL,Barbour,2801,2854,2816,2727,2591,2454,2312,2326,2321,2552
33,Number of Rooms: 7,AL,Barbour,1507,1689,1751,1680,1654,1639,1562,1512,1611,1374
34,Number of Rooms: 8,AL,Barbour,1069,980,1007,839,914,837,997,990,889,810
35,Number of Rooms: 9+,AL,Barbour,693,686,861,854,892,889,952,962,1010,936
26,Median Number of Rooms,AL,Bibb,5.5,5.5,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.6
27,Number of Rooms: 1,AL,Bibb,29,97,100,100,110,89,15,21,34,48
28,Number of Rooms: 2,AL,Bibb,134,148,60,59,72,57,51,51,119,77
29,Number of Rooms: 3,AL,Bibb,420,481,487,427,387,381,397,370,427,397
30,Number of Rooms: 4,AL,Bibb,1362,1220,1138,1389,1350,1267,1273,1224,921,1048
31,Number of Rooms: 5,AL,Bibb,2508,2554,2860,2689,2805,2716,2849,2818,2986,2772
32,Number of Rooms: 6,AL,Bibb,2043,2162,2135,2045,2087,2244,2158,2342,2354,2366
