,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,AL,Autauga,208,229,217,172,246,196,190,175,296,216
41,Units in Structure: 1 DETACHED,AL,Autauga,15113,15521,15485,15479,15908,16271,16368,16571,16865,16748
42,Units in Structure: 10-19,AL,Autauga,175,198,312,481,513,510,541,457,317,390
43,Units in Structure: 2,AL,Autauga,290,282,289,216,172,132,138,173,159,118
44,Units in Structure: 20-49,AL,Autauga,149,163,192,164,223,149,365,481,486,342
45,Units in Structure: 3-4,AL,Autauga,423,419,354,384,315,281,298,315,343,457
46,Units in Structure: 5-9,AL,Autauga,456,469,526,506,535,678,558,488,466,670
47,Units in Structure: 50+,AL,Autauga,65,41,80,88,106,128,128,58,83,102
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Autauga,35,34,13,15,12,30,33,20,21,36
49,Units in Structure: Mobile Home,AL,Autauga,4616,4503,4609,4715,4401,4207,4095,4414,4279,4414
40,Units in Structure: 1 ATTACHED,AL,Baldwin,1192,941,894,1058,1141,1137,1272,1300,1183,1290
41,Units in Structure: 1 DETACHED,AL,Baldwin,62270,64326,64222,65235,65719,66132,66516,69018,70081,72583
42,Units in Structure: 10-19,AL,Baldwin,2391,2954,3650,3631,4082,3894,3752,3808,3871,3757
43,Units in Structure: 2,AL,Baldwin,1411,1753,1850,2073,1800,2062,1767,1821,1734,2161
44,Units in Structure: 20-49,AL,Baldwin,3109,3720,3867,3815,3731,3248,2998,3006,2928,2724
45,Units in Structure: 3-4,AL,Baldwin,2389,2264,2329,2346,2455,2465,3037,2781,2525,2448
46,Units in Structure: 5-9,AL,Baldwin,3967,3712,3623,3213,2977,2552,2340,2406,2754,3135
47,Units in Structure: 50+,AL,Baldwin,9552,9575,10097,10452,11175,12363,12961,13482,13693,13285
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Baldwin,348,334,372,388,283,194,107,116,101,115
49,Units in Structure: Mobile Home,AL,Baldwin,14464,13399,13080,12437,12200,12375,12829,12285,13075,12666
40,Units in Structure: 1 ATTACHED,AL,Barbour,133,170,157,119,125,122,126,136,121,124
41,Units in Structure: 1 DETACHED,AL,Barbour,6922,7278,7492,7248,7316,6983,6679,6527,6708,6573
42,Units in Structure: 10-19,AL,Barbour,53,30,50,65,70,122,126,145,96,115
43,Units in Structure: 2,AL,Barbour,618,512,478,530,434,418,480,523,594,745
44,Units in Structure: 20-49,AL,Barbour,71,91,96,89,55,48,53,51,56,44
45,Units in Structure: 3-4,AL,Barbour,315,322,214,260,310,325,359,423,478,453
46,Units in Structure: 5-9,AL,Barbour,286,265,296,303,332,450,418,419,387,376
47,Units in Structure: 50+,AL,Barbour,7,2,5,4,4,7,0,0,0,49
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Barbour,4,3,22,22,12,24,27,14,13,14
49,Units in Structure: Mobile Home,AL,Barbour,3602,3230,3068,3150,3175,3311,3534,3680,3484,3520
40,Units in Structure: 1 ATTACHED,AL,Bibb,5,30,53,42,55,63,57,28,37,33
41,Units in Structure: 1 DETACHED,AL,Bibb,5630,5668,5471,5555,5982,5878,5719,5944,5940,5532
42,Units in Structure: 10-19,AL,Bibb,63,28,28,36,80,73,85,74,73,71
43,Units in Structure: 2,AL,Bibb,134,125,88,155,99,111,125,100,0,0
44,Units in Structure: 20-49,AL,Bibb,45,33,87,87,59,50,86,43,72,100
45,Units in Structure: 3-4,AL,Bibb,173,134,163,140,81,165,122,126,152,194
46,Units in Structure: 5-9,AL,Bibb,129,204,102,204,226,222,205,246,177,268
47,Units in Structure: 50+,AL,Bibb,40,38,24,29,24,24,24,29,77,69
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Bibb,0,0,0,0,0,0,0,0,18,28
49,Units in Structure: Mobile Home,AL,Bibb,2666,2673,2942,2691,2379,2385,2549,2522,2615,2890
40,Units in Structure: 1 ATTACHED,AL,Blount,97,109,102,145,159,232,236,221,192,151
41,Units in Structure: 1 DETACHED,AL,Blount,17221,17069,17548,17615,17156,16924,17214,16881,16688,16771
42,Units in Structure: 10-19,AL,Blount,57,114,149,115,133,141,102,65,113,94
43,Units in Structure: 2,AL,Blount,310,283,256,260,263,239,275,347,423,426
44,Units in Structure: 20-49,AL,Blount,64,78,42,52,82,75,75,94,85,89
45,Units in Structure: 3-4,AL,Blount,235,343,328,355,323,302,265,278,228,294
46,Units in Structure: 5-9,AL,Blount,213,343,288,280,246,313,195,281,336,308
47,Units in Structure: 50+,AL,Blount,7,5,10,0,0,0,13,12,13,14
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Blount,0,0,1,2,9,8,8,7,36,26
49,Units in Structure: Mobile Home,AL,Blount,5278,5384,5037,4943,5497,5626,5467,5975,6108,6150
40,Units in Structure: 1 ATTACHED,AL,Bullock,77,70,59,37,33,33,38,38,23,36
41,Units in Structure: 1 DETACHED,AL,Bullock,2773,2739,2778,2627,2565,2634,2624,2454,2518,2334
42,Units in Structure: 10-19,AL,Bullock,33,36,33,5,10,0,0,0,0,0
43,Units in Structure: 2,AL,Bullock,127,127,132,154,174,185,164,176,215,201
44,Units in Structure: 20-49,AL,Bullock,0,0,10,12,9,10,14,0,0,0
45,Units in Structure: 3-4,AL,Bullock,181,198,167,142,137,72,11,15,25,29
46,Units in Structure: 5-9,AL,Bullock,109,86,105,57,57,53,89,192,158,217
47,Units in Structure: 50+,AL,Bullock,0,9,21,18,46,37,34,53,76,35
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Bullock,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,AL,Bullock,1248,1255,1196,1416,1438,1441,1488,1588,1511,1705
40,Units in Structure: 1 ATTACHED,AL,Butler,47,54,107,104,77,84,67,52,44,68
41,Units in Structure: 1 DETACHED,AL,Butler,6457,6446,6344,6182,6205,6048,6096,6097,6125,6267
42,Units in Structure: 10-19,AL,Butler,103,101,92,121,59,63,94,87,63,52
43,Units in Structure: 2,AL,Butler,274,247,254,265,288,262,294,320,314,229
44,Units in Structure: 20-49,AL,Butler,59,54,39,58,43,18,21,31,27,32
45,Units in Structure: 3-4,AL,Butler,449,512,455,442,423,454,353,429,445,457
46,Units in Structure: 5-9,AL,Butler,438,459,482,427,408,450,441,392,339,327
47,Units in Structure: 50+,AL,Butler,52,6,6,10,34,40,50,48,44,33
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Butler,0,0,0,0,0,0,0,0,0,0
49,Units in Structure: Mobile Home,AL,Butler,2136,2108,2194,2322,2397,2500,2498,2552,2625,2624
40,Units in Structure: 1 ATTACHED,AL,Calhoun,847,695,658,579,668,628,731,793,771,644
41,Units in Structure: 1 DETACHED,AL,Calhoun,36493,37205,37277,37353,37964,38169,37784,38069,38387,38701
42,Units in Structure: 10-19,AL,Calhoun,1331,1099,1064,1061,1102,1048,1101,1195,1171,917
43,Units in Structure: 2,AL,Calhoun,1571,1467,1550,1658,1521,1367,1449,1249,1074,962
44,Units in Structure: 20-49,AL,Calhoun,675,646,706,549,451,383,439,349,414,464
45,Units in Structure: 3-4,AL,Calhoun,1631,1631,1705,1596,1695,1718,1679,1522,1626,1523
46,Units in Structure: 5-9,AL,Calhoun,1807,2021,1920,1958,1912,1945,1828,1966,1920,1879
47,Units in Structure: 50+,AL,Calhoun,557,483,460,505,472,451,457,444,405,397
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Calhoun,13,58,58,52,54,53,9,8,10,17
49,Units in Structure: Mobile Home,AL,Calhoun,8169,7903,7895,7881,7467,7534,7849,8060,7904,8127
40,Units in Structure: 1 ATTACHED,AL,Chambers,182,180,115,105,102,88,34,69,115,77
41,Units in Structure: 1 DETACHED,AL,Chambers,12195,12176,11914,11799,11792,12077,12201,12191,12216,11841
42,Units in Structure: 10-19,AL,Chambers,265,457,407,420,481,405,349,431,351,414
43,Units in Structure: 2,AL,Chambers,425,475,526,479,482,463,506,513,652,627
44,Units in Structure: 20-49,AL,Chambers,69,211,192,213,226,237,143,209,144,246
45,Units in Structure: 3-4,AL,Chambers,346,340,465,435,457,432,411,352,397,442
46,Units in Structure: 5-9,AL,Chambers,320,267,269,286,293,366,445,513,523,452
47,Units in Structure: 50+,AL,Chambers,25,33,37,39,48,66,105,84,184,605
48,"Units in Structure: Boat,RV,Van,Etc.",AL,Chambers,28,23,12,12,14,17,16,19,21,23
49,Units in Structure: Mobile Home,AL,Chambers,2939,2730,3063,3140,3049,2785,2695,2608,2378,2261
40,Units in Structure: 1 ATTACHED,AL,Cherokee,270,199,129,138,139,95,62,56,38,20
