,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,AL,5.6,5.6,5.7,5.7,5.7,5.7,5.7,4.7,5.7,5.7
26,Number of Rooms: 1,AL,23741,26732,26353,25913,20590,24309,26657,20114,36879,30360
27,Number of Rooms: 2,AL,25665,21304,30418,25756,26113,29551,27048,25084,27842,28690
28,Number of Rooms: 3,AL,133578,129034,124024,126190,124227,125110,131537,41009,130414,127809
29,Number of Rooms: 4,AL,336429,339158,327158,322426,336061,334010,321706,61070,326241,331202
30,Number of Rooms: 5,AL,513630,509374,498409,508116,521519,504791,518806,57841,507767,512068
31,Number of Rooms: 6,AL,452588,465309,454958,460288,464170,467868,464650,40379,463735,465237
32,Number of Rooms: 7,AL,291258,290915,306558,301279,293683,309156,297851,28694,315951,315028
33,Number of Rooms: 8,AL,189195,192109,199331,191387,194941,190916,200341,19846,212263,209788
34,Number of Rooms: 9+,AL,208344,208264,222358,228672,226726,232680,241584,22931,253619,264740
