,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Alabama (Million cubic feet)",52334,50197,46950,48267,50526,43706,44674,49077,48913,48118,45411,46149,49644,51366,49748,49570,56522,48496,46544,42647,47441,49242,46482,46572,43859,42057,38132,35481,37793,36061,42215,36582,27580,35059,39006,32750,28407,26338,34726,30616,
"Natural gas consumed by (delivered to) the commercial sector, Alabama (Million cubic feet)",28525,26860,25876,26665,27567,25836,25128,22384,25562,26469,24287,23711,25232,25723,25526,26228,29000,32360,25705,27581,25580,26391,25011,25356,26456,25046,24396,23420,25217,24293,27071,25144,21551,25324,27534,25162,23552,22915,26636,24875,
"Natural gas consumed by the industrial sector, Alabama (Million cubic feet)",170542,174256,150959,132930,140400,137757,122240,123055,147191,155199,155509,163452,181917,195057,194847,218334,214733,210728,209233,219551,215691,168138,173607,173275,178978,166133,168046,168098,160383,148158,161542,170664,190734,198771,203552,203930,208603,210763,232444,230154,
"Natural gas consumed by the electric power sector, Alabama (Million cubic feet)",1382,1780,1339,554,356,1078,1054,1474,2574,2886,5496,5139,4838,6134,5561,8810,7563,11835,27660,25326,42215,68868,112403,86129,117056,104786,145528,175736,164266,227015,281722,342841,401306,333897,346065,397498,412913,380038,430906,418932,
"Total energy consumption per capita in the residential sector, Alabama (Million Btu)",69.8,66.9,68.2,67.3,70.5,69.3,71.1,73.3,74.5,76.4,74.5,74.1,73.4,75.8,75.2,77.5,81.7,76.3,80.9,80.3,85.4,80.7,84.8,81.7,82.3,84.1,83.4,84.4,82.2,78.3,87.6,78.7,70.2,74.1,78.2,71.9,70.2,66.3,73.2,70.9,
"Electricity consumed by (i.e., sold to) the residential sector, Alabama (Million kilowatthours)",16469,15912,15782,15814,17012,17182,18259,19294,19641,19842,20719,21293,21137,22628,23159,24314,25634,24893,27327,27048,28756,27802,30022,29416,30109,31315,32277,32783,32185,31489,35529,33003,30632,31379,32930,31909,32056,30181,33080,32416,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Alabama (Kilowatthours)",4222,4061,4021,4020,4305,4325,4574,4805,4881,4923,5116,5195,5088,5369,5436,5659,5919,5699,6204,6105,6459,6223,6701,6532,6646,6853,6973,7016,6821,6618,7424,6876,6360,6494,6798,6573,6587,6187,6763,6605,
"Distillate fuel oil consumed by the residential sector, Alabama (Billion Btu)",76,99,319,263,208,139,167,109,156,141,101,80,47,70,66,61,59,233,35,38,71,225,213,44,77,82,54,48,53,563,699,62,104,89,101,120,92,83,69,23,
"Propane consumed by the residential sector, Alabama (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8504,5876,4208,4688,4942,5395,5041,4760,5741,6034,
"Distillate fuel oil consumed by the commercial sector, Alabama (Billion Btu)",3734,5800,1382,5558,4399,5316,4190,4191,4159,5060,4305,4312,4522,4465,5467,3748,3236,3127,3300,3318,4351,4871,4557,6352,6427,4359,8894,7315,5729,5642,6569,6981,6471,4236,3900,4327,4860,4841,4950,4622,
"Electricity consumed by (i.e., sold to) the commercial sector, Alabama (Million kilowatthours)",7190,9131,9307,9440,8454,8805,9292,9930,10239,11113,11589,11948,11554,11906,12503,12845,13948,17043,18307,18820,19734,19607,20430,20411,21166,21608,22120,22873,22533,21918,22984,22257,21799,22603,22929,23438,23634,22744,23483,23076,
"Total energy consumption per capita in the commercial sector, Alabama (Million Btu)",32.6,37,37.1,38.1,34.1,35.6,36.1,36.6,38.7,42,42,40.6,39.2,39.3,40.2,40.4,43.4,51.6,52.5,54.5,56.3,54.5,55.9,55.4,56.9,57.1,58,59.2,57.5,54,56.5,53.6,50.8,53.1,54.2,54.3,54,52.2,53.9,52.5,
