,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Alabama (Million cubic feet)",55779,54867,53397,55685,55117,52314,56869,56503,56957,52535,52334,50197,46950,48267,50526,43706,44674,49077,48913,48118,45411,46149,49644,51366,49748,49570,56522,48496,46544,42647,47441,49242,46482,46572,43859,42057,38132,35481,37793,36061,42215,36582,27580,35059,39006,32750,28407,26338,34726,30616,
"Natural gas consumed by (delivered to) the commercial sector, Alabama (Million cubic feet)",36254,36657,37389,33126,35349,33439,34450,34303,29649,36717,28525,26860,25876,26665,27567,25836,25128,22384,25562,26469,24287,23711,25232,25723,25526,26228,29000,32360,25705,27581,25580,26391,25011,25356,26456,25046,24396,23420,25217,24293,27071,25144,21551,25324,27534,25162,23552,22915,26636,24875,
"Natural gas consumed by the industrial sector, Alabama (Million cubic feet)",171151,163846,165867,159157,160010,155508,122531,136509,132798,174212,170542,174256,150959,132930,140400,137757,122240,123055,147191,155199,155509,163452,181917,195057,194847,218334,214733,210728,209233,219551,215691,168138,173607,173275,178978,166133,168046,168098,160383,148158,161542,170664,190734,198771,203552,203930,208603,210763,232444,230154,
"Natural gas consumed by the electric power sector, Alabama (Million cubic feet)",15444,9987,2748,4305,4958,5994,3935,3732,7015,6934,1382,1780,1339,554,356,1078,1054,1474,2574,2886,5496,5139,4838,6134,5561,8810,7563,11835,27660,25326,42215,68868,112403,86129,117056,104786,145528,175736,164266,227015,281722,342841,401306,333897,346065,397498,412913,380038,430906,418932,
"Residential carbon dioxide emissions, natural gas, Alabama (million metric tons CO2)",,,,,,,,,,,2.869676,2.757408,2.619514,2.657768,2.768815,2.406332,2.454879,2.689389,2.67013,2.629648,2.479232,2.51478,2.707906,2.807547,2.71926,2.706739,3.098244,2.679627,2.567094,2.343831,2.627844,2.697348,2.538549,2.543961,2.385322,2.297831,2.07876,1.931899,2.050959,1.964688,2.274645,1.972647,1.486754,1.890197,2.113884,1.785516,1.546867,1.436615,1.892478,,
"Commercial carbon dioxide emissions, natural gas, Alabama (million metric tons CO2)",,,,,,,,,,,1.564111,1.475506,1.443725,1.46829,1.510682,1.422449,1.3808,1.226617,1.39539,1.446537,1.325992,1.292089,1.376343,1.405949,1.395231,1.432159,1.589631,1.788063,1.417727,1.515829,1.416931,1.445635,1.365944,1.385097,1.438844,1.368384,1.329971,1.275217,1.368491,1.323552,1.458634,1.355863,1.161729,1.36536,1.492166,1.371833,1.282486,1.249909,1.451577,,
"Industrial carbon dioxide emissions, natural gas, Alabama (million metric tons CO2)",,,,,,,,,,,9.351397,9.572272,8.422587,7.319698,7.693959,7.584451,6.717239,6.743343,8.035061,8.481639,8.490075,8.906888,9.922923,10.661313,10.65033,11.921992,11.770462,11.643816,11.540303,12.066147,11.947459,9.210266,9.481279,9.464938,9.733776,9.076935,9.161082,9.152859,8.703681,8.072041,8.704318,9.202891,10.281851,10.716757,11.031224,11.118237,11.35922,11.496053,12.650036,,
"Natural Gas Citygate Price in Alabama, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,4.03,3.97,3.45,3.27,3.16,3,3.13,3.11,3.21,3.51,3.44,2.89,3.48,3.65,3.17,3.21,4.5,6.63,4.74,6.06,6.65,8.47,10.26,8.78,9.84,7.61,6.46,5.8,5.18,4.65,4.93,3.91,3.44,3.8,3.87,3.56,3
"Alabama Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",1.13,1.19,1.27,1.37,1.55,1.57,1.99,2.31,2.71,3.65,4.04,4.77,5.58,6.22,6.26,6.41,6.52,6.64,6.51,6.27,6.57,7.05,6.74,7.1,7.41,6.86,7.22,8.35,8.21,8.34,9.19,12.06,10.53,11.82,13.34,15.82,18.8,18.14,18.3,18.12,15.79,15.08,16.2,15.47,14.62,14.13,14.06,16.12,15.22,15.63,16.17
"Alabama Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.6,0.66,0.73,0.74,0.88,1.07,1.6,1.83,2.09,2.78,3.38,4.07,4.82,5.42,5.44,5.47,5.4,5.48,5.28,5.16,5.43,5.74,5.71,6.19,6.38,5.8,6.19,6.98,6.65,6.68,7.69,10.4,8.96,10.08,10.91,13.65,15.83,15.06,15.58,14.94,13.34,12.36,12.56,12.35,11.98,11.18,10.66,12.04,11.89,11.87,12.08
