,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,AZ,Apache,2545,2687,2858,2998,2974,3139,3246,3186,3447,3400
4,House Heating Fuel: Fuel Oil,AZ,Apache,91,82,59,26,19,23,21,33,28,32
5,House Heating Fuel: Gas,AZ,Apache,1810,1732,1675,1793,1839,1619,1646,1685,1434,1350
6,House Heating Fuel: Propane,AZ,Apache,3152,2935,2808,2493,2324,2298,2219,2117,2384,2674
7,House Heating Fuel: Wood,AZ,Apache,10812,10964,11037,11133,11297,11670,11751,12133,12768,13116
3,House Heating Fuel: Electric,AZ,Cochise,12142,13095,13623,14365,14600,14933,15641,16054,16301,16482
4,House Heating Fuel: Fuel Oil,AZ,Cochise,71,97,76,166,160,123,111,113,30,31
5,House Heating Fuel: Gas,AZ,Cochise,27385,26531,26333,25603,25267,24989,24681,24489,24533,25361
6,House Heating Fuel: Propane,AZ,Cochise,7383,7135,6973,6488,6052,5890,5980,5883,5917,6111
7,House Heating Fuel: Wood,AZ,Cochise,1159,1249,1358,1532,1659,1760,1703,1598,1515,1352
3,House Heating Fuel: Electric,AZ,Coconino,8412,9108,9668,10540,10473,10529,10475,10770,10232,10721
4,House Heating Fuel: Fuel Oil,AZ,Coconino,51,48,34,26,21,18,28,35,33,74
5,House Heating Fuel: Gas,AZ,Coconino,24314,23649,23458,23186,23080,23479,24051,24094,24182,24251
6,House Heating Fuel: Propane,AZ,Coconino,4136,3759,4057,3890,3925,3805,3934,3609,3956,3828
7,House Heating Fuel: Wood,AZ,Coconino,7738,7894,7716,7636,8134,7997,8036,8188,8106,7746
3,House Heating Fuel: Electric,AZ,Gila,5511,6108,6730,7178,7541,7620,7886,8137,8231,8335
4,House Heating Fuel: Fuel Oil,AZ,Gila,38,25,11,51,51,46,44,50,22,129
5,House Heating Fuel: Gas,AZ,Gila,9450,9008,8745,8429,8134,8408,8448,8198,8182,8397
6,House Heating Fuel: Propane,AZ,Gila,2413,2353,2181,1959,1956,1766,1840,1675,2040,2027
7,House Heating Fuel: Wood,AZ,Gila,1931,1961,2143,2371,2461,2449,2638,2858,2609,2560
3,House Heating Fuel: Electric,AZ,Graham,2884,3329,3463,3666,3837,3976,4045,4219,4250,4318
4,House Heating Fuel: Fuel Oil,AZ,Graham,0,0,0,0,24,67,77,68,73,113
5,House Heating Fuel: Gas,AZ,Graham,6475,6226,6073,5998,5709,5636,5582,5515,5362,5525
6,House Heating Fuel: Propane,AZ,Graham,876,928,842,780,785,679,551,486,441,428
7,House Heating Fuel: Wood,AZ,Graham,443,464,440,460,468,475,477,507,446,411
3,House Heating Fuel: Electric,AZ,Greenlee,524,560,565,642,684,639,654,800,842,877
4,House Heating Fuel: Fuel Oil,AZ,Greenlee,17,21,24,20,14,0,0,0,0,0
5,House Heating Fuel: Gas,AZ,Greenlee,2428,2334,2439,2385,2432,2288,2404,2321,2177,2061
6,House Heating Fuel: Propane,AZ,Greenlee,119,135,122,142,122,105,99,93,84,76
7,House Heating Fuel: Wood,AZ,Greenlee,176,172,163,143,145,149,126,140,117,97
3,House Heating Fuel: Electric,AZ,La Paz,5602,6059,6444,6115,5973,5688,5329,5176,5534,5921
4,House Heating Fuel: Fuel Oil,AZ,La Paz,3,9,24,19,17,19,16,5,212,226
5,House Heating Fuel: Gas,AZ,La Paz,1440,1376,1207,1123,1106,1049,1001,1016,1013,860
6,House Heating Fuel: Propane,AZ,La Paz,2732,2508,2254,2429,2185,2131,2355,2210,1733,1932
7,House Heating Fuel: Wood,AZ,La Paz,187,185,197,119,60,170,217,221,218,219
3,House Heating Fuel: Electric,AZ,Maricopa,958397,971845,982881,991274,1006088,1021320,1043055,1061663,1083640,1103330
4,House Heating Fuel: Fuel Oil,AZ,Maricopa,612,583,621,782,703,718,876,871,956,993
5,House Heating Fuel: Gas,AZ,Maricopa,399564,399417,397358,396990,393155,394241,393165,394613,400241,409610
6,House Heating Fuel: Propane,AZ,Maricopa,11767,11006,10231,10408,10413,10420,10898,11555,12061,12489
7,House Heating Fuel: Wood,AZ,Maricopa,2030,2304,2093,2033,2075,1868,1578,1802,2006,2321
3,House Heating Fuel: Electric,AZ,Mohave,40741,41051,42766,43372,44203,44379,45869,46667,47860,48812
4,House Heating Fuel: Fuel Oil,AZ,Mohave,54,46,62,29,18,40,56,75,64,78
