,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,AZ,Apache,802,797,685,629,561,1216,1175,1134,1122,1080
51,Year Built: 1950-1959,AZ,Apache,1593,1578,1570,1569,1477,3133,3241,2932,2927,2750
52,Year Built: 1960-1969,AZ,Apache,4809,4013,3796,3639,3233,6725,6574,6806,6765,6715
53,Year Built: 1970-1979,AZ,Apache,7672,7897,7314,6825,6701,7717,7883,7739,7730,7620
54,Year Built: 1980-1989,AZ,Apache,7874,7416,7622,7683,7842,6912,6888,6955,7157,7282
55,Year Built: 1990-1999,AZ,Apache,6558,6519,6492,6526,6670,5440,5591,5519,5363,5547
56,Year Built: 2000-2009,AZ,Apache,1627,2311,4005,4665,5231,392,335,461,534,550
57,Year Built: 2010-2013,AZ,Apache,641,1181,246,234,321,34,70,126,233,303
58,Year Built: before 1940,AZ,Apache,892,799,818,771,578,554,445,485,487,497
50,Year Built: 1940-1949,AZ,Cochise,1772,1865,1991,1912,1598,3757,3455,3534,3495,3837
51,Year Built: 1950-1959,AZ,Cochise,4011,4124,3971,3754,3750,4066,4550,4755,4861,5096
52,Year Built: 1960-1969,AZ,Cochise,5447,4858,4414,4262,4306,10980,11046,11644,11991,11979
53,Year Built: 1970-1979,AZ,Cochise,11703,11726,11574,11153,11079,10408,10327,10035,9607,9108
54,Year Built: 1980-1989,AZ,Cochise,9093,9473,9441,10177,10371,10847,10792,10408,10340,10742
55,Year Built: 1990-1999,AZ,Cochise,10399,10121,10589,10735,10864,12705,12646,12650,12657,12344
56,Year Built: 2000-2009,AZ,Cochise,7210,7301,12256,12649,12427,1033,1215,1360,1761,1831
57,Year Built: 2010-2013,AZ,Cochise,3565,4389,263,385,664,5,109,253,422,504
58,Year Built: before 1940,AZ,Cochise,5052,4911,4661,4457,4743,1560,1319,1314,1202,1305
50,Year Built: 1940-1949,AZ,Coconino,932,711,660,748,800,2969,3296,3076,3131,3006
51,Year Built: 1950-1959,AZ,Coconino,3581,3295,3240,2980,3036,4653,4836,4838,4974,4958
52,Year Built: 1960-1969,AZ,Coconino,5027,4931,4721,4523,4368,12239,11823,11635,11048,11146
53,Year Built: 1970-1979,AZ,Coconino,11153,11762,12180,12170,11875,13909,13722,13723,14295,14424
54,Year Built: 1980-1989,AZ,Coconino,16000,15973,16021,15730,15220,13599,13293,13541,13598,13497
55,Year Built: 1990-1999,AZ,Coconino,13695,13600,13093,13227,13308,13155,13190,13224,13142,13084
56,Year Built: 2000-2009,AZ,Coconino,7737,7804,11667,12545,12883,948,1340,1718,1826,1644
57,Year Built: 2010-2013,AZ,Coconino,2744,3503,163,315,745,54,351,662,1200,2093
58,Year Built: before 1940,AZ,Coconino,1424,1365,1525,1441,1655,678,773,655,559,694
50,Year Built: 1940-1949,AZ,Gila,1065,1111,1079,899,837,2109,2145,2141,1961,1949
51,Year Built: 1950-1959,AZ,Gila,2884,2249,2090,2170,2030,2757,2826,2931,3345,3303
52,Year Built: 1960-1969,AZ,Gila,2613,2860,2955,2685,2676,6745,6687,6979,6337,6834
53,Year Built: 1970-1979,AZ,Gila,6654,6519,6539,6757,6638,6998,6980,6640,6754,6415
54,Year Built: 1980-1989,AZ,Gila,7122,7464,7447,7121,7274,6255,5878,5740,5868,5956
55,Year Built: 1990-1999,AZ,Gila,6692,6837,6716,6724,6338,4755,5178,5328,5408,5437
56,Year Built: 2000-2009,AZ,Gila,2020,2160,3789,4317,4750,290,453,586,662,669
57,Year Built: 2010-2013,AZ,Gila,855,1056,71,181,239,61,51,209,316,467
58,Year Built: before 1940,AZ,Gila,2237,2214,1958,1895,2143,843,851,684,702,600
50,Year Built: 1940-1949,AZ,Graham,685,720,753,740,518,910,1007,973,887,888
51,Year Built: 1950-1959,AZ,Graham,939,924,949,867,809,1273,1283,1211,1154,1258
52,Year Built: 1960-1969,AZ,Graham,1288,1329,1177,1140,1182,2479,2505,2696,2576,2373
53,Year Built: 1970-1979,AZ,Graham,2725,2648,2550,2595,2769,1831,1977,1929,1999,1969
54,Year Built: 1980-1989,AZ,Graham,1961,1990,2012,1921,1760,2362,2249,2342,2462,2432
55,Year Built: 1990-1999,AZ,Graham,2623,2487,2375,2430,2291,2644,2807,2546,2582,2544
56,Year Built: 2000-2009,AZ,Graham,647,846,1972,2396,2717,321,314,573,557,750
57,Year Built: 2010-2013,AZ,Graham,514,765,106,160,221,0,14,44,71,149
58,Year Built: before 1940,AZ,Graham,1239,1100,1109,877,829,554,406,300,357,378
50,Year Built: 1940-1949,AZ,Greenlee,171,163,106,91,90,310,299,341,339,312
51,Year Built: 1950-1959,AZ,Greenlee,392,430,402,421,395,606,583,555,572,606
52,Year Built: 1960-1969,AZ,Greenlee,665,682,717,670,550,1097,1130,1195,1172,1137
53,Year Built: 1970-1979,AZ,Greenlee,1228,1114,1079,1125,1119,534,539,462,479,509
54,Year Built: 1980-1989,AZ,Greenlee,576,585,605,482,602,549,575,514,508,591
55,Year Built: 1990-1999,AZ,Greenlee,274,266,360,388,439,579,554,634,607,519
56,Year Built: 2000-2009,AZ,Greenlee,200,286,562,638,637,59,62,74,138,113
57,Year Built: 2010-2013,AZ,Greenlee,108,202,6,15,31,0,26,24,99,147
58,Year Built: before 1940,AZ,Greenlee,576,559,508,551,532,80,89,177,172,204
50,Year Built: 1940-1949,AZ,La Paz,192,249,206,201,269,700,567,499,561,650
51,Year Built: 1950-1959,AZ,La Paz,1095,1068,1009,863,673,1191,1502,1568,1370,1351
52,Year Built: 1960-1969,AZ,La Paz,1515,1296,1054,1252,1132,4417,4207,4314,3939,3807
53,Year Built: 1970-1979,AZ,La Paz,4205,4376,4407,4029,4137,2989,3182,2540,2894,2782
54,Year Built: 1980-1989,AZ,La Paz,3253,3008,3453,3596,3358,2950,2921,2799,3263,3293
55,Year Built: 1990-1999,AZ,La Paz,3080,3013,2969,2783,3153,3074,2906,3476,3220,3280
56,Year Built: 2000-2009,AZ,La Paz,1907,1965,2747,2962,3005,290,363,375,154,191
57,Year Built: 2010-2013,AZ,La Paz,669,955,79,255,266,51,169,261,411,597
58,Year Built: before 1940,AZ,La Paz,91,111,115,121,120,338,310,296,334,201
50,Year Built: 1940-1949,AZ,Maricopa,25701,25696,25415,25638,25083,94494,93920,93548,92273,91848
51,Year Built: 1950-1959,AZ,Maricopa,96409,96624,96030,95317,94146,122436,126234,129833,133493,134673
52,Year Built: 1960-1969,AZ,Maricopa,125393,123112,121958,121341,121610,294640,293288,293107,292878,293577
53,Year Built: 1970-1979,AZ,Maricopa,295032,297899,298790,293441,291971,311792,313509,311819,312302,312658
54,Year Built: 1980-1989,AZ,Maricopa,320849,320701,319513,318002,315741,357672,358331,358805,359945,361353
55,Year Built: 1990-1999,AZ,Maricopa,345961,348259,352498,353876,354469,420158,413249,410346,404009,398316
56,Year Built: 2000-2009,AZ,Maricopa,255680,255413,401871,415565,422657,23432,32166,41092,48487,52601
57,Year Built: 2010-2013,AZ,Maricopa,116207,137330,4130,8313,14952,2264,9047,20833,36658,57434
58,Year Built: before 1940,AZ,Maricopa,14933,15929,16297,16899,17124,24693,24316,23548,23081,22583
