,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,AZ,2.68,2.67,2.66,2.67,2.68,2.7,2.68,2.71,2.71,2.71
1,Avg household size of renter-occupied unit,AZ,2.7,2.72,2.7,2.74,2.75,2.72,2.7,2.65,2.63,2.59
2,House Heating Fuel: Electric,AZ,1358732,1391980,1421896,1430518,1446705,1490766,1551914,1560459,1578580,1614900
3,House Heating Fuel: Fuel Oil,AZ,1562,860,1766,2702,1214,2114,2113,1069,2817,2905
4,House Heating Fuel: Gas,AZ,825209,811728,819061,814584,812510,803620,813741,830017,858830,877561
5,House Heating Fuel: Propane,AZ,70037,71170,68866,66318,65065,65811,68204,69551,74563,75036
6,House Heating Fuel: Wood,AZ,48836,45923,45518,48822,50054,50238,46732,49249,51457,50942
25,Median Number of Rooms,AZ,5.3,5.2,5.2,5.2,5.2,5.2,5.3,5.3,5.3,5.3
26,Number of Rooms: 1,AZ,61022,69155,65557,64829,65635,78259,78250,81645,80278,83731
27,Number of Rooms: 2,AZ,92487,103493,100005,107906,104343,107369,112746,111359,114003,117603
28,Number of Rooms: 3,AZ,279161,277838,291891,301484,305139,317260,298527,292329,302099,300991
29,Number of Rooms: 4,AZ,502700,514043,522361,517897,519123,522559,512671,505061,512751,518057
30,Number of Rooms: 5,AZ,640575,655911,664266,647686,654033,642798,632037,642516,648811,653040
31,Number of Rooms: 6,AZ,546482,551168,518684,522030,525284,513187,551055,551293,566200,576090
32,Number of Rooms: 7,AZ,352341,321754,335526,333723,340745,342490,346486,357424,365440,351270
33,Number of Rooms: 8,AZ,195043,192911,190393,197548,199327,204135,219303,236983,221982,238240
34,Number of Rooms: 9+,AZ,176927,178087,182803,199256,195707,201116,210061,220575,224338,237026
35,Owner-Occupied,AZ,4087108,4012878,3983404,3985536,3982669,4121791,4273170,4473784,4589745,4718504
36,Renter-Occupied,AZ,2187245,2325701,2420584,2493464,2597412,2551592,2501022,2387343,2422459,2398320
37,Total Housing Units,AZ,2846738,2864360,2871486,2892359,2909336,2929173,2961136,2999185,3035902,3076048
38,Total Population,AZ,6413737,6482505,6553255,6626624,6731484,6828065,6931071,7016270,7171646,7278717
39,Units in Structure: 1 ATTACHED,AZ,146728,148279,136402,132493,136953,142200,149817,146269,138677,146661
40,Units in Structure: 1 DETACHED,AZ,1793469,1808892,1831680,1842597,1850308,1851988,1891231,1939478,1950408,1947693
41,Units in Structure: 10-19,AZ,147529,136954,139559,152005,159792,153826,142252,130585,130601,135998
42,Units in Structure: 2,AZ,38066,41684,47649,39791,38845,40750,36004,39482,36717,41549
43,Units in Structure: 20-49,AZ,80884,72743,74845,72424,78000,81323,71608,77434,76780,81520
44,Units in Structure: 3-4,AZ,96990,101262,97501,100518,96955,103317,98122,98192,101914,105392
45,Units in Structure: 5-9,AZ,121145,122769,128044,125163,122690,123592,123512,121005,124619,122556
46,Units in Structure: 50+,AZ,105786,121934,108718,111604,111823,113464,122190,133545,153694,165325
47,"Units in Structure: Boat,RV,Van,Etc.",AZ,9907,10852,9892,10016,10098,9459,8936,12817,11228,12238
48,Units in Structure: Mobile Home,AZ,306234,298991,297196,305748,303872,309254,317464,300378,311264,317116
49,Year Built: 1940-1949,AZ,48610,52011,53217,49695,45753,42443,44330,43642,48722,40504
50,Year Built: 1950-1959,AZ,166837,165710,161003,164262,164486,174651,161983,156953,155609,163102
51,Year Built: 1960-1969,AZ,218719,201900,206347,212606,218112,221931,219552,221463,231152,224767
52,Year Built: 1970-1979,AZ,493662,530422,499535,500794,504121,494917,506281,509724,494270,509584
53,Year Built: 1980-1989,AZ,540511,539093,533521,526414,523869,529303,540530,517784,538476,535830
54,Year Built: 1990-1999,AZ,587827,574670,589750,601718,597589,605754,583800,586085,607657,607991
55,Year Built: 2000-2009,AZ,444537,447148,755057,751443,745398,721330,718092,731792,707465,698129
56,Year Built: 2010-2013,AZ,298590,302735,23915,36237,58183,75935,87520,95266,92314,89419
57,Year Built: 2014 or later,AZ,,,,,,15934.0,51323.0,91581.0,121019.0,163504.0
58,Year Built: before 1940,AZ,47445,50671,49141,49190,51825,46975,47725,44895,39218,43218
