,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, Arizona (million metric tons CO2)",22.965309,29.954156,31.571172,27.749064,30.515446,32.143479,27.794178,26.593911,29.080969,33.232277,32.676145,33.079972,35.239095,37.003792,38.197074,32.596232,32.591544,35.150853,36.789686,38.402996,41.240216,40.404897,38.806602,38.860906,40.677204,40.970233,41.233764,41.869224,43.80631,39.466917,43.73002,43.921701,40.165182,43.444779,42.773869,36.848872,30.933181,31.947896,31.658357,,
"Total carbon dioxide emissions from all sectors, natural gas, Arizona (million metric tons CO2)",9.23064,10.197916,7.551184,6.388925,6.729973,7.285476,5.581402,6.441398,6.822769,8.036387,6.938804,6.80075,7.09739,6.269123,7.413767,6.788335,6.646143,7.300014,8.546686,8.901317,11.043002,12.968323,13.542555,14.625017,18.902233,17.471613,19.377833,21.328249,21.751429,20.029104,17.838076,15.552713,17.988544,18.059163,16.76145,19.38229,19.838684,17.753026,21.252485,,
"Total carbon dioxide emissions from all sectors, petroleum, Arizona (million metric tons CO2)",20.485257,19.439293,19.047973,19.764243,20.966308,21.284469,22.561131,23.070381,23.406097,23.931954,23.55801,24.190694,24.601186,25.903795,26.312422,27.460393,29.41362,29.311646,31.422103,33.329995,34.100836,35.364808,35.787287,36.577001,37.51551,38.715586,39.711171,39.062019,37.075577,34.286579,34.174613,34.366312,33.638973,34.145415,34.100381,35.086406,36.657701,36.84391,37.479387,,
"Residential carbon dioxide emissions, all fuels, Arizona (million metric tons CO2)",1.778718,1.607711,1.819467,1.820408,1.688498,1.799225,1.599754,1.80746,1.734487,1.680205,1.829518,1.892771,1.758074,1.716689,1.802478,1.692981,1.657681,1.843013,2.169868,2.081674,2.130566,2.190491,2.166258,2.132916,2.24162,2.129516,2.151075,2.273927,2.416741,2.181863,2.324541,2.402588,2.088107,2.40749,2.027571,2.130436,2.189328,2.065237,2.24605,,
"Commercial carbon dioxide emissions, all fuels, Arizona (million metric tons CO2)",1.756224,1.659586,1.722833,1.583739,1.621661,1.724015,1.621315,1.930026,1.855953,1.851516,1.899697,1.834022,1.777653,1.73916,1.82929,1.792978,1.875372,1.977752,2.276602,2.201681,2.191164,2.084873,2.164202,2.046614,2.020472,2.004572,2.034221,2.118878,2.406612,2.196447,2.353152,2.378065,2.310928,2.35316,2.22401,2.897524,3.039411,2.903124,2.896218,,
"Industrial carbon dioxide emissions, all fuels, Arizona (million metric tons CO2)",5.317636,6.531297,5.759275,5.650096,6.423905,5.646519,6.364049,3.461793,3.670104,4.233125,3.884545,3.977572,4.010846,4.00455,4.408642,4.7408,4.919184,4.993794,4.70061,4.794836,4.761255,4.864534,4.301027,4.099728,4.610603,5.033794,5.095199,4.915549,5.45904,4.252172,4.693843,5.055679,4.962061,4.61611,4.509498,4.389781,4.587174,4.866876,4.577948,,
"Transportation carbon dioxide emissions, all fuels, Arizona (million metric tons CO2)",18.526325,18.697363,18.252908,18.515431,19.636656,20.527105,21.093088,21.903172,22.634845,22.59471,22.719817,23.25423,23.627058,24.82422,25.54599,26.01844,27.601317,27.609695,29.768276,31.421309,32.222405,33.279066,34.115031,35.209297,36.022,36.67539,37.863276,37.306475,34.261289,32.264638,31.51733,31.233742,30.661241,31.082384,31.317406,31.845517,32.992326,32.918547,33.901171,,
"Electric power carbon dioxide emissions, natural gas, Arizona (million metric tons CO2)",2.787173,3.223139,1.744609,1.061929,1.414491,2.344733,1.69532,1.462878,1.389501,2.78139,1.327531,1.268691,1.691181,1.115994,1.418735,1.202105,1.21452,1.435713,2.274274,2.939286,5.170319,7.003533,7.853448,9.102614,13.003234,11.81954,13.436229,15.189964,15.469785,14.203164,12.093949,9.756909,12.397645,12.120106,11.228913,13.680927,14.032056,12.343262,15.72902,,
"Residential carbon dioxide emissions, natural gas, Arizona (million metric tons CO2)",1.637488,1.471845,1.648258,1.62295,1.531958,1.588782,1.397937,1.563368,1.547398,1.500814,1.660727,1.704286,1.553128,1.536256,1.619077,1.481077,1.485056,1.685345,1.947286,1.775594,1.861705,1.935242,1.905849,1.9241,2.061994,1.94198,1.948877,2.085392,2.093669,1.876455,2.039764,2.074197,1.893752,2.160945,1.774321,1.912534,1.94076,1.821541,1.93747,,
"Commercial carbon dioxide emissions, natural gas, Arizona (million metric tons CO2)",1.524849,1.496676,1.45996,1.36536,1.404516,1.407116,1.324719,1.521718,1.552491,1.584803,1.555568,1.500124,1.482138,1.503891,1.591965,1.553605,1.553499,1.635153,1.714685,1.687255,1.722272,1.66147,1.711502,1.735059,1.789601,1.731345,1.772517,1.779149,1.770395,1.739463,1.723227,1.753894,1.70731,1.790609,1.668049,1.69203,1.879426,1.732247,1.754743,,
"Industrial carbon dioxide emissions, natural gas, Arizona (million metric tons CO2)",2.09733,2.645246,1.663592,1.649744,1.618281,0.916023,0.467164,0.976932,1.327053,1.148146,1.010517,1.046384,1.084107,1.157272,1.414332,1.526599,1.448978,1.514768,1.521294,1.458952,1.139127,1.135466,0.929181,0.821795,1.11923,0.922921,0.998314,1.054342,1.100077,0.970566,1.039168,1.16852,1.227466,1.206296,1.232241,1.130744,1.092384,1.068561,1.057579,,
