,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Arizona, Annual (Dollars per Thousand Cubic Feet)",4.82,5.02,3.77,4.87,5.63,7.32,7.67,8.25,8.49,7.21,6.59,5.91,4.68,4.73,5.2,4.38,4.07,4.36,3.47,2.62
"Arizona Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",9.43,10.51,12.09,11.31,12.16,13.54,16.32,17.21,17.6,17.65,15.87,15.04,15.75,13.92,17.2,17.04,15.28,15.78,15.35,13.49
"Arizona Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",6.69,7.86,8.42,7.84,8.6,9.85,12.11,12.84,13.01,12.15,10.72,9.99,9.35,8.76,10.34,10.53,8.83,8.97,8.69,7.29
"Electricity price in the residential sector, Arizona (Dollars per million Btu)",24.73,24.32,24.24,24.46,24.79,25.98,27.54,28.32,30.09,31.44,32.14,32.48,33.1,34.33,34.88,35.55,35.62,36.45,37.42,36.44
"Electricity price in the commercial sector, Arizona (Dollars per million Btu)",20.54,20.82,20.45,20.79,21.34,21.68,23.5,24.23,26.17,27.41,27.76,27.83,27.93,28.86,29.7,30.45,30.52,30.76,31.18,30.03
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.246452965543139,3.476395113689258,2.6524178867449235,3.505063504046501,4.160139094788639,5.590994199168405,6.047063245884069,6.691053889451718,7.148386523921096,6.051224315771769,5.621372876516215,5.1996062240615215,4.202815848044029,4.309994250018581,4.8147997480960525,4.060459920282571,3.8208835804782266,4.180639225825631,3.4082288883760414,2.62
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),6.351462959558464,7.278269451170141,8.50602977473372,8.140096145947828,8.985309305973331,10.341811674418059,12.866762995153588,13.957943931813828,14.818798918847031,14.81332998243713,13.53735774663313,13.232162032129487,14.144091796302021,12.683957708299923,15.925876089856173,15.79685777205822,14.34474228739737,15.130845638423956,15.076747388061161,13.49
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),4.505968950100332,5.4431206361748155,5.923967800104047,5.642648433619007,6.354741778895612,7.523400664181527,9.547579648977324,10.413712962492129,10.954123518988629,10.197278146550207,9.144327349962646,8.789182094479628,8.396651320344374,7.982145799188745,9.574044114483304,9.761790630268372,8.289533664772172,8.600994003590806,8.535305198843744,7.29
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),16.656593742299133,16.841818558749555,17.05427309673659,17.604487332438893,18.31791263939793,19.84344662491737,21.71266255432168,22.968563169608807,25.335094287960633,26.387030858233622,27.415921737667855,28.57583928215198,29.725043711593454,31.281628457323013,32.296195233382754,32.95647264064963,33.439772269443345,34.95052747278538,36.753868876954314,36.44
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),13.834469691339432,14.418037104982144,14.387784027568618,14.963094507007545,15.768626693213065,16.559119431416804,18.527507989344933,19.651422514110926,22.03454361967198,23.004723785756475,23.679713361470434,24.484778547484286,25.082189452108917,26.29734335212182,27.4999139458563,28.228539856758967,28.65193289341412,29.494601510641377,30.624950069038892,30.03
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
