,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",AZ,134213,133717,134388,131175,132579,117941,123141,108607,94826,93592
8,"Household Income: $100,000 to $124,999",AZ,164407,163794,180006,177977,184976,191438,199132,223765,227627,249165
9,"Household Income: $125,000 to $149,999",AZ,91640,93047,95372,96145,101762,105972,118826,130907,144280,159770
10,"Household Income: $15,000 to $19,999",AZ,125123,138447,129401,133720,130894,127312,116678,115412,116666,101729
11,"Household Income: $150,000 to $199,999",AZ,76200,84334,88728,95582,98178,111497,124871,132235,149497,165735
12,"Household Income: $20,000 to $24,999",AZ,143156,150227,150509,148606,135420,138715,130098,131184,131479,118356
13,"Household Income: $200,000 or more",AZ,69847,72013,76709,84002,97870,103486,121418,136903,152631,175161
14,"Household Income: $25,000 to $29,999",AZ,136633,134418,132144,132768,130265,129829,130486,119655,116211,108343
15,"Household Income: $30,000 to $34,999",AZ,142205,134685,139168,135691,137663,134024,123857,123962,127277,120412
16,"Household Income: $35,000 to $39,999",AZ,130639,124008,128799,124341,121504,120831,124089,121381,127296,123273
17,"Household Income: $40,000 to $44,999",AZ,126780,126216,125650,128380,126910,123438,128122,127430,118412,124713
18,"Household Income: $45,000 to $49,999",AZ,104492,104087,107705,105134,108622,112579,106138,109353,107985,116654
19,"Household Income: $50,000 to $59,999",AZ,200211,196212,197970,200115,204459,205224,218352,209144,221756,217906
20,"Household Income: $60,000 to $74,999",AZ,238255,237864,245447,241132,245700,258631,253777,267825,278318,283766
21,"Household Income: $75,000 to $99,999",AZ,263927,263676,270785,277077,283298,295729,315958,323345,342393,354816
22,"Household Income: Less than $10,000",AZ,186322,199310,189387,188964,188643,186362,184109,171864,157644,157050
23,Household Income: Total:,AZ,2334050,2356055,2392168,2400809,2428743,2463008,2519052,2552972,2614298,2670441
24,Median Household Income,AZ,46789.0,46709.0,47826.0,48510.0,50068.0,51492.0,53558.0,56581.0,59246.0,62055.0
