State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AZ,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,144680,303856,811593,779129,755760,1237117,1084860,949957,786584,799070,597259,627986,476590,443448,439198,617980,593857,1097753
AZ,Residential Total Volume (Mcf),31046091,36100252,32940263,34739977,36248739,35305394,35810371,38205746,35767050,36055328,38321095,38453331,34732287,37812271,38591573,34973820,39691832,32397158,34515754,35120086,32821269,35124758,42084790
AZ,Residential Sales Volume (Mcf),31046091,36100252,32940263,34739977,36248739,35305394,35413076,38205746,35767050,36055328,38321095,38453331,34732287,37812271,38589202,34971652,39689243,32395062,34513640,35117947,32819370,35122620,42082420
AZ,Residential Transported Volume (Mcf),0,0,0,0,0,0,397295,0,0,0,0,0,0,0,2371,2168,2589,2096,2114,2139,1899,2138,2370
AZ,Residential Sales Price (Dollars),7.66,6.95,7.11,7.21,8.62,9.85,9.48,10.39,12.78,15.02,14.31,15.08,14.24,13.63,12.96,12.19,12.4,13.86,13.76,12.85,14.22,13.75,14.0
AZ,Residential Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
AZ,Residential Sales Revenue (Dollars),242971155,306977991,300781424,327564276,381122676,426907723,400346355,464497907,484284325,588555336,659358792,676936974,612904996,600194396,580318893,550788383,552346541,557101861,588073013,536609603,517815186,539040298,567576826
AZ,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Residential Total Customers,724122,764167,802469,846016,884788,925927,957442,993885,1042662,1088574,1119266,1128264,1130047,1138448,1146286,1157688,1172003,1186794,1200773,1215692,1234912,1252498,1277421
AZ,Residential Sales Customers,724122,764167,802469,846016,884788,925927,957429,993885,1042662,1088574,1119266,1128264,1130047,1138448,1146280,1157682,1171997,1186788,1200767,1215686,1234910,1252496,1277419
AZ,Residential Transported Customers,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,6,6,6,6,6,2,2,2
AZ,Commercial Total Volume (Mcf),30129261,31788351,31301367,32138050,31120676,31704769,32292053,33159129,31887795,32791890,32693711,32515722,32196188,31945375,32633207,31529684,32890148,30456147,30535971,34009565,31212089,31812466,34686520
AZ,Commercial Sales Volume (Mcf),25466852,27011153,25816098,26884492,28823374,29409477,29289273,31006214,29747652,30531352,30521591,30257907,28330118,28339901,28645153,27316220,28117891,25712815,25544284,25613548,25299618,26001692,28275265
AZ,Commercial Transported Volume (Mcf),4662409,4777198,5485269,5253558,2297302,2295292,3002780,2152915,2140143,2260538,2172120,2257815,3866070,3605474,3988054,4213464,4772257,4743332,4991687,8396017,5912471,5810774,6411255
AZ,Commercial Sales Price (Dollars),5.6,5.2,5.55,5.67,7.45,7.83,8.21,8.45,10.4,12.56,11.87,12.49,10.91,10.38,9.83,8.69,9.23,10.08,9.92,8.83,9.68,9.63,9.01
AZ,Commercial Transported Price (Dollars),,,,,,,,,,,,1.46,2.1,2.07,2.12,2.45,2.55,7.08,2.71,2.67,2.57,2.52,2.47
AZ,Commercial Sales Revenue (Dollars),135512815,162200251,159367424,179864668,226629884,247517977,229585989,266599956,292896878,369732360,391994812,393582323,344168030,303676306,286217903,255532086,246447593,265929425,269008562,226237425,226861039,225998291,206041042
AZ,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,3845058,7345736,7235534,8236945,10212867,12008223,13752454,13647952,14931119,16574197,15523665,16664215
AZ,Commercial Total Customers,50058,51712,53022,54056,54724,56260,56082,56186,56572,57091,57169,57586,57191,56676,56547,56532,56585,56649,56793,56932,57143,57504,57868
AZ,Commercial Sales Customers,50024,51664,52728,53823,54677,56092,55912,56042,56441,56955,57047,57481,57022,56510,56349,56252,56270,56331,56451,56576,56780,57121,57481
AZ,Commercial Transported Customers,34,48,294,233,47,168,170,144,131,136,122,105,169,166,198,280,315,318,342,356,363,383,387
