Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,AZ,1365198,12054,571,7776,72742,39683,36607,169333,302187,443738,264454,16053
Statewide Total,,Cooperative,AZ,7271,4255,0,0,0,0,0,728,1086,732,417,53
Statewide Total,,Privately Owned,AZ,11412,0,0,0,0,99,886,2518,3910,2800,1072,127
Statewide Total,,Investor Owned,AZ,1267185,4958,508,7307,70416,34752,30475,162257,283702,411603,247536,13671
Statewide Total,,Municipal Owned,AZ,79330,2841,63,469,2326,4832,5246,3830,13489,28603,15429,2202
UNISOURCE ENERGY SERVICES,31840,Investor Owned,AZ,150734,0,0,331,11213,13637,16901,19392,34037,40409,13001,1813
COLORADO CITY GAS DEPARTMENT,31795,Municipal Owned,AZ,378,0,0,0,0,0,0,0,0,232,129,17
ALLIANT GAS,31432,Privately Owned,AZ,10419,0,0,0,0,99,208,2384,3910,2630,1061,127
"WILLCOX MUNICIPAL SYSTEM, CITY OF",22609,Municipal Owned,AZ,1306,625,0,0,0,0,0,0,160,372,149,0
SOUTHWEST GAS CORP,18536,Investor Owned,AZ,1116451,4958,508,6976,59203,21115,13574,142865,249665,371194,234535,11858
"SAFFORD UTILITIES DIV, CITY OF",18028,Municipal Owned,AZ,3914,2216,0,0,0,0,3,185,221,1045,196,48
"MESA MUNICIPAL SYSTEM, CITY OF",12378,Municipal Owned,AZ,71624,0,63,469,2326,4832,4143,3209,12713,26819,14913,2137
GRAHAM COUNTY UTIL INC,6484,Cooperative,AZ,6392,4255,0,0,0,0,0,0,990,692,403,52
DUNCAN RURAL SERVICE CORP,3605,Cooperative,AZ,879,0,0,0,0,0,0,728,96,40,14,1
"COPPER MARKET, INC",2778,Privately Owned,AZ,993,0,0,0,0,0,678,134,0,170,11,0
CITY OF BENSON,1312,Municipal Owned,AZ,2108,0,0,0,0,0,1100,436,395,135,42,0
