,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,AR,59148,56133,54485,56057,52322,51395,51531,47356,51091,51294
50,Year Built: 1950-1959,AR,101100,100865,98858,89883,93530,92253,97095,90916,96734,95895
51,Year Built: 1960-1969,AR,145709,143209,151800,140122,136096,145108,141083,141968,141168,141416
52,Year Built: 1970-1979,AR,260444,253150,241845,251860,258177,245716,252057,244383,251156,241731
53,Year Built: 1980-1989,AR,219655,213361,222376,213155,222149,202070,199046,209191,205722,206402
54,Year Built: 1990-1999,AR,238917,242216,245802,254122,240567,239702,244002,248579,237087,246852
55,Year Built: 2000-2009,AR,123282,127948,224014,230550,235584,241953,222496,224841,217218,212641
56,Year Built: 2010-2013,AR,98423,115423,21527,30739,39856,49211,54658,58611,55849,53746
57,Year Built: 2014 or later,AR,,,,,,8361.0,23618.0,41246.0,60024.0,73694.0
58,Year Built: before 1940,AR,71140,72166,67518,63289,62800,71829,69215,63018,64472,65488
