,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Arkansas, Annual (Dollars per Thousand Cubic Feet)",4.16,6.11,5.17,6.07,7.12,8.83,7.96,8.55,8.88,7.86,6.76,6.27,5.36,4.99,5.84,4.77,4.29,4.7,4.42,4.04
"Arkansas Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",7.43,10.03,8.95,10.33,11.73,13.65,14.15,13.08,14.09,13.39,11.53,11.46,11.82,10.46,10.39,11.58,11.17,12.97,11.77,11.05
"Arkansas Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",5.41,7.8,7.05,7.67,8.86,10.2,10.72,10.07,11.32,10.72,8.89,8.9,7.99,7.68,7.88,8.43,7.14,8.34,7.95,7.68
"Electricity price in the residential sector, Arkansas (Dollars per million Btu)",21.85,22.61,21.26,21.23,21.58,23.45,25.95,25.59,27.18,26.79,25.95,26.42,27.24,28.09,27.86,28.78,29.09,30.12,28.74,28.71
"Electricity price in the commercial sector, Arkansas (Dollars per million Btu)",17.49,18.3,16.82,16.23,16.53,18.12,20.39,20.27,22.3,22.15,21.42,21.98,22.61,23.58,23.59,24.39,24.12,24.95,22.71,25.75
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),6.176340828842223,8.822990194417144,7.348351893343415,8.433770163043478,9.63563935884134,11.560663040861998,10.096338919814643,10.54206126051393,10.546603733263959,9.36514613287349,7.924825657110365,7.12663582648284,5.968569860531565,5.47627180706755,6.307219736814313,5.14537771833149,4.5697021728713985,4.901642761569088,4.500108561461079,4.04
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),11.03130104766772,14.483566554828796,12.721034708979412,14.352692880434784,15.874445179664175,17.871240148104903,17.94763765268558,16.127504244154643,16.734419662352384,15.954110269615269,13.516751453621673,13.025717156538015,13.162032789455802,11.479319258903121,11.2212351139556,12.4912943350689,11.898268827732755,13.526448216500228,11.983320762080748,11.05
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),8.03221247212414,11.2633917375538,10.020479854559202,10.65683972826087,11.990416393164926,13.354333297484981,13.597079550303139,12.416205484605294,13.444544398710361,12.77282017104374,10.421849125992773,10.115958350190954,8.897177833143134,8.428410316288334,8.510426631180955,9.093403389000935,7.6055183017020465,8.697808644997062,8.094086665976377,7.68
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),32.440636324567926,32.649395793088644,30.217787476301936,29.497354293478264,29.204648506151138,30.701874100590473,32.9145722323103,31.552204404275024,32.281158724111975,31.92013548341994,30.4214831068068,30.029620181128653,30.33280653001489,30.82734971152855,30.088894155418963,31.044857596138428,30.98662848690652,31.41222978265126,29.260886890586296,28.71
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),25.96735603280059,26.425649845799303,23.90701718491997,22.550261902173915,22.37038182607407,23.72358032847332,25.862355599876956,24.992699619955243,26.485277393219175,26.391601379535338,25.11091206735267,24.983007251370466,25.177120251234825,25.87785354922902,25.477279724563292,26.30938418241196,25.692591237682546,26.020422744925263,23.121598513751387,25.75
Inflation Adjustment Factor (2019),1.4846973146255342,1.4440245817376667,1.4213446602211635,1.3894184782608696,1.3533201346687276,1.3092483624985276,1.2683842864088748,1.2329896211127402,1.187680600592788,1.1914944189406473,1.1723114877382197,1.1366245337293206,1.1135391530842471,1.0974492599333767,1.0800033795914918,1.0786955384342747,1.0651986416949646,1.0429027152274655,1.018124108927846,1.0
