,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,AR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,1.122,6450.65,706.33,1587.5,0.0,35.56
2,AR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,2.834,16348.41,1493.74,3491.68,546.76,33.839999999999996
3,AR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,1.181,15126.72,1214.02,2944.71,813.93,32.87
4,AR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,1.52,0.0,0.0,0.0,0.0,
5,AR,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,0.049,0.0,0.0,0.0,0.0,
6,AR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,19.827,3301.36,621.96,253.09,0.0,26.51
7,AR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,39.262,19184.7,979.65,112.86,0.0,5.6899999999999995
8,AR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,37.67,28187.19,1301.71,112.09,0.0,5.0200000000000005
9,AR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,7.276,15305.57,516.34,189.59,0.0,4.61
10,AR,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,24.972,74252.55,3241.4,0.0,0.0,4.37
11,AR,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.01,0.0,0.0,0.0,0.0,
12,AR,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.041,0.0,0.0,0.0,0.0,
13,AR,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.023,0.0,0.0,0.0,0.0,
14,AR,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.024,0.0,0.0,0.0,0.0,
15,AR,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.0,0.0,0.0,0.0,0.0,
16,AR,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.0,0.0,0.0,0.0,0.0,
17,AR,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.0,0.0,0.0,0.0,0.0,
18,AR,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
19,AR,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.0,0.0,0.0,0.0,0.0,
20,AR,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.0,0.0,0.0,0.0,0.0,
21,AR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,19.186,0.0,0.0,0.0,0.0,
22,AR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,20.07,15937.26,409.28,1111.07,0.0,9.54
23,AR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,24.887,28617.31,1131.14,949.39,0.0,7.2700000000000005
24,AR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,135.839,42716.05,1126.35,1059.5,0.0,5.12
25,AR,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,43.609,105363.38,1191.37,708.73,0.0,1.7999999999999998
26,AR,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,9.02,4850.0,815.89,394.08,21.02,25.380000000000003
27,AR,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.178,0.0,0.0,0.0,0.0,
28,AR,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.296,0.0,0.0,0.0,0.0,
29,AR,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,3.544,44502.49,2292.39,464.52,0.0,6.1899999999999995
30,AR,OWNER,1940-59,1 ATTACHED,WOOD,400%+,2.22,0.0,0.0,0.0,0.0,
31,AR,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.0,0.0,0.0,0.0,0.0,
32,AR,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.0,0.0,0.0,0.0,0.0,
33,AR,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
34,AR,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.0,0.0,0.0,0.0,0.0,
35,AR,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.0,0.0,0.0,0.0,0.0,
36,AR,OWNER,1940-59,1 ATTACHED,NONE,0-100%,0.006,0.0,0.0,0.0,0.0,
37,AR,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.0,0.0,0.0,0.0,0.0,
38,AR,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.0,0.0,0.0,0.0,0.0,
39,AR,OWNER,1940-59,1 ATTACHED,NONE,200-400%,0.001,0.0,0.0,0.0,0.0,
40,AR,OWNER,1940-59,1 ATTACHED,NONE,400%+,0.001,0.0,0.0,0.0,0.0,
41,AR,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,0.002,0.0,0.0,0.0,0.0,
42,AR,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,0.001,0.0,0.0,0.0,0.0,
