,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
3,House Heating Fuel: Electric,CA,Merced,24402,24983,25919,27604,28338,30056,31185,32742,33347,34084
4,House Heating Fuel: Fuel Oil,CA,Merced,82,83,105,84,75,99,57,69,83,82
5,House Heating Fuel: Gas,CA,Merced,42012,42227,41581,40957,41625,40954,39950,39330,38798,38482
6,House Heating Fuel: Propane,CA,Merced,3515,3224,3234,3253,3124,3241,3389,3237,3185,3049
7,House Heating Fuel: Wood,CA,Merced,2012,1736,1646,1601,1404,1514,1570,1500,1571,1576
3,House Heating Fuel: Electric,CA,Modoc,628,589,654,663,727,703,728,759,673,676
4,House Heating Fuel: Fuel Oil,CA,Modoc,1016,902,867,797,742,698,753,635,643,526
5,House Heating Fuel: Gas,CA,Modoc,359,340,298,308,238,189,158,188,172,198
6,House Heating Fuel: Propane,CA,Modoc,504,546,456,446,273,253,246,252,277,260
7,House Heating Fuel: Wood,CA,Modoc,1331,1480,1510,1637,1745,1798,1692,1715,1804,1887
3,House Heating Fuel: Electric,CA,Mono,1305,1306,1154,1228,1110,1048,990,1037,873,806
4,House Heating Fuel: Fuel Oil,CA,Mono,155,158,138,94,91,74,101,109,134,160
5,House Heating Fuel: Gas,CA,Mono,906,973,945,927,978,979,978,893,974,974
6,House Heating Fuel: Propane,CA,Mono,1254,1186,1136,1213,1060,1078,1076,952,887,805
7,House Heating Fuel: Wood,CA,Mono,1499,1539,1378,1505,1596,1373,1471,1590,1615,1635
3,House Heating Fuel: Electric,CA,Monterey,28969,31746,34397,36716,38337,40971,42527,45217,48515,51574
4,House Heating Fuel: Fuel Oil,CA,Monterey,192,186,122,118,101,119,132,152,170,178
5,House Heating Fuel: Gas,CA,Monterey,82051,80444,78693,77494,75720,73026,71903,68880,65698,63769
6,House Heating Fuel: Propane,CA,Monterey,5939,5863,5634,5297,5335,5519,5628,5856,5645,5606
7,House Heating Fuel: Wood,CA,Monterey,3319,3145,2699,2680,2713,2740,2763,2712,2419,2401
3,House Heating Fuel: Electric,CA,Napa,8509,9019,8749,9411,9976,10991,11571,12056,12385,12774
4,House Heating Fuel: Fuel Oil,CA,Napa,41,60,56,51,54,79,54,56,54,59
5,House Heating Fuel: Gas,CA,Napa,36230,35920,36038,35466,34819,33478,32888,32031,31758,31472
6,House Heating Fuel: Propane,CA,Napa,2330,2515,2424,2303,2415,2539,2470,2346,2212,2118
7,House Heating Fuel: Wood,CA,Napa,1502,1553,1453,1635,1675,1707,1574,1533,1415,1211
3,House Heating Fuel: Electric,CA,Nevada,5181,5302,5340,5661,5689,5997,5753,5659,5763,5731
4,House Heating Fuel: Fuel Oil,CA,Nevada,508,463,468,371,338,379,371,329,388,357
5,House Heating Fuel: Gas,CA,Nevada,12525,13551,13824,13459,13746,13713,13542,13187,13452,13673
6,House Heating Fuel: Propane,CA,Nevada,15458,15055,14563,14116,13657,13134,12952,13437,13777,14409
7,House Heating Fuel: Wood,CA,Nevada,6962,6565,6626,6547,6749,7029,7187,7130,6704,5865
3,House Heating Fuel: Electric,CA,Orange,208441,212418,217381,226377,232211,241682,248093,248159,249180,250394
4,House Heating Fuel: Fuel Oil,CA,Orange,678,536,444,515,407,387,479,532,489,508
5,House Heating Fuel: Gas,CA,Orange,717057,718564,716945,713108,710978,706994,703664,708939,714666,721766
6,House Heating Fuel: Propane,CA,Orange,10830,9997,10279,11051,11681,11934,13167,13775,13662,13888
7,House Heating Fuel: Wood,CA,Orange,2867,2734,2431,2385,2457,2463,2293,2146,1985,1801
3,House Heating Fuel: Electric,CA,Placer,29183,30257,30759,32318,31859,32840,33396,33797,33004,34330
4,House Heating Fuel: Fuel Oil,CA,Placer,511,459,450,490,510,502,466,369,299,241
5,House Heating Fuel: Gas,CA,Placer,80231,80963,81337,80147,81692,81758,82483,84151,87596,87906
6,House Heating Fuel: Propane,CA,Placer,12746,12350,12128,12023,12071,12108,12157,11984,11921,12258
7,House Heating Fuel: Wood,CA,Placer,5195,5513,5809,6169,6245,6385,6055,5978,5600,5522
