,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,CA,5.1,5.1,5.0,5.1,5.0,5.1,5.0,5.0,5.0,5.0
26,Number of Rooms: 1,CA,461928,439275,424719,426830,434383,539055,548104,574166,577749,576699
27,Number of Rooms: 2,CA,520878,525524,551442,549838,570218,550196,577457,590558,604864,610732
28,Number of Rooms: 3,CA,1618942,1668785,1668203,1677976,1675884,1626645,1657628,1672707,1706914,1781431
29,Number of Rooms: 4,CA,2623963,2643042,2675247,2645475,2704014,2737529,2725838,2741852,2757196,2794166
30,Number of Rooms: 5,CA,2812683,2828237,2812222,2831007,2859481,2800852,2788506,2784225,2789826,2778442
31,Number of Rooms: 6,CA,2321437,2339450,2336432,2333634,2331176,2395039,2382115,2403237,2423866,2407796
32,Number of Rooms: 7,CA,1542055,1507458,1498683,1505214,1525783,1477085,1484907,1488422,1488368,1473852
33,Number of Rooms: 8,CA,912704,906525,889312,895444,894554,955340,965495,978928,982622,989529
34,Number of Rooms: 9+,CA,868386,862891,851937,925844,906101,906658,931325,943175,946462,954365
