,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, California (Million cubic feet)",552544,630998,637289,615719,580009,631398,599631,541728,537412,590732,529342,488353,537194,498601,472151,527495,464307,503473,497138,514276,514507,508697,479537,500968,520959,477495,473310,478904,549931,568496,516730,512695,510995,497955,512046,483699,491777,492378,489304,480721,494890,512565,477931,481773,397489,401172,411828,431005,423915,464672,
"Natural gas consumed by (delivered to) the commercial sector, California (Million cubic feet)",209945,239685,231536,232774,228988,240239,219840,227543,221441,258490,258151,236910,236202,215918,191838,205044,182794,212904,248397,259118,285090,287608,285008,250283,261989,278761,235068,253923,282153,244701,246439,245795,238308,232912,231597,233082,244432,251024,251045,247775,247997,246141,253148,254845,237675,235791,236967,237352,248012,255981,
"Natural gas consumed by the industrial sector, California (Million cubic feet)",710753,697078,692216,721868,713464,666373,626238,628821,487453,498678,486173,462502,362582,345221,421346,432859,427654,556251,486786,527534,587918,706870,686797,699536,675938,697784,702307,793722,818655,791970,840531,719121,784853,821105,875921,822121,791763,797977,787599,771892,770837,752982,789496,828649,834167,822801,816878,803207,807353,808070,
"Natural gas consumed by the electric power sector, California (Million cubic feet)",636270,562827,605791,455526,292959,274562,295009,359051,302167,444601,518808,655334,533832,465066,573001,666274,444226,643335,552938,654648,628785,628535,762932,673065,810674,602903,525035,595822,649087,723171,893377,973327,726627,705343,770517,689169,770836,834286,857867,808928,736092,616564,855342,825713,831522,805933,666017,600988,616008,568341,
"Residential carbon dioxide emissions, natural gas, California (million metric tons CO2)",,,,,,,,,,,29.309086,27.055345,29.845277,27.534235,25.998191,29.064071,25.534953,27.407641,27.135885,28.365155,28.171021,27.700939,26.11863,27.59212,28.17187,25.611992,25.972618,25.843796,30.821944,30.605897,26.218748,27.622998,27.633875,26.946102,27.710011,26.257002,26.686654,26.889384,26.678643,26.193864,26.821737,27.717121,25.871173,26.228935,21.687125,22.068125,22.622832,23.679933,23.247256,,
"Commercial carbon dioxide emissions, natural gas, California (million metric tons CO2)",,,,,,,,,,,14.293519,13.125105,13.122877,11.923637,10.563211,11.297568,10.052912,11.58991,13.558525,14.291768,15.609643,15.661638,15.523373,13.784971,14.167563,14.952218,12.899243,13.702786,15.813858,13.173864,12.504236,13.242944,12.887358,12.603717,12.533152,12.652582,13.264326,13.708728,13.687877,13.500906,13.440792,13.310167,13.703317,13.874424,12.967633,12.970657,13.017241,13.040427,13.600811,,
"Industrial carbon dioxide emissions, natural gas, California (million metric tons CO2)",,,,,,,,,,,26.91883,25.623187,20.144237,19.064109,23.200672,23.849768,23.519224,30.280766,26.570832,29.096435,32.190541,38.492399,37.407338,38.528796,36.552648,37.42787,38.538665,42.832806,45.88314,42.636974,42.648275,38.74479,42.443742,44.432889,47.401516,44.627925,42.96566,43.578518,42.942793,42.059346,41.77735,40.717755,42.736667,45.113712,45.51238,45.261581,44.873366,44.129193,44.252072,,
"Natural Gas Citygate Price in California, Annual (Dollars per Thousand Cubic Feet)",,,,,,,,,,,,,,,3.97,3.54,2.76,2.39,2.6,2.75,2.9,2.8,2.72,2.85,2.57,2.03,2.59,2.98,2.38,2.61,4.32,6.64,3.2,5.16,6.04,7.88,6.76,6.82,8.11,4.17,4.86,4.47,3.46,4.18,4.88,3.27,2.96,3.45,3.29,3.1,3.02
"California Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",0.99,1.03,1.08,1.16,1.38,1.57,1.77,1.89,1.99,2.47,3.51,3.74,4.43,5.41,5.84,5.72,5.14,5.26,5.64,5.59,5.78,6.27,5.97,6.23,6.39,6.42,6.44,6.81,6.92,6.62,8.21,10.43,7.11,9.13,9.86,11.85,11.79,11.57,12.75,9.43,9.92,9.93,9.14,9.92,11.51,11.39,11.84,12.49,12.3,12.95,
"California Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",0.73,0.76,0.81,0.85,0.99,1.29,1.59,2.07,2.24,2.73,3.98,4.38,5.32,6.33,6.95,6.63,5.86,5.42,4.68,4.88,5.12,5.5,5.15,6.03,7.12,6.21,5.96,6.41,6.33,6.14,7.54,9.33,6.07,8.15,8.63,10.69,10.43,10.2,11.75,7.75,8.3,8.29,7.05,7.81,9.05,8.04,8.42,8.76,8.57,9.41,9.86
