Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,CA,15583,13942,14916,16823,17523,18068,17566,18586,20256,20087,21001
,Statewide Total,Cooperative,CA,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,CA,0,0,2,54,2,6,4,3,2,6,1
,Statewide Total,Investor Owned,CA,15483,13833,14802,16625,17387,17948,17450,18490,20154,19988,20911
,Statewide Total,Municipal Owned,CA,100,109,112,144,134,114,112,93,100,93,89
32119,CITY OF VICTORVILLE,Municipal Owned,CA,0,0,0,2,0,0,0,0,0,0,0
31964,KAMPS PROPANE,Privately Owned,CA,0,0,0,50,0,0,0,0,0,0,0
31955,CITY OF VERNON,Municipal Owned,CA,0,0,1,0,2,1,0,0,0,0,0
31599,CITY OF SUSANVILLE,Municipal Owned,CA,0,4,0,0,0,0,0,0,0,0,0
31515,ALPINE NATURAL GAS,Privately Owned,CA,0,0,2,4,2,6,4,3,2,6,1
31267,WEST COAST GAS CO INC,Privately Owned,CA,0,0,0,0,0,0,0,0,0,0,0
31097,ISLAND ENERGY,Municipal Owned,CA,0,2,1,1,3,0,3,6,1,0,2
30909,TRANSMONTAIGNE OPERATING COMPANY L.P.,Privately Owned,CA,0,0,0,0,0,0,0,0,0,0,0
18484,SOUTHERN CALIFORNIA GAS CO,Investor Owned,CA,7072,6903,6634,7214,9098,9490,9254,9463,9531,9097,9074
18480,SOUTHERN CALIFORNIA EDISON CO,Investor Owned,CA,0,0,2,3,6,1,0,0,0,0,0
18112,SAN DIEGO GAS & ELECTRIC CO,Investor Owned,CA,984,958,988,864,978,1025,1098,1389,1402,1190,1020
15084,"PALO ALTO, CITY OF",Municipal Owned,CA,41,39,62,70,66,53,51,27,47,38,36
15007,PACIFIC GAS & ELECTRIC CO,Investor Owned,CA,7427,5972,7178,8544,7305,7432,7098,7638,9221,9701,10817
11712,"LONG BEACH GAS DEPT, CITY OF",Municipal Owned,CA,59,64,48,67,61,58,55,49,48,55,47
2524,"COALINGA, CITY OF",Municipal Owned,CA,0,0,0,4,2,2,3,11,4,0,4
