,urban_area,source,all_exp,POC_exp,white_exp,latino_exp,black_exp,asian_exp,white_diff,white_pctDiff,POC_diff,POC_pctDiff,latino_diff,latino_pctDiff,black_diff,black_pctDiff,asian_diff,asian_pctDiff,State
0,"Boulder, CO",All,6.18240184612157,6.27993564548017,6.15913014126597,6.23887172912382,6.23358135549156,6.35277956825591,-0.0232717048556008,-0.00376418509097722,0.0975337993586045,0.0157760368520514,0.0564698830022507,0.00913397161940812,0.0511795093699954,0.0082782566782038,0.170377722134339,0.0275585001387807,CO
1,"Colorado Springs, CO",All,6.11554760301808,6.27912258602065,6.03716696715209,6.34929719944744,6.2682510725169,5.99578264995709,-0.0783806358659929,-0.012816617734659,0.163574983002567,0.0267473975546918,0.233749596429357,0.0382221857473564,0.152703469498817,0.0249697131657444,-0.119764953060995,-0.0195836842152761,CO
2,"Denver--Aurora, CO",All,7.92881974722614,8.42895942323143,7.63083081686059,8.40513144614892,9.19649322379102,7.74362978445869,-0.297988930365548,-0.0375830123354486,0.50013967600529,0.0630787042649395,0.476311698922775,0.0600734679445084,1.26767347656487,0.159881737380694,-0.185189962767455,-0.0233565610861873,CO
3,"Fort Collins, CO",All,5.73773227494471,5.73456661723451,5.7384276239934,5.74047092623097,5.59702077649855,5.76927390472792,0.000695349048692506,0.000121188827810759,-0.0031656577101975,-0.00055172628461965,0.00273865128625772,0.000477305519850891,-0.140711498446154,-0.0245238870869955,0.031541629783213,0.00549722926615932,CO
4,"Grand Junction, CO",All,3.10767807913997,3.14665148372557,3.0973223336206,3.13973479752862,3.2249078355282,3.05740633598196,-0.010355745519373,-0.00333230960725472,0.0389734045855992,0.0125410044390392,0.0320567183886515,0.0103153278982883,0.117229756388232,0.0377226190753562,-0.0502717431580066,-0.0161766250807802,CO
5,"Greeley, CO",All,5.99805375687004,5.97087859308346,6.01478002496517,5.96139807419461,6.0108371055827,6.01617132622272,0.0167262680951268,0.00278861590327844,-0.0271751637865858,-0.00453066359324638,-0.0366556826754376,-0.00611126277977302,0.0127833487126523,0.00213124944037231,0.0181175693526798,0.00302057468756901,CO
6,"Lafayette--Louisville--Erie, CO",All,5.52717132012288,5.55185856409585,5.52127950529924,5.6302559989027,5.4419075144214,5.41578508422744,-0.00589181482364953,-0.00106597289687748,0.0246872439729628,0.00446652411208668,0.103084678779815,0.018650530770507,-0.0852638057014836,-0.0154263005004136,-0.111386235895446,-0.02015248477823,CO
7,"Longmont, CO",All,6.40684876665476,6.50391610475065,6.36172488110357,6.51456098111657,6.42222174444312,6.38676383901209,-0.0451238855511855,-0.00704307018858294,0.0970673380958944,0.0151505586648296,0.107712214461812,0.016812042610154,0.0153729777883607,0.00239946006972589,-0.0200849276426665,-0.00313491520936173,CO
8,"Pueblo, CO",All,4.53605804371289,4.64553845472896,4.41472903109072,4.65185740116187,4.63721702883857,4.16604322557073,-0.121329012622164,-0.0267476763861807,0.109480411016078,0.0241355842365864,0.115799357448988,0.0255286322029078,0.101158985125681,0.02230107819407,-0.370014818142161,-0.0815718878763053,CO
9,"Boulder, CO",Agriculture,1.23125311972933,1.23501940087415,1.23035447962937,1.22102075242838,1.23415861064787,1.25177064516827,-0.00089864009996421,-0.000729858130358899,0.00376628114482158,0.00305890079340431,-0.0102323673009452,-0.00831053106545195,0.00290549091854131,0.00235978359931387,0.0205175254389434,0.0166639378290094,CO
10,"Colorado Springs, CO",Agriculture,0.861269268787052,0.851180379549194,0.866103587208668,0.855193820756416,0.837779898922151,0.84462303104631,0.00483431842161586,0.00561301627355653,-0.0100888892378579,-0.0117139779665729,-0.00607544803063653,-0.00705406340480805,-0.023489369864901,-0.0272729687638591,-0.016646237740742,-0.0193275649602422,CO
11,"Denver--Aurora, CO",Agriculture,0.692965413300914,0.673032114360698,0.704841900440055,0.694542128482601,0.592305086149678,0.662057472747292,0.0118764871391417,0.0171386434462414,-0.0199332989402153,-0.0287652147677383,0.00157671518168723,0.00227531584033409,-0.100660327151235,-0.145260247076032,-0.0309079405536211,-0.044602428866388,CO
12,"Fort Collins, CO",Agriculture,0.736216369895923,0.736382780906618,0.736179817069127,0.738498977257155,0.724735869289076,0.734320301516011,-3.65528267967097e-05,-4.96495708209763e-05,0.000166411010695033,0.000226035466609576,0.00228260736123132,0.00310045722231632,-0.0114805006068471,-0.0155939219450799,-0.00189606837991185,-0.00257542273907859,CO
13,"Grand Junction, CO",Agriculture,0.239197542376367,0.236323258084387,0.239961277466862,0.236077335037524,0.233387938112791,0.236976665496486,0.000763735090495099,0.00319290525691687,-0.0028742842919805,-0.012016362139114,-0.00312020733884291,-0.0130444790855476,-0.0058096042635766,-0.0242878927845982,-0.00222087687988082,-0.00928469773483862,CO
14,"Greeley, CO",Agriculture,0.45099907973312,0.447176247586568,0.453352026558686,0.447330719282599,0.44381267264004,0.449542811524575,0.00235294682556653,0.00521718764250892,-0.00382283214655171,-0.00847636351899851,-0.00366836045052099,-0.00813385351626828,-0.00718640709307922,-0.0159344163126271,-0.00145626820854444,-0.00322898266090963,CO
15,"Lafayette--Louisville--Erie, CO",Agriculture,0.898434084774284,0.902253300924116,0.897522597272846,0.911211989045359,0.910573869050472,0.885393649709623,-0.000911487501437769,-0.00101452907551561,0.00381921614983227,0.00425096978682836,0.0127779042710759,0.0142224170783616,0.0121397842761883,0.0135121590798041,-0.0130404350646606,-0.0145146263767773,CO
16,"Longmont, CO",Agriculture,0.820387207805252,0.793359079085116,0.832951827490457,0.792635601836683,0.798609132525627,0.798436384991601,0.012564619685205,0.0153154748948592,-0.0270281287201362,-0.0329455755318801,-0.0277516059685692,-0.0338274484347603,-0.0217780752796258,-0.0265460932013894,-0.0219508228136512,-0.0267566614944855,CO
17,"Pueblo, CO",Agriculture,0.686727795649635,0.685013390933518,0.688627743133488,0.684883977146222,0.684691672661597,0.686764387431587,0.00189994748385336,0.00276666751497373,-0.00171440471611672,-0.00249648365331553,-0.00184381850341286,-0.00268493355750751,-0.00203612298803768,-0.00296496370313879,3.65917819518113e-05,5.32842593289762e-05,CO
18,"Boulder, CO",Coal Elec. Util.,0.674117899602312,0.675402581359898,0.673811372686592,0.670274490194035,0.675875229944795,0.681476539235864,-0.00030652691572064,-0.000454708168855139,0.001284681757586,0.00190572266119011,-0.00384340940827754,-0.0057013905290824,0.0017573303424826,0.0026068590427866,0.00735863963355221,0.0109159534821629,CO
