,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,CO,All Sectors,Ammonia,CAP,1092.5359241639621,TON
1,CO,All Sectors,Carbon Monoxide,CAP,9301.062053677324,TON
2,CO,All Sectors,Nitrogen Oxides,CAP,3654.5356559119973,TON
3,CO,All Sectors,PM10 Primary (Filt + Cond),CAP,1967.8626413600184,TON
4,CO,All Sectors,PM2.5 Primary (Filt + Cond),CAP,1413.395452934748,TON
5,CO,All Sectors,Sulfur Dioxide,CAP,104.39681402580712,TON
6,CO,All Sectors,Volatile Organic Compounds,CAP,22154.051258519376,TON
7,CO,All Sectors,Carbon Dioxide,GHG,7099035.898454276,TON
8,CO,All Sectors,Methane,GHG,1748.7627047025371,TON
9,CO,All Sectors,Nitrous Oxide,GHG,48.763910932893005,TON
10,CO,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,1138.225367172,TON
11,CO,Agriculture - Fertilizer Application,Ammonia,CAP,679.2,TON
12,CO,Agriculture - Livestock Waste,Ammonia,CAP,177.24499342,TON
13,CO,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,1714.7831,TON
14,CO,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,1043.18,TON
15,CO,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,16600.309,TON
16,CO,Bulk Gasoline Terminals,Volatile Organic Compounds,CAP,12.494829,TON
17,CO,Commercial Cooking,Carbon Monoxide,CAP,2.6087095,TON
18,CO,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,112.2744212,TON
19,CO,Commercial Cooking,Volatile Organic Compounds,CAP,0.0,TON
20,CO,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,61.747046,TON
21,CO,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,17.7241413,TON
22,CO,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,397.60939499999995,TON
23,CO,Fires - Agricultural Field Burning,Ammonia,CAP,62.05,TON
24,CO,Fires - Agricultural Field Burning,Carbon Monoxide,CAP,23.5,TON
25,CO,Fires - Agricultural Field Burning,Nitrogen Oxides,CAP,0.836,TON
26,CO,Fires - Agricultural Field Burning,PM10 Primary (Filt + Cond),CAP,89.52000000000001,TON
27,CO,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,13.521,TON
28,CO,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,0.0517,TON
