,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,CO,Adams,2980,3323,3419,3512,3483,19447,19601,19583,19437,19373
51,Year Built: 1950-1959,CO,Adams,21331,20281,20369,20131,19775,19119,18354,18460,17447,17026
52,Year Built: 1960-1969,CO,Adams,20307,20488,19615,20124,19704,29020,29377,30024,30205,29342
53,Year Built: 1970-1979,CO,Adams,29419,29435,30185,28972,29550,21165,20746,21113,21442,22069
54,Year Built: 1980-1989,CO,Adams,19543,20013,20368,20929,20664,27228,27797,28250,28116,28459
55,Year Built: 1990-1999,CO,Adams,28417,28449,27598,27310,26953,39300,39120,38889,38770,38824
56,Year Built: 2000-2009,CO,Adams,27875,27400,38682,38904,39149,2624,3563,4455,5197,5287
57,Year Built: 2010-2013,CO,Adams,9011,10531,270,669,1771,453,1170,2358,4261,6797
58,Year Built: before 1940,CO,Adams,2877,2760,2739,2961,3335,3480,3142,2844,2969,2830
50,Year Built: 1940-1949,CO,Alamosa,382,357,331,313,249,607,458,394,350,425
51,Year Built: 1950-1959,CO,Alamosa,374,479,591,654,629,675,798,863,823,719
52,Year Built: 1960-1969,CO,Alamosa,778,709,654,581,615,1549,1525,1430,1410,1386
53,Year Built: 1970-1979,CO,Alamosa,1369,1258,1405,1333,1453,896,864,774,849,664
54,Year Built: 1980-1989,CO,Alamosa,1006,959,862,872,940,850,970,1027,970,1191
55,Year Built: 1990-1999,CO,Alamosa,916,890,866,1007,942,744,715,800,975,980
56,Year Built: 2000-2009,CO,Alamosa,371,393,650,625,847,130,129,292,276,344
57,Year Built: 2010-2013,CO,Alamosa,125,213,8,13,18,0,0,17,34,65
58,Year Built: before 1940,CO,Alamosa,1193,1265,1205,1184,934,359,287,286,296,340
50,Year Built: 1940-1949,CO,Arapahoe,3310,3416,3310,3597,3639,16995,16609,16658,16264,15778
51,Year Built: 1950-1959,CO,Arapahoe,17384,16979,16519,16364,16840,20305,20707,20460,20300,20232
52,Year Built: 1960-1969,CO,Arapahoe,23888,23299,22258,22192,21634,60000,60357,60512,60105,59463
53,Year Built: 1970-1979,CO,Arapahoe,62852,62593,62253,61499,60065,56831,57139,57893,58812,58804
54,Year Built: 1980-1989,CO,Arapahoe,54998,55254,56011,55768,56329,34881,34896,35792,35396,36472
55,Year Built: 1990-1999,CO,Arapahoe,31973,33110,33989,34455,34432,41044,40378,39281,39719,39386
56,Year Built: 2000-2009,CO,Arapahoe,26286,25909,39415,40161,41273,3531,4211,5280,6045,6368
57,Year Built: 2010-2013,CO,Arapahoe,9901,12253,550,1128,2343,252,980,2292,4244,7198
58,Year Built: before 1940,CO,Arapahoe,3927,3885,3855,3994,3931,3605,3544,3541,3584,3284
50,Year Built: 1940-1949,CO,Archuleta,152,155,134,126,128,97,74,96,147,218
51,Year Built: 1950-1959,CO,Archuleta,118,170,124,124,104,313,336,266,305,388
52,Year Built: 1960-1969,CO,Archuleta,289,248,326,330,238,1071,1050,1037,1146,1134
53,Year Built: 1970-1979,CO,Archuleta,1415,1435,1384,1317,1190,2047,1911,1878,1604,1661
54,Year Built: 1980-1989,CO,Archuleta,2192,2155,2054,2116,2060,1878,2021,2012,2089,2237
55,Year Built: 1990-1999,CO,Archuleta,2728,2314,2186,1991,1834,2917,2854,3085,3118,2843
56,Year Built: 2000-2009,CO,Archuleta,1182,1516,2204,2445,2910,130,209,213,197,285
57,Year Built: 2010-2013,CO,Archuleta,157,384,49,60,83,0,78,145,226,248
58,Year Built: before 1940,CO,Archuleta,277,279,281,265,298,105,111,93,96,83
50,Year Built: 1940-1949,CO,Baca,301,343,320,326,307,248,270,247,276,294
51,Year Built: 1950-1959,CO,Baca,316,297,306,247,258,269,240,263,275,315
52,Year Built: 1960-1969,CO,Baca,332,295,284,300,309,422,402,400,435,437
53,Year Built: 1970-1979,CO,Baca,435,474,470,439,421,263,278,267,260,257
54,Year Built: 1980-1989,CO,Baca,144,158,172,187,215,163,151,135,141,127
55,Year Built: 1990-1999,CO,Baca,184,156,172,160,147,114,116,145,129,92
56,Year Built: 2000-2009,CO,Baca,40,44,46,84,112,8,8,11,17,12
57,Year Built: 2010-2013,CO,Baca,9,13,0,0,10,0,0,0,2,25
58,Year Built: before 1940,CO,Baca,521,487,483,500,470,289,292,319,317,317
50,Year Built: 1940-1949,CO,Bent,276,308,281,298,224,167,215,206,184,213
51,Year Built: 1950-1959,CO,Bent,230,149,173,186,173,124,161,201,192,239
52,Year Built: 1960-1969,CO,Bent,124,121,104,108,146,380,365,346,301,373
53,Year Built: 1970-1979,CO,Bent,302,424,357,374,355,219,217,247,235,209
54,Year Built: 1980-1989,CO,Bent,201,187,268,232,218,199,181,171,140,142
55,Year Built: 1990-1999,CO,Bent,206,228,231,255,231,51,68,86,109,89
56,Year Built: 2000-2009,CO,Bent,56,52,73,103,105,30,31,15,50,57
57,Year Built: 2010-2013,CO,Bent,41,24,11,9,12,0,8,7,16,15
58,Year Built: before 1940,CO,Bent,841,760,757,654,715,218,239,267,270,215
50,Year Built: 1940-1949,CO,Boulder,1710,1837,1940,2167,2230,6756,6864,6697,6635,6218
51,Year Built: 1950-1959,CO,Boulder,7620,7487,7312,7215,7020,15584,15878,15974,16067,15769
52,Year Built: 1960-1969,CO,Boulder,16675,16553,16025,15580,15453,28430,27885,28555,28113,28318
53,Year Built: 1970-1979,CO,Boulder,28301,28737,28554,27926,28319,21812,21686,22476,23178,23398
54,Year Built: 1980-1989,CO,Boulder,20468,20582,20780,21314,20931,25587,26047,25547,25798,26244
55,Year Built: 1990-1999,CO,Boulder,26204,25583,26030,25798,25948,17732,17610,17102,16495,16412
56,Year Built: 2000-2009,CO,Boulder,11929,11861,16679,17254,17634,1919,2415,2981,3519,3602
