,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, Colorado (million metric tons CO2)",23.13468,26.070293,25.931225,23.927581,26.953469,28.113201,27.754527,27.876198,29.298102,30.438071,32.099,31.491213,32.368457,32.956902,34.110961,32.719289,33.343377,34.440273,34.710346,34.685466,36.961633,38.119349,37.287766,37.685311,37.317299,36.978554,37.645437,37.107816,36.798679,33.439752,36.531707,35.226274,35.344588,34.717782,33.474634,32.47983,30.701457,30.1629,27.169434,,
"Total carbon dioxide emissions from all sectors, natural gas, Colorado (million metric tons CO2)",13.506583,11.168853,11.937219,11.412277,12.208657,11.604766,10.528565,11.149752,12.147324,13.256102,13.145161,14.631013,14.132333,15.647313,14.875338,15.68822,17.127435,16.887459,17.734509,17.798336,19.679248,24.924271,24.593516,23.470253,23.668685,25.677198,24.684933,27.585063,27.31787,28.315123,27.105431,25.552887,24.462095,25.73816,26.607812,26.258752,24.873284,24.7564,27.861488,,
"Total carbon dioxide emissions from all sectors, petroleum, Colorado (million metric tons CO2)",21.73797,20.097577,20.598647,21.28868,21.077247,21.074846,21.708288,21.615234,21.59016,20.677676,20.965593,21.335473,21.983148,23.604059,23.63832,24.262398,25.107288,24.372214,25.563912,27.377361,28.327405,30.087459,29.432066,29.611144,32.73308,33.273967,34.569625,34.840818,33.429563,31.701793,32.299701,31.463275,31.333833,31.292809,32.25602,32.270429,32.112499,33.194107,34.367672,,
"Residential carbon dioxide emissions, all fuels, Colorado (million metric tons CO2)",5.219223,4.537109,5.17726,5.33326,5.402803,5.240672,4.729829,5.002767,5.374449,5.35149,5.341068,5.818309,5.564815,6.147207,5.732191,6.162637,6.506553,6.309823,5.98041,6.448535,6.891501,7.317984,7.598212,7.657142,7.281882,7.621822,7.181959,7.875108,8.083482,7.722741,7.854395,7.863602,7.066089,8.224272,8.080468,7.54171,7.5335,7.318748,8.031247,,
"Commercial carbon dioxide emissions, all fuels, Colorado (million metric tons CO2)",4.028327,3.600196,4.059739,4.171653,4.515956,4.288567,3.773024,4.050027,4.336436,4.13065,3.984234,4.285664,4.115063,4.274346,4.068822,4.037316,4.235682,4.208545,3.799218,3.836021,3.796271,4.414418,4.346865,4.198701,4.068162,4.091438,3.789095,3.785766,4.569472,4.703112,4.240058,3.972886,3.34727,3.697785,3.740117,4.053778,3.939029,4.059131,4.175477,,
"Industrial carbon dioxide emissions, all fuels, Colorado (million metric tons CO2)",10.563681,8.580459,7.283302,6.521353,6.315994,5.360826,5.624302,5.108552,5.905987,6.456686,6.5825,7.478026,7.70419,8.44036,7.841736,7.723086,7.964311,8.270486,8.777144,8.437627,9.24932,12.802631,12.114528,11.88278,12.541375,13.479828,13.525646,13.501449,13.91111,13.532542,14.542592,13.107106,13.335177,13.341234,14.195545,14.506553,12.467196,12.986369,13.564472,,
"Transportation carbon dioxide emissions, all fuels, Colorado (million metric tons CO2)",17.728258,17.596508,18.25351,17.9704,18.740047,19.386516,19.59127,19.788556,19.185739,18.622608,19.041863,19.239338,19.496886,21.309651,21.567767,22.270628,22.738564,22.568933,23.68733,25.213712,25.479361,26.810725,26.650464,26.237304,28.986795,29.587833,30.358609,30.955629,29.47558,28.643178,28.977422,27.992524,27.873051,27.495089,28.240676,27.916521,28.094306,28.58373,29.471422,,
"Electric power carbon dioxide emissions, natural gas, Colorado (million metric tons CO2)",1.661841,0.70316,0.309161,0.237482,0.256794,0.257802,0.245228,0.410234,0.443554,0.722579,0.712657,0.714832,0.713347,0.687986,1.082727,1.27787,1.542623,1.482191,1.842976,2.287114,3.544132,4.773084,4.218854,4.271911,4.604629,5.08633,5.121666,6.814439,5.858995,6.322232,5.051525,4.673443,4.779291,4.986159,5.403875,5.274363,5.569464,5.610265,7.349675,,
"Residential carbon dioxide emissions, natural gas, Colorado (million metric tons CO2)",4.733981,3.961052,4.49772,4.494377,4.969022,4.77961,4.319449,4.57895,4.961913,4.907848,4.891347,5.321796,5.116785,5.684757,5.27951,5.611591,5.974552,6.188742,5.917622,5.931152,6.16163,6.588312,6.885217,6.654473,6.438586,6.774116,6.519338,7.14026,7.216025,6.944905,7.081102,7.118135,6.370832,7.402254,7.325269,6.85455,6.842135,6.666199,7.302401,,
"Commercial carbon dioxide emissions, natural gas, Colorado (million metric tons CO2)",3.533468,3.111031,3.557821,3.450116,3.823051,3.656772,3.279857,3.416053,3.659955,3.616661,3.527685,3.765166,3.592042,3.835626,3.494949,3.585835,3.711844,3.698474,3.370584,3.149815,3.223352,3.467678,3.577558,3.354508,3.308402,3.385493,3.271527,3.447251,3.545087,3.361777,3.111349,3.05495,2.852114,3.22489,3.21656,3.023169,3.044285,2.964488,3.17767,,
"Industrial carbon dioxide emissions, natural gas, Colorado (million metric tons CO2)",3.178466,3.040359,3.103231,2.797147,2.769717,2.532182,2.328445,2.283347,2.661216,3.407193,3.527897,4.372559,4.258753,5.024572,4.480689,4.595875,5.299671,4.836858,6.089897,5.960545,6.23124,9.520594,9.296695,8.633381,8.727875,9.696902,9.056932,9.42037,9.834372,10.754003,11.087411,9.927645,9.849811,9.610525,10.121833,10.586291,8.994856,9.05985,9.427109,,
