,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Colorado (Million cubic feet)",89700,75010,84688,84173,93439,90154,81151,86263,92888,91567,91916,97440,94614,106187,99504,104286,110924,115583,110839,111748,116363,123514,128828,124214,120574,124255,119270,130971,133947,128993,131224,130116,115695,134936,132106,122364,121963,118585,128150,142692,
"Natural gas consumed by (delivered to) the commercial sector, Colorado (Million cubic feet)",66952,58913,66991,64615,71890,68975,61620,64355,68515,67477,66290,68938,66420,71647,65870,66639,68914,69074,63132,59346,60874,65011,66939,62616,61956,62099,59851,63231,65806,62441,57658,55843,51795,58787,58008,53968,54265,52735,55887,61755,
"Natural gas consumed by the industrial sector, Colorado (Million cubic feet)",60226,57575,58431,52386,52083,47763,43745,43016,49819,63569,66295,80059,78748,93856,84448,85410,98395,90335,114065,112303,117678,178487,173948,161152,163445,177867,165694,172795,182550,199743,205468,181472,178873,175191,182540,188981,160336,161165,165120,175261,
"Natural gas consumed by the electric power sector, Colorado (Million cubic feet)",31928,13593,6045,4526,4899,4913,4650,7826,8488,13289,12897,13191,12245,12278,19020,22656,25898,26802,32640,40879,63253,85954,78171,77895,83369,92629,92927,123788,106454,115234,92657,85015,86309,89508,96589,92304,96923,97536,125894,130775,
"Total energy consumption per capita in the residential sector, Colorado (Million Btu)",61.9,63.6,68.1,69.2,65.5,64.7,60.5,60.3,63.5,64.5,65.8,69.3,66,68.1,64.6,66.1,68,66.8,64.7,66.4,69,69.5,72,71.6,68.6,71.2,69.5,71.5,71.1,68.3,69.8,69.2,64.5,68.9,66,63.7,62.9,61.1,63.2,65.8,
"Electricity consumed by (i.e., sold to) the residential sector, Colorado (Million kilowatthours)",6693,8498,9064,9513,8669,8861,8863,9218,9551,9595,9787,10099,10216,10656,10939,11307,11871,12261,12652,13131,14029,14470,15425,15725,15532,16436,16952,17634,17720,17413,18102,18277,18220,18529,18093,18385,18834,18615,19287,19405,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Colorado (Kilowatthours)",2301,2854,2960,3036,2735,2762,2738,2827,2928,2929,2959,2982,2922,2949,2937,2955,3028,3051,3073,3107,3242,3270,3435,3472,3395,3549,3591,3671,3624,3502,3586,3568,3508,3515,3380,3371,3397,3314,3385,3370,
"Distillate fuel oil consumed by the residential sector, Colorado (Billion Btu)",456,314,337,795,673,554,340,307,280,229,160,127,104,169,125,203,260,300,108,57,361,327,144,66,95,51,55,44,48,66,61,84,77,78,164,278,64,179,154,207,
"Propane consumed by the residential sector, Colorado (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12360,11982,11150,13170,12021,10751,11098,10341,11606,13185,
"Distillate fuel oil consumed by the commercial sector, Colorado (Billion Btu)",1972,1813,877,4761,4030,3551,2189,4978,5396,2958,2576,2772,4016,3883,5982,4089,4262,5192,5048,4726,3521,3680,2891,1818,1880,3637,3817,2585,2915,8266,5823,5853,4580,4390,4723,5152,3061,5123,4111,6149,
"Electricity consumed by (i.e., sold to) the commercial sector, Colorado (Million kilowatthours)",7277,8360,9949,10609,11668,12344,12450,12638,13489,14116,14420,14609,14757,15278,13943,14300,15251,15506,16920,17915,19028,18836,19802,19657,19498,19846,20153,20508,20551,20008,19597,19889,19997,20098,20129,20408,20800,20641,21023,21111,
"Total energy consumption per capita in the commercial sector, Colorado (Million Btu)",53.3,53.1,60.5,61.9,65.9,66.4,62.9,64,68.3,71,73.3,74.7,71.6,72,64,63.5,65.7,64.5,65,66.4,67.4,67.2,68.5,65.9,63.9,63.7,62.5,61.1,61.8,59.8,57,56.2,53.5,54.4,53.1,53.3,52.4,51.8,51.4,52.3,
