Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,CO,37366.983,24.133333333333333,6521,9247.0,65.0,341.0,2104.0,3216.0,3471.0,2538.0,5249.0,6908.0,3867.0,354.0
Statewide Total,,Cooperative,CO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,CO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Investor Owned,CO,34352.466,23.2,6001,9205.0,65.0,338.0,2043.0,2837.0,2969.0,2029.0,4752.0,6303.0,3508.0,298.0
Statewide Total,,Municipal Owned,CO,3014.5170000000003,30.75,520,42.0,0.0,3.0,61.0,379.0,502.0,508.0,497.0,605.0,358.0,55.0
COLORADO NATURAL GAS INC.,31316,Investor Owned,CO,1317.16,16.0,15,1.33,0.0,0.0,0.002,9.33,38.16,11.13,273.68,647.85,321.0,15.0
DCP MIDSTREAM,31130,Privately Owned,CO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WALDEN, TOWN OF",30839,Municipal Owned,CO,43.92,49.0,18,0.0,0.0,0.0,13.0,2.0,23.0,1.0,4.0,0.25,0.67,0.0
HILCORP ENERGY COMPANY,30711,Privately Owned,CO,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"WALSENBURG, CITY OF",22112,Municipal Owned,CO,72.0,50.0,61,0.0,0.0,0.0,0.0,61.0,0.0,1.0,4.0,5.0,1.0,0.0
"TRINIDAD, CITY OF",19680,Municipal Owned,CO,79.062,37.0,8,0.0,0.0,0.0,0.0,0.0,53.97,4.03,4.1,12.0,4.35,0.612
"RANGELY, TOWN OF",17070,Municipal Owned,CO,34.512,25.0,0,0.0,0.0,0.0,0.0,0.0,0.098,13.692,9.0,7.0,4.722,0.0
PUBLIC SERVICE CO OF COLORADO,15931,Investor Owned,CO,22815.3,34.0,4924,6704.8,65.0,242.7,1805.7,2267.3,2443.2,537.6,2824.1,3793.7,2040.4,90.6
BLACK HILLS ENERGY,15359,Investor Owned,CO,6990.373,21.0,119,2499.157,0.0,0.01,0.61,115.31,26.62,1024.369,1196.939,1044.351,922.6,160.407
DOMINION ENERGY UTAH/WYOMING/IDAHO,12876,Investor Owned,CO,1.233,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694,0.539,0.0
IGNACIO MUNICIPAL GAS,8020,Municipal Owned,CO,11.012,17.0,0,4.2,0.0,0.0,0.07,0.0,1.48,0.0,0.0,1.55,3.69,0.0
ATMOS ENERGY CORPORATION - COLORADO/KANSAS,6720,Investor Owned,CO,3228.4,34.0,943,0.0,0.0,96.0,237.4,445.1,461.2,456.6,457.5,817.3,224.4,32.7
"FORT MORGAN GAS DEPT, CITY OF",5440,Municipal Owned,CO,102.011,39.0,35,0.0,0.0,0.0,28.483,5.528,9.87,4.591,41.222,8.433,3.445,0.439
"COLORADO SPRINGS, CITY OF",2568,Municipal Owned,CO,2659.7,29.0,398,26.151,0.068,3.017,19.547,310.654,414.018,484.307,435.18,570.795,341.103,54.861
CENTER MUNICIPAL GAS SYSTEM,2172,Municipal Owned,CO,12.3,0.0,0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
