Operator ID,Operator Name,Operator Type,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Statewide Total,Total,CO,5242,5656,5463,5350,5534,6750,6339,6615,7316,7975,8818
,Statewide Total,Cooperative,CO,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Privately Owned,CO,0,0,0,0,0,0,0,0,0,0,0
,Statewide Total,Investor Owned,CO,5037,5171,4973,4890,5126,6407,5940,6202,6919,7584,8439
,Statewide Total,Municipal Owned,CO,205,485,490,460,408,343,399,413,397,391,379
31316,COLORADO NATURAL GAS INC.,Investor Owned,CO,49,4,57,32,46,38,64,0,67,58,82
22112,"WALSENBURG, CITY OF",Municipal Owned,CO,1,0,1,7,0,3,0,1,0,0,1
19680,"TRINIDAD, CITY OF",Municipal Owned,CO,13,39,24,19,32,30,15,26,35,15,11
17070,"RANGELY, TOWN OF",Municipal Owned,CO,1,6,2,3,5,8,7,3,5,4,5
15931,PUBLIC SERVICE CO OF COLORADO,Investor Owned,CO,4988,5167,4916,4858,5080,6369,5876,6202,6852,7526,8357
8020,IGNACIO MUNICIPAL GAS,Municipal Owned,CO,0,2,1,1,0,0,0,0,0,0,0
5440,"FORT MORGAN GAS DEPT, CITY OF",Municipal Owned,CO,5,4,29,9,7,9,6,8,5,1,3
2568,"COLORADO SPRINGS, CITY OF",Municipal Owned,CO,182,432,431,421,364,293,371,375,352,371,359
2172,CENTER MUNICIPAL GAS SYSTEM,Municipal Owned,CO,3,2,2,0,0,0,0,0,0,0,0
