,urban_area,source,all_exp,POC_exp,white_exp,latino_exp,black_exp,asian_exp,white_diff,white_pctDiff,POC_diff,POC_pctDiff,latino_diff,latino_pctDiff,black_diff,black_pctDiff,asian_diff,asian_pctDiff,State
0,"Bridgeport--Stamford, CT--NY",All,4.71863866802598,5.32790985372713,4.32837242020091,5.38306057155546,5.56845942636026,4.73256922431577,-0.390266247825073,-0.0827073813618237,0.609271185701153,0.129120118865986,0.664421903529477,0.140807963964623,0.849820758334276,0.180098714506952,0.0139305562897896,0.00295224052313744,CT
1,"Danbury, CT--NY",All,3.11665703584342,3.32161860565686,3.02223419382396,3.36181996245112,3.23416441191464,3.22768094582233,-0.0944228420194637,-0.0302961926620557,0.204961569813436,0.0657632737437118,0.245162926607702,0.0786621446595444,0.117507376071216,0.0377030179194602,0.111023909978902,0.0356227549910242,CT
2,"Hartford, CT",All,4.00576086871119,4.39489059855989,3.75744093573434,4.5980615369299,4.3063538028585,4.01708485303833,-0.248319932976842,-0.0619907031686433,0.389129729848702,0.0971425261273523,0.592300668218713,0.147862213355057,0.300592934147313,0.0750401594102211,0.0113239843271415,0.00282692469627747,CT
3,"New Haven, CT",All,4.15496521185911,4.44413060487198,3.97416040469509,4.52431381786202,4.44319764954318,4.24365511607549,-0.18080480716402,-0.0435153600439221,0.289165393012871,0.0695951417806181,0.369348606002903,0.0888933088894962,0.288232437684063,0.0693706019153636,0.0886899042163805,0.0213455226925226,CT
4,"New York--Newark, NY--NJ--CT",All,11.4762344649933,12.4861341827565,10.1950200036778,12.3578732720369,12.6181857181548,12.5917356052864,-1.28121446131549,-0.111640666215357,1.00989971776326,0.0879992231636453,0.881638807043595,0.0768230040727136,1.14195125316153,0.0995057443837434,1.11550114029311,0.0972009715988114,CT
5,"Norwich--New London, CT--RI",All,3.19860585499755,3.25873573620075,3.17841821913712,3.28902550374958,3.28818501046522,3.18635689585284,-0.0201876358604309,-0.00631138588985244,0.0601298812032032,0.0187987779454775,0.0904196487520292,0.0282684559620737,0.0895791554676672,0.0280056873302184,-0.0122489591447068,-0.00382946811829562,CT
6,"Springfield, MA--CT",All,3.85784817223285,4.32761943011331,3.59631475383057,4.38602081935277,4.52488480033932,3.65680139643324,-0.261533418402272,-0.0677925638143767,0.469771257880459,0.121770281490514,0.52817264711992,0.136908614216983,0.667036628106478,0.17290380500392,-0.201046775799604,-0.0521137086852339,CT
7,"Waterbury, CT",All,3.53812058029186,3.69731565995615,3.41303455552513,3.73420936210245,3.68480600492925,3.52705452871372,-0.125086024766727,-0.0353538049165098,0.159195079664289,0.0449942493625124,0.19608878181059,0.0554217351728624,0.146685424637386,0.0414585713823485,-0.0110660515781418,-0.00312766377714265,CT
8,"Worcester, MA--CT",All,3.1649410893025,3.41664911555403,3.0592506447219,3.43654170017909,3.46958930671996,3.37948527975124,-0.105690444580603,-0.0333941269674297,0.251708026251524,0.0795300825984715,0.271600610876589,0.0858153764045084,0.304648217417454,0.0962571526045664,0.214544190448738,0.0677877358203909,CT
9,"Bridgeport--Stamford, CT--NY",Agriculture,0.295959254510248,0.291492876719219,0.298820175136042,0.292806786549695,0.288057916380621,0.293473968015672,0.00286092062579391,0.00966660302793417,-0.00446637779102976,-0.0150911915169563,-0.00315246796055296,-0.0106516958416105,-0.00790133812962723,-0.0266973848907084,-0.00248528649457608,-0.00839739408956383,CT
10,"Danbury, CT--NY",Agriculture,0.297339283201742,0.298405721369697,0.296847990503565,0.299484954352278,0.298898103530405,0.294520142461613,-0.000491292698177437,-0.00165229663866546,0.00106643816795499,0.00358660368206853,0.0021456711505356,0.00721623839080751,0.0015588203286625,0.00524256435906202,-0.00281914074012929,-0.00948122531867586,CT
11,"Hartford, CT",Agriculture,0.260600730490304,0.253762544184847,0.264964462774945,0.248301170165129,0.257057019432004,0.261643669809746,0.00436373228464054,0.0167448965949959,-0.00683818630545707,-0.0262400887848297,-0.0122995603251756,-0.0471969526026835,-0.00354371105830015,-0.0135982391593181,0.00104293931944138,0.00400205831149881,CT
12,"New Haven, CT",Agriculture,0.284976127728258,0.278188863149189,0.289219962201684,0.277326448802542,0.276173943188875,0.286071115496916,0.00424383447342569,0.0148918946553742,-0.00678726457906886,-0.0238169583999012,-0.00764967892571639,-0.0268432271386985,-0.00880218453938292,-0.030887445238137,0.00109498776865746,0.00384238419332303,CT
13,"New York--Newark, NY--NJ--CT",Agriculture,0.392207421534008,0.375931528483025,0.41285591680632,0.36531882088002,0.3781454707622,0.394510791721687,0.0206484952723116,0.0526468754506247,-0.016275893050983,-0.0414981771311835,-0.0268886006539886,-0.0685570929505144,-0.0140619507718081,-0.0358533520778591,0.00230337018767829,0.0058728368236106,CT
14,"Norwich--New London, CT--RI",Agriculture,0.216028147137961,0.214963792306473,0.216385487071691,0.214037115332059,0.214428087396416,0.216726391190402,0.0003573399337303,0.00165413599322358,-0.00106435483148779,-0.00492692663242658,-0.00199103180590202,-0.00921653882737094,-0.00160005974154415,-0.00740671881299946,0.000698244052441566,0.00323219016453282,CT
15,"Springfield, MA--CT",Agriculture,0.231138087487295,0.220024234652012,0.237325447558547,0.214861318428861,0.223153152632551,0.239535390350467,0.00618736007125187,0.0267691064614869,-0.011113852835283,-0.0480831738122513,-0.0162767690584341,-0.0704201078903917,-0.00798493485474455,-0.0345461664996404,0.00839730286317169,0.0363302429056971,CT
16,"Waterbury, CT",Agriculture,0.298422796259985,0.294904096403978,0.301187581316554,0.294070499966488,0.294512048167065,0.300538589010393,0.00276478505656924,0.00926465769780058,-0.003518699856007,-0.0117909888256041,-0.00435229629349704,-0.014584329173383,-0.00391074809291991,-0.0131047230370192,0.00211579275040818,0.00708991664485616,CT
17,"Worcester, MA--CT",Agriculture,0.187609895146051,0.185343523951701,0.188561528602809,0.186250045048927,0.184525979099313,0.183979858275498,0.000951633456758361,0.00507240546143652,-0.00226637119435036,-0.0120802327221921,-0.001359850097124,-0.00724828557718334,-0.00308391604673747,-0.0164379178632166,-0.00363003687055311,-0.0193488561343056,CT
18,"Bridgeport--Stamford, CT--NY",Coal Elec. Util.,0.46043868660827,0.466459426424525,0.456582125536017,0.469692798053392,0.463359433441708,0.462722966789682,-0.00385656107225352,-0.00837584065896397,0.00602073981625451,0.0130760945840696,0.00925411144512134,0.0200984663415012,0.00292074683343729,0.0063434001494366,0.00228428018141214,0.0049610952507897,CT
19,"Danbury, CT--NY",Coal Elec. Util.,0.427575302226009,0.437406156149846,0.423046369471387,0.440341751198018,0.434330675134023,0.429357977074653,-0.00452893275462241,-0.0105921289911841,0.00983085392383715,0.0229920995732366,0.0127664489720095,0.0298577792158383,0.00675537290801409,0.0157992589208142,0.00178267484864381,0.00416926524839714,CT
20,"Hartford, CT",Coal Elec. Util.,0.287579245120122,0.279328661731214,0.292844286973773,0.28310763301332,0.272751781741506,0.279753457225271,0.00526504185365123,0.0183081426875991,-0.00825058338890788,-0.0286897734412705,-0.00447161210680152,-0.015549147522568,-0.014827463378616,-0.0515595740312293,-0.00782578789485089,-0.0272126310491637,CT
21,"New Haven, CT",Coal Elec. Util.,0.336523172479873,0.340583839106325,0.333984182462073,0.341677892688267,0.340036357180251,0.336746074563391,-0.00253899001780039,-0.00754477024298302,0.00406066662645177,0.0120665290194678,0.0051547202083933,0.015317578787837,0.0035131847003782,0.0104396516723921,0.000222902083517551,0.000662367711188989,CT
22,"New York--Newark, NY--NJ--CT",Coal Elec. Util.,0.737208227051679,0.731736049803426,0.744150532809394,0.725018865836884,0.729853648884309,0.749972954145678,0.00694230575771526,0.00941702154556747,-0.00547217724825288,-0.007422838008927,-0.0121893612147953,-0.0165344888560784,-0.00735457816736973,-0.00997625622923789,0.012764727093999,0.0173149547517247,CT
23,"Norwich--New London, CT--RI",Coal Elec. Util.,0.2911639129348,0.291456408398146,0.291065712309974,0.291627067990778,0.291366143568096,0.291721228445477,-9.82006248256839e-05,-0.000337269216627384,0.000292495463345532,0.00100457319864028,0.000463155055977382,0.00159070212825824,0.000202230633295497,0.000694559402149477,0.000557315510676948,0.00191409541470803,CT
24,"Springfield, MA--CT",Coal Elec. Util.,0.232621971912969,0.234284360752347,0.231696478433785,0.232665141507497,0.239276687338711,0.231484205567167,-0.000925493479183887,-0.003978529936674,0.00166238883937822,0.00714631049555443,4.31695945279642e-05,0.000185578319076907,0.00665471542574189,0.0286074241870481,-0.00113776634580259,-0.00489105279456691,CT
25,"Waterbury, CT",Coal Elec. Util.,0.38962318665846,0.390504639241801,0.388930593646772,0.390908020123842,0.390057881466428,0.389394513445357,-0.000692593011687615,-0.00177759701014595,0.000881452583341602,0.00226232065627623,0.00128483346538227,0.00329763091463175,0.000434694807967984,0.00111568002842971,-0.00022867321310327,-0.000586908636173449,CT
26,"Worcester, MA--CT",Coal Elec. Util.,0.204411295106875,0.203426342695801,0.204824869754324,0.203368008542844,0.203214581861517,0.203417038604669,0.000413574647449428,0.00202324752765347,-0.000984952411074269,-0.00481848329643083,-0.00104328656403069,-0.00510385966433613,-0.00119671324535786,-0.00585443795917525,-0.00099425650220597,-0.00486399981804397,CT
27,"Bridgeport--Stamford, CT--NY",Commercial Cooking,0.22606000803903,0.304335919690819,0.175920682477006,0.298003157261738,0.359056105380819,0.226118524662007,-0.0501393255620241,-0.22179653091655,0.078275911651789,0.346261651190752,0.0719431492227088,0.318248016740262,0.132996097341789,0.588322094188491,5.85166229773448e-05,0.000258854378910054,CT
28,"Danbury, CT--NY",Commercial Cooking,0.0916286037437413,0.12226571470866,0.077514528157735,0.129428218078484,0.108813391143206,0.104854477284705,-0.0141140755860063,-0.154035694197407,0.0306371109649189,0.334361866416758,0.0377996143347431,0.41253072501746,0.0171847873994644,0.187548284021933,0.0132258735409642,0.144342192291319,CT
29,"Hartford, CT",Commercial Cooking,0.184721951218007,0.236683519917021,0.151563104008549,0.264313438600875,0.227281120313157,0.179931899928878,-0.0331588472094575,-0.179506804637007,0.0519615686990138,0.281296122937166,0.0795914873828678,0.430871842020198,0.0425591690951503,0.230395839880028,-0.00479005128912877,-0.025931142766436,CT
30,"New Haven, CT",Commercial Cooking,0.177174282025524,0.214082320104618,0.15409700214025,0.214437137639975,0.223442902767582,0.190202376782618,-0.0230772798852732,-0.130251860605529,0.0369080380790944,0.208314873113342,0.0372628556144511,0.210317520062438,0.0462686207420583,0.261147499586835,0.0130280947570945,0.0735326516250124,CT
31,"New York--Newark, NY--NJ--CT",Commercial Cooking,0.254948754141889,0.282292556193502,0.220258899298215,0.300266705405067,0.274625605951402,0.259084600151204,-0.0346898548436738,-0.136065990831897,0.0273438020516131,0.107252150117961,0.0453179512631783,0.177753177950252,0.0196768518095132,0.0771796350829088,0.00413584600931433,0.0162222640515927,CT
