,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,CT,Fairfield,2.78,2.79,2.8,2.82,2.84,2.84,2.84,2.83,2.8,2.81
1,Avg household size of renter-occupied unit,CT,Fairfield,2.38,2.43,2.48,2.52,2.54,2.57,2.58,2.58,2.55,2.55
2,FIPS Code,CT,Fairfield,9001,9001,9001,9001,9001,9001,9001,9001,9001,9001
3,House Heating Fuel: Electric,CT,Fairfield,50140,50492,51381,51639,51429,51170,52503,52234,54318,55161
4,House Heating Fuel: Fuel Oil,CT,Fairfield,155309,153792,150502,146597,144108,140650,136196,134541,132379,128854
5,House Heating Fuel: Gas,CT,Fairfield,116209,117181,119770,122458,124527,128142,130714,133835,135925,137472
6,House Heating Fuel: Propane,CT,Fairfield,6474,6794,7104,7388,8399,9055,10309,11226,12094,13104
7,House Heating Fuel: Wood,CT,Fairfield,2106,2284,2616,2590,2701,2699,2685,2624,2583,2192
26,Median Number of Rooms,CT,Fairfield,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
27,Number of Rooms: 1,CT,Fairfield,6067,7243,7807,7335,7095,7467,7417,7956,8312,8921
28,Number of Rooms: 2,CT,Fairfield,10253,9514,8525,8759,9066,9192,9499,9793,10539,11755
29,Number of Rooms: 3,CT,Fairfield,31181,30709,29944,30486,31069,30329,31368,32059,32322,32024
30,Number of Rooms: 4,CT,Fairfield,51224,51114,51492,51596,50849,50659,51284,51043,50930,51847
31,Number of Rooms: 5,CT,Fairfield,57106,57384,57476,57682,58442,59664,59773,59852,60160,59142
32,Number of Rooms: 6,CT,Fairfield,56792,57521,57405,57881,57209,56947,55484,56116,55703,55320
33,Number of Rooms: 7,CT,Fairfield,44485,43799,44198,43846,43591,43463,43625,44361,44615,44316
34,Number of Rooms: 8,CT,Fairfield,37871,38333,38368,38346,39401,39079,39067,39150,38728,38967
35,Number of Rooms: 9+,CT,Fairfield,63153,64256,65477,65341,65894,66756,67220,68714,69690,70273
36,Owner-Occupied,CT,Fairfield,651431,652405,649949,646703,647992,649454,643160,647285,641944,640317
37,Renter-Occupied,CT,Fairfield,231952,239133,249654,260436,267434,272130,279959,281712,284279,285522
38,Total Housing Units,CT,Fairfield,358132,359873,360692,361272,362616,363556,364737,369044,370999,372565
39,Total Population,CT,Fairfield,905342,911196,918892,926233,934215,939983,941618,947328,944348,943926
40,Units in Structure: 1 ATTACHED,CT,Fairfield,21817,22405,23040,23986,23825,24787,25211,25094,24533,25380
41,Units in Structure: 1 DETACHED,CT,Fairfield,207747,208780,209176,209165,210334,210931,211004,213876,213269,213431
42,Units in Structure: 10-19,CT,Fairfield,12912,13173,12962,12667,12631,12267,12249,12657,13163,13056
43,Units in Structure: 2,CT,Fairfield,30573,30468,31785,31317,31245,31230,31848,31656,31916,30986
44,Units in Structure: 20-49,CT,Fairfield,12917,13266,12874,12916,12793,12014,12254,12303,13121,13412
45,Units in Structure: 3-4,CT,Fairfield,32095,31128,30018,30756,30715,30685,29892,30080,29917,30022
46,Units in Structure: 5-9,CT,Fairfield,17449,17271,17371,16429,16539,16636,16401,16506,16971,16665
47,Units in Structure: 50+,CT,Fairfield,21283,22051,22162,22550,23158,23578,24495,25418,26735,28119
48,"Units in Structure: Boat,RV,Van,Etc.",CT,Fairfield,51,44,67,42,40,43,34,38,64,111
49,Units in Structure: Mobile Home,CT,Fairfield,1288,1287,1237,1444,1336,1385,1349,1416,1310,1383
50,Year Built: 1940-1949,CT,Fairfield,30136,29492,28579,27824,27396,60611,59084,58064,57427,57924
51,Year Built: 1950-1959,CT,Fairfield,60736,61299,61682,62046,62069,52996,53446,54198,55175,53918
52,Year Built: 1960-1969,CT,Fairfield,51631,52510,52457,52500,52575,48000,47574,47984,47877,48584
53,Year Built: 1970-1979,CT,Fairfield,49780,50269,49821,50154,49147,41637,41834,42169,41146,40933
54,Year Built: 1980-1989,CT,Fairfield,41006,40719,41533,40689,41461,25149,24556,24667,25778,26215
55,Year Built: 1990-1999,CT,Fairfield,22958,23516,24083,24224,24607,25574,25497,25699,25477,25246
56,Year Built: 2000-2009,CT,Fairfield,14206,14459,23184,24058,24846,4032,5567,6660,7425,8307
57,Year Built: 2010-2013,CT,Fairfield,6703,8493,875,1893,2833,248,1168,2146,4071,6644
