,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,Median Number of Rooms,CT,Fairfield,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
27,Number of Rooms: 1,CT,Fairfield,6067,7243,7807,7335,7095,7467,7417,7956,8312,8921
28,Number of Rooms: 2,CT,Fairfield,10253,9514,8525,8759,9066,9192,9499,9793,10539,11755
29,Number of Rooms: 3,CT,Fairfield,31181,30709,29944,30486,31069,30329,31368,32059,32322,32024
30,Number of Rooms: 4,CT,Fairfield,51224,51114,51492,51596,50849,50659,51284,51043,50930,51847
31,Number of Rooms: 5,CT,Fairfield,57106,57384,57476,57682,58442,59664,59773,59852,60160,59142
32,Number of Rooms: 6,CT,Fairfield,56792,57521,57405,57881,57209,56947,55484,56116,55703,55320
33,Number of Rooms: 7,CT,Fairfield,44485,43799,44198,43846,43591,43463,43625,44361,44615,44316
34,Number of Rooms: 8,CT,Fairfield,37871,38333,38368,38346,39401,39079,39067,39150,38728,38967
35,Number of Rooms: 9+,CT,Fairfield,63153,64256,65477,65341,65894,66756,67220,68714,69690,70273
26,Median Number of Rooms,CT,Hartford,5.5,5.6,5.6,5.6,5.6,5.5,5.5,5.5,5.5,5.5
27,Number of Rooms: 1,CT,Hartford,6270,6927,7749,7982,7584,7738,8142,8130,7953,8442
28,Number of Rooms: 2,CT,Hartford,10053,8728,7679,8044,8390,8074,9304,9850,10378,10379
29,Number of Rooms: 3,CT,Hartford,34750,34312,33933,33312,33371,33248,33165,33672,34524,35904
30,Number of Rooms: 4,CT,Hartford,58488,59416,58107,58017,57799,58257,59166,60067,60452,60300
31,Number of Rooms: 5,CT,Hartford,72930,71907,72537,74389,75890,77233,76103,75321,73538,73547
32,Number of Rooms: 6,CT,Hartford,70068,70394,69501,68534,67885,67489,67207,67730,68784,68483
33,Number of Rooms: 7,CT,Hartford,47810,48429,49896,49614,50306,49788,48916,48793,48780,47953
34,Number of Rooms: 8,CT,Hartford,35290,35671,35308,35541,35075,34657,34610,35715,35501,35353
35,Number of Rooms: 9+,CT,Hartford,36139,37496,38966,38376,38155,37969,38059,38562,38790,39241
26,Median Number of Rooms,CT,Litchfield,6.0,6.0,6.0,6.1,6.1,6.0,6.0,6.0,6.0,6.0
27,Number of Rooms: 1,CT,Litchfield,1199,1354,1358,1212,1331,1361,1247,1438,1577,1515
28,Number of Rooms: 2,CT,Litchfield,1833,1606,1745,1836,1725,1689,1738,1539,1535,1530
29,Number of Rooms: 3,CT,Litchfield,5347,5369,5096,5232,5043,4879,4956,5168,5109,5630
30,Number of Rooms: 4,CT,Litchfield,10349,10361,10277,10088,10119,10472,10998,11309,11292,11622
31,Number of Rooms: 5,CT,Litchfield,16318,15773,15802,15801,16200,16218,16305,16306,15817,15518
32,Number of Rooms: 6,CT,Litchfield,16746,17026,17114,17030,16627,16913,16937,17175,17990,17850
33,Number of Rooms: 7,CT,Litchfield,13093,13091,13090,13489,14152,14582,14149,14120,13781,13588
34,Number of Rooms: 8,CT,Litchfield,10420,10777,10863,11020,10387,10203,9961,9737,9395,9609
35,Number of Rooms: 9+,CT,Litchfield,11302,11832,11957,11630,11906,11130,11159,11276,11657,11390
26,Median Number of Rooms,CT,Middlesex,5.9,5.9,6.0,5.9,5.9,5.9,5.9,5.8,5.8,5.8
27,Number of Rooms: 1,CT,Middlesex,722,746,758,714,791,637,757,910,1076,1176
28,Number of Rooms: 2,CT,Middlesex,1941,1741,1713,1521,1606,1531,1492,1556,1486,1637
29,Number of Rooms: 3,CT,Middlesex,5861,5854,5577,5610,5351,5317,5784,6058,6106,6513
30,Number of Rooms: 4,CT,Middlesex,10345,9980,9734,10153,10481,10841,10671,11035,11132,11065
31,Number of Rooms: 5,CT,Middlesex,12515,13171,13046,13028,13428,13707,13359,13876,14125,13999
32,Number of Rooms: 6,CT,Middlesex,13392,13728,14206,14693,14773,14642,14923,14475,13763,14097
33,Number of Rooms: 7,CT,Middlesex,12284,12068,11426,10973,10900,10748,10804,11476,11897,11496
34,Number of Rooms: 8,CT,Middlesex,8109,8212,8832,8903,8461,8536,8379,8012,7948,7828
35,Number of Rooms: 9+,CT,Middlesex,8852,8980,9430,9237,9290,9203,9108,8540,8591,8516
26,Median Number of Rooms,CT,New Haven,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4
27,Number of Rooms: 1,CT,New Haven,6865,7473,8600,8754,8571,9110,8942,9311,9160,9080
28,Number of Rooms: 2,CT,New Haven,10890,10371,9971,10064,10322,10924,11154,11452,11919,12838
29,Number of Rooms: 3,CT,New Haven,32636,33594,34311,35068,35851,35518,36218,36675,36849,36187
30,Number of Rooms: 4,CT,New Haven,58064,58961,59031,60760,61773,61003,61818,63123,63376,63374
31,Number of Rooms: 5,CT,New Haven,75402,75466,74698,73033,73213,72829,71869,71754,72490,72490
32,Number of Rooms: 6,CT,New Haven,67051,66569,65579,64238,63277,64247,63901,64105,64933,67252
33,Number of Rooms: 7,CT,New Haven,45829,45671,45162,45640,45683,44924,44740,45416,44229,43725
34,Number of Rooms: 8,CT,New Haven,30973,30590,30653,30264,30475,30575,30513,30066,30620,29569
35,Number of Rooms: 9+,CT,New Haven,31799,32200,33388,33905,33037,33221,33342,33644,32690,32538
26,Median Number of Rooms,CT,New London,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7
27,Number of Rooms: 1,CT,New London,1458,1564,1733,1834,1916,1663,1953,1741,1669,1733
28,Number of Rooms: 2,CT,New London,3297,3017,2987,2771,3013,3031,2949,2980,3179,2779
29,Number of Rooms: 3,CT,New London,9189,9192,9207,9277,9399,9738,9726,9610,9773,10493
30,Number of Rooms: 4,CT,New London,18016,18242,18516,18045,18654,18799,18541,18339,18858,18156
31,Number of Rooms: 5,CT,New London,22569,22874,22667,22940,22822,23080,22985,23252,23081,23568
32,Number of Rooms: 6,CT,New London,23520,23511,23228,23557,22572,22394,22664,23287,23805,23931
33,Number of Rooms: 7,CT,New London,16986,16994,17128,17169,17802,18001,17890,18254,17828,17053
34,Number of Rooms: 8,CT,New London,12371,12124,11788,11991,11566,11226,11357,11873,11254,11619
35,Number of Rooms: 9+,CT,New London,12372,13048,13498,13316,13352,13326,13361,13263,13554,14094
26,Median Number of Rooms,CT,Tolland,6.1,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9
27,Number of Rooms: 1,CT,Tolland,383,492,615,613,658,674,694,712,677,574
28,Number of Rooms: 2,CT,Tolland,1374,1435,1488,1361,1353,1435,1510,1295,1440,1411
29,Number of Rooms: 3,CT,Tolland,4717,4663,4516,4737,4584,4740,4707,5385,5754,6032
30,Number of Rooms: 4,CT,Tolland,7660,7686,7672,7815,8127,8073,8436,8483,8457,8540
31,Number of Rooms: 5,CT,Tolland,8756,9094,9419,9533,9669,9560,9166,9378,9282,9132
32,Number of Rooms: 6,CT,Tolland,10434,10231,10192,10323,10187,10521,10852,10759,10943,11107
33,Number of Rooms: 7,CT,Tolland,9488,9406,9753,9639,9495,9278,9242,8615,8546,8619
34,Number of Rooms: 8,CT,Tolland,7689,7646,7476,7501,7297,7245,6943,6906,6948,7025
35,Number of Rooms: 9+,CT,Tolland,6793,6999,6781,6545,6909,6857,7024,7566,7371,7246
26,Median Number of Rooms,CT,Windham,5.5,5.6,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6
27,Number of Rooms: 1,CT,Windham,699,689,642,744,833,682,680,675,661,504
28,Number of Rooms: 2,CT,Windham,1131,1002,912,823,917,892,820,1118,1312,1262
29,Number of Rooms: 3,CT,Windham,3852,4064,4015,4075,3840,3744,3756,4077,4118,4037
30,Number of Rooms: 4,CT,Windham,7138,6914,7281,7304,7488,7639,7678,7386,7317,6969
31,Number of Rooms: 5,CT,Windham,11048,11137,11220,11134,11093,11318,11527,11601,11499,11519
32,Number of Rooms: 6,CT,Windham,9745,9648,9573,9374,9304,9313,9574,9709,10074,10281
33,Number of Rooms: 7,CT,Windham,6559,6773,6748,6758,6989,7188,6995,6907,6651,6950
34,Number of Rooms: 8,CT,Windham,3808,3933,3935,4060,4081,3920,3760,3957,4007,4198
35,Number of Rooms: 9+,CT,Windham,4538,4703,4670,4779,4617,4480,4375,4147,4005,3998
