,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
50,Year Built: 1940-1949,CT,Fairfield,30136,29492,28579,27824,27396,60611,59084,58064,57427,57924
51,Year Built: 1950-1959,CT,Fairfield,60736,61299,61682,62046,62069,52996,53446,54198,55175,53918
52,Year Built: 1960-1969,CT,Fairfield,51631,52510,52457,52500,52575,48000,47574,47984,47877,48584
53,Year Built: 1970-1979,CT,Fairfield,49780,50269,49821,50154,49147,41637,41834,42169,41146,40933
54,Year Built: 1980-1989,CT,Fairfield,41006,40719,41533,40689,41461,25149,24556,24667,25778,26215
55,Year Built: 1990-1999,CT,Fairfield,22958,23516,24083,24224,24607,25574,25497,25699,25477,25246
56,Year Built: 2000-2009,CT,Fairfield,14206,14459,23184,24058,24846,4032,5567,6660,7425,8307
57,Year Built: 2010-2013,CT,Fairfield,6703,8493,875,1893,2833,248,1168,2146,4071,6644
58,Year Built: before 1940,CT,Fairfield,80976,79116,78478,77884,77682,27949,28368,28296,28198,28281
50,Year Built: 1940-1949,CT,Hartford,31441,32044,32380,32513,32106,68048,65726,65122,64537,65436
51,Year Built: 1950-1959,CT,Hartford,64469,65156,66102,68139,68165,54371,54349,55830,56385,56261
52,Year Built: 1960-1969,CT,Hartford,52809,53615,54613,52766,53745,48957,49910,50047,50278,50599
53,Year Built: 1970-1979,CT,Hartford,48596,48502,48937,49011,48951,49310,47731,47043,47112,46428
54,Year Built: 1980-1989,CT,Hartford,46630,47624,48665,49145,49366,25125,25016,25578,25022,25389
55,Year Built: 1990-1999,CT,Hartford,24281,24081,24222,24243,25214,22865,22661,23055,22510,22433
56,Year Built: 2000-2009,CT,Hartford,13346,13546,22120,23031,22873,1631,2400,2994,3406,3747
57,Year Built: 2010-2013,CT,Hartford,6493,8214,392,740,1090,142,439,1185,2047,3453
58,Year Built: before 1940,CT,Hartford,83733,80498,76245,74221,72945,32494,31312,30138,30018,29317
50,Year Built: 1940-1949,CT,Litchfield,5665,5536,5344,5308,5031,10852,10691,10681,10497,10318
51,Year Built: 1950-1959,CT,Litchfield,10386,10469,10788,11096,11309,9174,9184,9404,9512,9521
52,Year Built: 1960-1969,CT,Litchfield,9172,9271,9291,9265,9170,12695,12757,12754,13191,13109
53,Year Built: 1970-1979,CT,Litchfield,11464,11925,11800,11894,12237,12252,12302,12516,12420,12504
54,Year Built: 1980-1989,CT,Litchfield,13074,13144,12957,13042,12634,7978,7843,7931,7860,7699
55,Year Built: 1990-1999,CT,Litchfield,7819,7770,7702,7807,7843,6815,6615,6727,6666,6702
56,Year Built: 2000-2009,CT,Litchfield,4414,4382,6450,6658,6878,357,535,664,728,707
57,Year Built: 2010-2013,CT,Litchfield,1451,2054,49,107,257,0,41,123,301,571
58,Year Built: before 1940,CT,Litchfield,23162,22638,22921,22161,22131,5215,5378,5476,5170,5287
50,Year Built: 1940-1949,CT,Middlesex,3851,3660,3708,4066,4041,9094,9073,9299,9289,8966
51,Year Built: 1950-1959,CT,Middlesex,9381,9260,9158,8780,8700,9122,9224,9716,9331,9212
52,Year Built: 1960-1969,CT,Middlesex,9250,9617,8835,9108,9240,11043,10925,10656,10622,11016
53,Year Built: 1970-1979,CT,Middlesex,11961,11699,11812,11340,11031,11738,11335,11530,11829,11467
54,Year Built: 1980-1989,CT,Middlesex,11471,11591,11830,11710,11799,7906,7787,7840,7859,8132
55,Year Built: 1990-1999,CT,Middlesex,7535,7772,7938,8098,8180,6846,7106,6993,7097,6858
56,Year Built: 2000-2009,CT,Middlesex,4608,4363,6463,6778,7010,489,585,654,816,874
57,Year Built: 2010-2013,CT,Middlesex,1520,2182,123,183,307,38,82,122,443,688
58,Year Built: before 1940,CT,Middlesex,14444,14336,14855,14769,14773,3716,3734,3669,3701,3608
50,Year Built: 1940-1949,CT,New Haven,27017,25450,25552,25628,25327,54689,54533,55307,54821,55971
51,Year Built: 1950-1959,CT,New Haven,55015,54740,54270,55007,54414,45377,45359,45578,45199,45158
52,Year Built: 1960-1969,CT,New Haven,44508,44734,44727,45842,45166,46826,47516,46791,47680,48890
53,Year Built: 1970-1979,CT,New Haven,48564,48911,48728,47216,46897,45415,44663,45763,45304,45052
54,Year Built: 1980-1989,CT,New Haven,45129,46410,45823,45539,45837,27273,26304,26297,26934,25985
55,Year Built: 1990-1999,CT,New Haven,25613,25787,26139,25847,26866,20073,20163,20771,20362,20582
56,Year Built: 2000-2009,CT,New Haven,11793,11927,19507,20415,20443,2209,2822,3312,3507,3574
57,Year Built: 2010-2013,CT,New Haven,5764,7293,492,1008,1676,119,437,1096,1885,2992
58,Year Built: before 1940,CT,New Haven,96106,95643,96155,95224,95576,25150,26003,25512,26113,26181
50,Year Built: 1940-1949,CT,New London,6187,6162,5670,5636,5723,14570,14416,14987,14466,14672
51,Year Built: 1950-1959,CT,New London,14089,14578,14443,14926,14968,15440,15816,15979,16086,16570
52,Year Built: 1960-1969,CT,New London,16100,16129,16181,16463,15761,16821,16693,16649,16395,16386
53,Year Built: 1970-1979,CT,New London,16815,16502,16290,16170,16948,16273,16154,16230,16589,15630
54,Year Built: 1980-1989,CT,New London,16317,15848,15732,15136,15879,11349,11255,10897,10975,11347
55,Year Built: 1990-1999,CT,New London,10087,10408,10765,11040,11205,10650,11197,10931,10744,10600
56,Year Built: 2000-2009,CT,New London,6144,5878,10628,10675,10727,930,1256,1230,1328,1618
57,Year Built: 2010-2013,CT,New London,3453,4135,310,603,629,28,111,372,765,1248
