,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,Units in Structure: 1 ATTACHED,CT,75180,78814,82402,82522,75898,77999,82285,83131,81320,83539
40,Units in Structure: 1 DETACHED,CT,878679,884297,877807,875291,879735,878416,873350,900627,891596,889358
41,Units in Structure: 10-19,CT,57187,56688,55809,54103,59476,56842,59221,52840,54809,59136
42,Units in Structure: 2,CT,120787,119115,123688,120596,125414,129962,126683,119504,124872,120980
43,Units in Structure: 20-49,CT,58348,50405,51271,50376,51952,51500,53632,56327,50802,52969
44,Units in Structure: 3-4,CT,137386,135510,133067,136285,128310,132389,126707,132115,136221,134603
45,Units in Structure: 5-9,CT,76617,83319,82294,80851,86113,81155,85880,80228,81988,82042
46,Units in Structure: 50+,CT,71916,72238,70783,74471,76019,75726,78169,81391,85754,91102
47,"Units in Structure: Boat,RV,Van,Etc.",CT,373,317,85,461,131,621,788,98,177,299
48,Units in Structure: Mobile Home,CT,11742,13339,10796,13116,10584,11446,12430,11234,13584,10931
