,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,CT,99164,105917,106437,108911,105536,101273,107669,95554,108029,98241
50,Year Built: 1950-1959,CT,227649,237772,232911,243080,217580,223289,213553,221929,228844,228841
51,Year Built: 1960-1969,CT,196651,200232,198871,199976,201780,200220,205704,208578,207897,197072
52,Year Built: 1970-1979,CT,205924,196123,201508,197328,196724,202428,200702,197041,206054,210328
53,Year Built: 1980-1989,CT,190703,198976,189364,190017,201051,188603,185652,188717,186814,190350
54,Year Built: 1990-1999,CT,106593,115712,113755,112306,114472,115216,111257,113815,116912,116093
55,Year Built: 2000-2009,CT,66775,58405,98724,103239,103275,106952,105706,102779,99695,99013
56,Year Built: 2010-2013,CT,44364,49765,8101,11686,12930,18665,23228,20394,21198,22093
57,Year Built: 2014 or later,CT,,,,,,2597.0,9198.0,15472.0,24653.0,34234.0
58,Year Built: before 1940,CT,350392,331140,338331,321529,340284,336813,336476,353216,321027,328694
