,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Connecticut, Annual (Dollars per Thousand Cubic Feet)",6.73,8.12,6.42,5.59,7.56,9.67,9.11,8.67,10.24,6.81,6.58,5.92,5.12,5.42,5.61,4.07,3.57,4.44,5.55,5.36
"Connecticut Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",11.43,12.2,11.15,12.77,14.06,16.24,17.71,16.39,17.85,14.81,14.93,13.83,14.17,13.32,14.13,12.5,12.91,13.95,13.92,14.61
"Connecticut Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",6.62,7.68,7.18,10.47,11.31,13.0,13.6,12.61,13.81,9.92,9.55,8.48,8.4,9.2,10.24,8.6,8.79,9.3,9.23,9.75
"Electricity price in the residential sector, Connecticut (Dollars per million Btu)",31.82,31.96,32.11,33.16,34.09,39.98,49.4,56.01,57.28,59.59,56.41,53.06,50.83,51.45,57.88,61.36,58.65,59.47,62.14,64.11
"Electricity price in the commercial sector, Connecticut (Dollars per million Btu)",27.27,27.22,27.45,29.1,29.01,33.78,41.11,45.1,50.18,49.44,48.21,45.64,42.94,42.89,45.57,46.81,46.16,47.08,49.12,49.08
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),9.992012927429846,11.725479603709852,9.125032718619869,7.766849293478261,10.23110021809558,12.660431665360761,11.55498084918485,10.690020015047457,12.161849350070149,8.114076992985808,7.713809589317486,6.728817239677578,5.701320463791346,5.948174988838902,6.05881895950827,4.390290841427499,3.8027591508510232,4.6304880556099475,5.650588804549546,5.36
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),16.970090306169855,17.617099897199534,15.847992961465973,17.742873967391304,19.02768109344231,21.262193406976085,22.463085712301172,20.208699890037813,21.200098720581266,17.64603234451099,17.50261051193162,15.719517301476504,15.778849799203782,14.618024142312578,15.26044775362778,13.483694230428434,13.751714464281992,14.548492877423143,14.172287596275618,14.61
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),9.828696222821037,11.09010878774528,10.205254660387952,14.547211467391305,15.30605072310331,17.020228712480858,17.250026295160698,15.547999122231653,16.401869094186402,11.819624635891222,11.195574707899999,9.638576046024639,9.353728885907676,10.096533191387065,11.059234607016876,9.276781630534762,9.363096060498737,9.698995251615429,9.39728552540402,9.75
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),47.243068551384496,46.15102563233583,45.63937703970156,46.073116739130434,46.13468339085693,52.34374953269113,62.65818374859841,69.05974867852458,68.0303448019549,71.00115242467318,66.13009102331297,60.309297759677754,56.60119515127228,56.463764423572236,62.51059561075555,66.1887582383271,62.473900335409674,62.02142447457737,63.26623212877636,64.11
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),40.48769576983832,39.306349114899284,39.01591092307093,40.43207771739131,39.25981710673979,44.22640968520027,52.143278014268844,55.60783191218459,59.5978125377461,58.9074840724256,56.51713682385957,51.875543719406195,47.81537123343757,47.069598758542526,49.21575400798428,50.4937381541084,49.16956930063956,49.099859832909075,50.010256230535795,49.08
Inflation Adjustment Factor (2019),1.4846973146255342,1.4440245817376667,1.4213446602211635,1.3894184782608696,1.3533201346687276,1.3092483624985276,1.2683842864088748,1.2329896211127402,1.187680600592788,1.1914944189406473,1.1723114877382197,1.1366245337293206,1.1135391530842471,1.0974492599333767,1.0800033795914918,1.0786955384342747,1.0651986416949646,1.0429027152274655,1.018124108927846,1.0
