,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",CT,59768,59299,62250,53104,48551,52141,49894,49375,53662,48946
8,"Household Income: $100,000 to $124,999",CT,125413,127846,136447,129500,126515,136495,133351,132752,134641,134437
9,"Household Income: $125,000 to $149,999",CT,86772,82854,89923,87914,92572,91735,99783,97256,97632,99870
10,"Household Income: $15,000 to $19,999",CT,63731,62268,55077,56633,60486,53716,49971,45026,46881,44499
11,"Household Income: $150,000 to $199,999",CT,91520,99410,98161,100483,107730,110764,111347,118196,128226,131551
12,"Household Income: $20,000 to $24,999",CT,58340,57206,60599,62602,55008,54382,52631,51725,52633,55066
13,"Household Income: $200,000 or more",CT,103713,112151,116183,124336,135855,138724,150112,153740,171031,182160
14,"Household Income: $25,000 to $29,999",CT,57744,53054,56316,48624,56313,48458,49020,47653,49654,46692
15,"Household Income: $30,000 to $34,999",CT,53393,56771,52391,56753,49969,48603,54231,53010,49303,46754
16,"Household Income: $35,000 to $39,999",CT,56659,47454,51604,49601,50064,48005,53814,48045,45363,45915
17,"Household Income: $40,000 to $44,999",CT,61380,58574,51678,51461,50427,49889,49576,53022,51532,47778
18,"Household Income: $45,000 to $49,999",CT,49958,48238,45167,46856,48776,54238,45788,50037,41750,42806
19,"Household Income: $50,000 to $59,999",CT,101448,96715,97352,99292,87738,88952,90352,97066,91721,85657
20,"Household Income: $60,000 to $74,999",CT,129504,128330,131790,125844,129024,124132,123237,122375,122197,122867
21,"Household Income: $75,000 to $99,999",CT,180261,179185,172780,168060,175471,167378,173563,170883,168673,168812
22,"Household Income: Less than $10,000",CT,79205,82288,80094,78797,81318,76091,70599,66601,73192,73356
23,Household Income: Total:,CT,1358809,1351643,1357812,1339860,1355817,1343703,1357269,1356762,1378091,1377166
24,Median Household Income,CT,64032.0,65753.0,67276.0,67098.0,70048.0,71346.0,73433.0,74168.0,76348.0,78833.0
