,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Connecticut (Million cubic feet)",32042,33338,33056,30916,33062,32778,35107,36134,39485,40687,37446,37181,42394,42213,41600,40824,43764,40562,35329,38364,41534,41022,40276,45627,44179,44522,39069,43348,42935,43995,42729,44719,41050,46802,51193,50975,46045,48431,53100,52228,
"Natural gas consumed by (delivered to) the commercial sector, Connecticut (Million cubic feet)",20153,22769,23125,22260,24778,24590,24713,27581,27411,30781,29410,26838,29838,31427,39082,37879,39786,42624,42333,47553,48476,44378,40535,38760,35511,35756,32660,35963,37666,39731,40656,44832,42346,46418,51221,52453,50258,52513,58184,57642,
"Natural gas consumed by the industrial sector, Connecticut (Million cubic feet)",20317,20625,21410,21035,20855,18937,17703,19802,19436,19724,25448,32660,36383,36842,30647,32170,32451,34554,32498,32039,32162,25622,29051,23553,20529,20469,21670,22794,22539,24585,24117,26258,26932,29965,28371,25612,24271,24557,24562,24520,
"Natural gas consumed by the electric power sector, Connecticut (Million cubic feet)",0,0,0,0,2228,1559,740,7350,1260,6890,12686,15149,13508,11607,18430,28926,17908,24398,20417,31229,34401,32161,65060,42569,58834,63896,76024,73627,59354,70864,85144,107897,114054,106863,100359,119907,123024,108687,136075,143448,
"Total energy consumption per capita in the residential sector, Connecticut (Million Btu)",74.5,73.6,71.4,67,67.3,67.2,71.4,72.5,78.4,81.5,76.6,75.8,82.5,80.4,79.6,76.2,78.9,75.7,70.6,75.9,79.6,76.7,75.7,85.6,85.4,81.8,73,75.3,72,71.1,70.2,66.4,64.7,68.3,69,70.2,63.4,64.3,69.5,67.2,
"Electricity consumed by (i.e., sold to) the residential sector, Connecticut (Million kilowatthours)",8218,8614,8505,8767,8584,8638,9080,9670,10300,10485,10376,10441,10496,10597,10898,10760,10943,10859,10935,11619,11645,11975,12473,13178,13211,13803,12963,13372,12730,12578,13065,12919,12758,13135,12778,12893,12677,12380,13061,12494,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Connecticut (Kilowatthours)",2640,2753,2710,2772,2700,2698,2817,2978,3148,3193,3152,3161,3180,3202,3286,3237,3280,3242,3249,3431,3413,3488,3606,3782,3779,3936,3685,3791,3590,3531,3650,3600,3549,3653,3554,3593,3541,3462,3654,3503,
"Distillate fuel oil consumed by the residential sector, Connecticut (Billion Btu)",78451,75423,71304,54132,63666,63471,75186,77270,87601,92128,79080,75757,90990,85806,81344,72912,76838,75366,64356,75096,82179,79155,76199,91726,99025,86783,74828,75405,72934,71766,65811,59203,54568,57598,58038,60485,45306,45050,54680,53200,
"Propane consumed by the residential sector, Connecticut (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5824,6233,5842,7109,6959,7458,6992,9005,8864,8413,
"Distillate fuel oil consumed by the commercial sector, Connecticut (Billion Btu)",16924,17085,17325,18848,22168,23074,22891,20872,20163,22193,20275,20122,19936,15928,15984,17561,17217,17082,15307,15416,17359,19805,16790,20955,20634,17503,15817,15082,14190,11442,12047,12299,9944,11213,10796,12616,8692,8240,8700,7212,
"Electricity consumed by (i.e., sold to) the commercial sector, Connecticut (Million kilowatthours)",7039,7525,7717,8172,8275,8731,9267,9801,10317,10644,10711,10908,10851,11044,11210,11297,11546,11654,12184,12349,12496,12994,13162,13094,13455,13949,13611,15126,13665,13257,13428,13087,12976,13009,12894,12959,12701,12335,12381,12158,
"Total energy consumption per capita in the commercial sector, Connecticut (Million Btu)",41.7,42.9,43.8,46.7,49,50,50.9,51.9,52.9,57.3,56.5,56.3,58.9,57.2,59.8,58.6,62.9,63.5,63.9,64.9,64.6,62.4,60.4,64.7,59.4,59.2,55.4,60,55.2,52.5,53.3,51.4,51,52.3,53.5,55.6,53,52.6,54,52.6,
