,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,DE,Kent,All Sectors,Ammonia,CAP,1.2665197823029999,TON
1,DE,Kent,All Sectors,Carbon Monoxide,CAP,453.62871546800005,TON
2,DE,Kent,All Sectors,Nitrogen Oxides,CAP,6.629386,TON
3,DE,Kent,All Sectors,PM10 Primary (Filt + Cond),CAP,1585.22137226,TON
4,DE,Kent,All Sectors,PM2.5 Primary (Filt + Cond),CAP,386.02001663639993,TON
5,DE,Kent,All Sectors,Sulfur Dioxide,CAP,1.8106916000000002,TON
6,DE,Kent,All Sectors,Volatile Organic Compounds,CAP,371.81788217999997,TON
7,DE,Kent,All Sectors,Carbon Dioxide,GHG,919.92,TON
8,DE,Kent,All Sectors,Methane,GHG,160.06451937682,TON
9,DE,Kent,All Sectors,Nitrous Oxide,GHG,0.000951625,TON
10,DE,New Castle,All Sectors,Ammonia,CAP,1.2665197823029999,TON
11,DE,New Castle,All Sectors,Carbon Monoxide,CAP,453.62871546800005,TON
12,DE,New Castle,All Sectors,Nitrogen Oxides,CAP,6.629386,TON
13,DE,New Castle,All Sectors,PM10 Primary (Filt + Cond),CAP,1585.22137226,TON
14,DE,New Castle,All Sectors,PM2.5 Primary (Filt + Cond),CAP,386.02001663639993,TON
15,DE,New Castle,All Sectors,Sulfur Dioxide,CAP,1.8106916000000002,TON
16,DE,New Castle,All Sectors,Volatile Organic Compounds,CAP,371.81788217999997,TON
17,DE,New Castle,All Sectors,Carbon Dioxide,GHG,919.92,TON
18,DE,New Castle,All Sectors,Methane,GHG,160.06451937682,TON
19,DE,New Castle,All Sectors,Nitrous Oxide,GHG,0.000951625,TON
20,DE,Sussex,All Sectors,Ammonia,CAP,1.2665197823029999,TON
21,DE,Sussex,All Sectors,Carbon Monoxide,CAP,453.62871546800005,TON
22,DE,Sussex,All Sectors,Nitrogen Oxides,CAP,6.629386,TON
23,DE,Sussex,All Sectors,PM10 Primary (Filt + Cond),CAP,1585.22137226,TON
24,DE,Sussex,All Sectors,PM2.5 Primary (Filt + Cond),CAP,386.02001663639993,TON
25,DE,Sussex,All Sectors,Sulfur Dioxide,CAP,1.8106916000000002,TON
26,DE,Sussex,All Sectors,Volatile Organic Compounds,CAP,371.81788217999997,TON
27,DE,Sussex,All Sectors,Carbon Dioxide,GHG,919.92,TON
28,DE,Sussex,All Sectors,Methane,GHG,160.06451937682,TON
29,DE,Sussex,All Sectors,Nitrous Oxide,GHG,0.000951625,TON
30,DE,Kent,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,1534.24090792,TON
31,DE,Kent,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,22.3840145906,TON
32,DE,Kent,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,55.1839497,TON
33,DE,Kent,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,246.0649,TON
34,DE,Kent,Fires - Prescribed Fires,PM10 Primary (Filt + Cond),CAP,28.7567969,TON
35,DE,Kent,Fires - Prescribed Fires,Volatile Organic Compounds,CAP,231.033123,TON
36,DE,Kent,Fires - Wildfires,Volatile Organic Compounds,CAP,8.901771,TON
37,DE,Kent,Fuel Comb - Comm/Institutional - Coal,Ammonia,CAP,0.0,TON
38,DE,Kent,Fuel Comb - Comm/Institutional - Oil,PM2.5 Primary (Filt + Cond),CAP,9.70567394,TON
39,DE,Kent,Fuel Comb - Comm/Institutional - Other,Nitrogen Oxides,CAP,6.629386,TON
40,DE,Kent,Fuel Comb - Electric Generation - Other,Volatile Organic Compounds,CAP,11.01,TON
41,DE,Kent,"Fuel Comb - Industrial Boilers, ICEs - Coal",Ammonia,CAP,0.0,TON
42,DE,Kent,"Fuel Comb - Industrial Boilers, ICEs - Natural Gas",PM10 Primary (Filt + Cond),CAP,1.585390018,TON
43,DE,Kent,"Fuel Comb - Industrial Boilers, ICEs - Oil",Nitrous Oxide,GHG,0.000951625,TON
44,DE,Kent,Fuel Comb - Residential - Other,Ammonia,CAP,0.3550514,TON
45,DE,Kent,Fuel Comb - Residential - Other,Sulfur Dioxide,CAP,0.1649358,TON
