,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,DE,6.1,6.2,6.1,6.2,6.1,6.2,6.2,6.2,6.2,6.2
26,Number of Rooms: 1,DE,5429,3417,3891,3627,2684,4436,4272,5658,4863,4975
27,Number of Rooms: 2,DE,3389,2649,4593,4078,4196,4197,4056,5027,3850,3894
28,Number of Rooms: 3,DE,27251,24587,26286,23276,23115,24594,22112,21094,26349,29615
29,Number of Rooms: 4,DE,49241,51892,49233,46717,52955,49820,54085,53871,47816,56040
30,Number of Rooms: 5,DE,68435,70053,68591,69747,78401,71093,68832,71560,68006,66028
31,Number of Rooms: 6,DE,78735,79505,83337,81509,79568,80820,80388,80981,95061,86988
32,Number of Rooms: 7,DE,62079,62765,62593,65529,65918,64492,76504,71652,70732,67677
33,Number of Rooms: 8,DE,47965,51828,48670,49260,47042,53432,52789,54680,54768,56825
34,Number of Rooms: 9+,DE,63965,63083,63114,68272,63534,68850,63116,68330,67214,71722
