State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DE,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,0,0,0,0,0,0,0,0,113253,440633,1016019,944138,1009432,1098841,916423,829131,697704,532627
DE,Residential Total Volume (Mcf),8972299,7755239,8862099,9467122,9175485,9549641,10766331,10398679,10339240,9111357,9999876,9875164,10049497,10125513,10029558,8563548,10197249,11316005,11260061,9660112,9895695,12075671,11643336
DE,Residential Sales Volume (Mcf),8972299,7755239,8862099,9467122,9175485,9549641,10766331,10398679,10339240,9111357,9999876,9875164,10049497,10125513,10029558,8563548,10197249,11316005,11260061,9660112,9895695,12075671,11643336
DE,Residential Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Residential Sales Price (Dollars),9.14,9.84,9.22,9.14,10.79,11.68,11.5,12.95,15.56,18.27,17.03,16.74,17.81,15.1,15.52,15.64,14.27,14.04,13.63,12.62,13.67,13.5,12.88
DE,Residential Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
DE,Residential Sales Revenue (Dollars),74973854,68996295,76480714,78901678,83112306,100520178,113349187,125580648,150718137,154271055,162123641,158721565,178806668,153137096,154227489,130494878,139209438,149510000,142081461,114801204,127087594,152209782,140866632
DE,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Residential Total Customers,109400,112507,115961,117845,122829,126418,129870,133197,137115,141276,145010,147541,149006,150458,152005,153307,155627,158502,161607,166556,172064,176414,180758
DE,Residential Sales Customers,109400,112507,115961,117845,122829,126418,129870,133197,137115,141276,145010,147541,149006,150458,152005,153307,155627,158502,161607,166556,172064,176414,180758
DE,Residential Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Commercial Total Volume (Mcf),6607885,5589784,6118945,5125070,5680385,7477420,8437258,8464773,8383458,8134477,8627576,8867632,11684122,12192649,10477599,10034486,11170139,11882031,11730927,12340376,13380260,15593126,15590305
DE,Commercial Sales Volume (Mcf),6607885,5589784,6043740,5022556,5583848,6192166,6987517,6903468,6984827,6301165,6449288,6256527,6246582,6075404,5598876,4387162,5024049,5492631,5364320,4592390,4820322,5648281,5572097
DE,Commercial Transported Volume (Mcf),0,0,75205,102514,96537,1285254,1449741,1561305,1398631,1833312,2178288,2611105,5437540,6117245,4878723,5647324,6146090,6389400,6366607,7747986,8559938,9944845,10018208
DE,Commercial Sales Price (Dollars),7.06,7.58,7.14,7.32,10.4,9.64,9.54,10.82,13.39,15.92,14.8,14.32,15.4,12.73,13.28,13.28,12.14,12.11,11.6,9.9,10.96,11.18,10.64
DE,Commercial Transported Price (Dollars),,,,,,,,,,,,1.65,1.86,1.47,1.36,1.32,1.36,1.61,1.74,2.02,6.32,6.71,2.5
DE,Commercial Sales Revenue (Dollars),44272814,39406234,42298678,35083500,57358780,58288874,63246327,72873983,90634451,96609306,93372743,89079241,99128493,80573288,76046559,58382158,59206477,62736187,57411889,43992917,49965763,59259448,55968814
DE,Commercial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,2356898,6788804,6572596,4670536,5393855,6372209,8139912,8571928,10827260,13622830,15679922,13765692
DE,Commercial Total Customers,9807,10081,10441,9639,11075,11463,11682,11921,12070,12345,12576,12703,12839,12861,12931,12997,13163,13352,13430,13786,14000,14255,14343
DE,Commercial Sales Customers,9807,10081,10440,9638,11074,11437,11654,11884,12034,12288,12507,12619,12726,12706,12656,12644,12777,12902,12967,13366,13555,13795,13867
DE,Commercial Transported Customers,0,0,1,1,1,26,28,37,36,57,69,84,113,155,275,353,386,450,463,420,445,460,476
DE,Industrial Total Volume (Mcf),14805439,16287266,21074618,25325129,20059281,17633911,15171809,16025149,15256621,16398401,16013991,18215906,17401764,7982632,19759583,28736703,32153523,31003769,33125890,31456717,29860230,30783444,33864970
DE,Industrial Sales Volume (Mcf),4582688,3654062,3507707,2686962,3228211,2361489,2361521,1875977,1862857,1479802,1565476,1057973,367803,422464,323162,92864,96213,104750,97395,80142,101504,112255,113500
DE,Industrial Transported Volume (Mcf),10222751,12633204,17566911,22638167,16831070,15272422,12810288,14149172,13393764,14918599,14448515,17157933,17033961,7560168,19436421,28643839,32057310,30899019,33028495,31376575,29758726,30671189,33751470
DE,Industrial Sales Price (Dollars),4.34,4.14,4.06,5.21,6.92,6.02,6.6,7.86,10.98,12.08,8.84,12.54,13.73,9.64,11.42,11.9,11.26,10.85,10.04,9.09,9.95,10.14,9.68
DE,Industrial Transported Price (Dollars),,,,,,,,,,,,1.16,1.08,1.15,1.41,1.4,1.43,1.34,1.24,1.26,1.38,1.46,1.43
DE,Industrial Sales Revenue (Dollars),20162185,15103184,14272696,13527863,22108958,14543748,15041587,14477641,20236560,17663740,13983685,13271025,5143771,4299916,3779280,1078393,1081034,1147159,985074,722786,1005589,1130462,1097513
DE,Industrial Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,6922391,3760619,4065683,8699704,9101643,9351598,7920947,7250517,7008852,7481787,8470711,8200145
DE,Industrial Total Customers,265,257,264,297,316,182,184,186,179,170,185,165,112,114,129,134,138,141,144,128,135,134,151
DE,Industrial Sales Customers,236,213,216,184,210,132,133,134,124,127,125,96,39,40,35,29,28,28,29,34,39,40,44
DE,Industrial Transported Customers,29,44,48,113,106,50,51,52,55,43,60,69,73,74,94,105,110,113,115,94,96,94,107
DE,Electric Total Volume (Mcf),15285057,10827865,19586621,13035726,16055341,15536644,11738176,25590829,25071247,9540373,13440045,10875964,10759434,24357249,53421213,66760146,59466794,66112762,65083995,72421541,57791801,41158090,35227402
DE,Electric Sales Volume (Mcf),1587681,588998,1034577,5033077,0,0,0,0,0,0,0,0,0,0,0,349210,1061258,1768520,1816479,1806468,1823782,1826138,1569665
DE,Electric Transported Volume (Mcf),13697376,10238867,18552044,8002649,16055341,15536644,11738176,25590829,25071247,9540373,13440045,10875964,10759434,24357249,53421213,66410936,58405536,64344242,63267516,70615073,55968019,39331952,33657737
DE,Electric Sales Price (Dollars),2.74,2.14,2.14,7.5,,,,,,,,,,,,4.2,5.03,6.34,4.36,2.2,3.42,5.12,4.07
DE,Electric Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,13.94,,,
DE,Electric Sales Revenue (Dollars),4189964,1262019,2215126,37748083,0,0,0,0,0,0,0,0,0,0,0,1467261,5333304,11214427,7928530,3977377,6231295,9345280,6385769
DE,Electric Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93188,0,0,0
DE,Electric Total Customers,4,3,3,3,3,4,4,5,6,4,5,5,5,5,4,9,10,10,11,12,11,9,9
DE,Electric Sales Customers,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4
DE,Electric Transported Customers,2,2,2,2,3,4,4,5,6,4,5,5,5,5,4,6,6,6,7,8,7,5,5
DE,Vehicle Fuel Total Volume (Mcf),2088,2042,1708,1528,1504,111,223,196,113,109,155,60,235,110,67,37,416,698,322,424,538,648,625
DE,Vehicle Fuel Sales Volume (Mcf),2088,2042,1708,1528,1504,111,223,196,113,109,155,60,235,110,67,37,416,698,322,424,538,648,625
DE,Vehicle Fuel Transported Volume (Mcf),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Vehicle Fuel Sales Price (Dollars),2.85,2.6,2.91,3.21,4.12,5.48,12.66,14.88,19.32,22.42,21.9,26.48,14.12,24.55,28.76,30.97,8.1,8.44,5.69,1.38,2.91,5.43,18.75
DE,Vehicle Fuel Transported Price (Dollars),,,,,,,,,,,,,,,,,,,,,,,
DE,Vehicle Fuel Sales Revenue (Dollars),5959,5311,4972,4905,6200,608,2823,2917,2183,2444,3395,1589,3318,2700,1927,1146,3371,5892,1833,583,1567,3517,11716
DE,Vehicle Fuel Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE,Vehicle Fuel Total Customers,2,2,3,3,4,4,5,5,3,3,4,2,2,2,2,3,5,8,5,5,6,6,5
DE,Vehicle Fuel Sales Customers,2,2,3,3,4,4,5,5,3,3,4,2,2,2,2,3,5,8,5,5,6,6,5
DE,Vehicle Fuel Transported Customers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
