,Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Main Miles Built Pre-1940,Main Miles Built 1940-49,Main Miles Built 1950-59,Main Miles Built 1960-69,Main Miles Built 1970-79,Main Miles Built 1980-89,Main Miles Built 1990-99,Main Miles Built 2000-09,Main Miles Built 2010-19,Main Miles Built 2020-29
0,Statewide Total,,Total,DE,3468.9889999999996,22.0,611,0.0,46.0,14.0,163.0,400.0,123.0,320.0,840.0,789.0,680.0,88.0
1,Statewide Total,,Cooperative,DE,4.1,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2,Statewide Total,,Privately Owned,DE,54.149,25.25,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,26.0,7.0
3,Statewide Total,,Investor Owned,DE,3410.74,20.666666666666668,611,0.0,46.0,14.0,163.0,400.0,123.0,318.0,840.0,767.0,652.0,80.0
4,Statewide Total,,Municipal Owned,DE,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,FOX RUN ASSOCIATES LLC,39644,Privately Owned,DE,1.23,36.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.23,0.0,0.0,0.0,0.0
6,"ICONO-SUMMER  CHASE APARTMENT,L.P",39226,Privately Owned,DE,1.27,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0
7,PETROLEUM EQUIPMENT TA (FOR POORES PROPANE LP SYSTEMS),37276,Privately Owned,DE,51.47,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56,25.1,7.77
8,SHARPGAS INC DBA SHARP ENERGY,32347,Investor Owned,DE,115.74,11.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66,45.75,57.6,3.73
9,AERO ENERGY,32170,Cooperative,DE,4.1,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1.2,0.0
10,ELKTON GAS,4376,Privately Owned,DE,0.179,51.0,0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.066,0.0,0.0,0.0
11,DELMARVA POWER & LIGHT COMPANY,3240,Investor Owned,DE,2142.518,33.0,542,0.0,46.799,14.802,163.456,334.816,99.335,243.494,628.045,292.322,294.299,25.15
12,CHESAPEAKE UTILITIES CORPORATION,2309,Investor Owned,DE,1152.482,18.0,69,0.0,0.0,0.0,0.263,65.787,24.571,75.359,204.002,429.715,300.72,52.064
