,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Avg household size of owner-occupied unit,DC,District of C,2.23,2.26,2.28,2.29,2.33,2.35,2.36,2.4,2.43,2.45
1,Avg household size of renter-occupied unit,DC,District of C,2.04,2.04,2.08,2.13,2.14,2.13,2.15,2.18,2.2,2.19
2,FIPS Code,DC,District of C,11001,11001,11001,11001,11001,11001,11001,11001,11001,11001
3,House Heating Fuel: Electric,DC,District of C,77900,82443,85799,90403,96194,103527,109239,113208,118948,122592
4,House Heating Fuel: Fuel Oil,DC,District of C,9407,8358,7765,7026,6556,5982,5338,4842,4187,3747
5,House Heating Fuel: Gas,DC,District of C,163727,163172,161857,159892,158089,156637,154256,151447,149614,148954
6,House Heating Fuel: Propane,DC,District of C,2925,2789,2443,2704,2497,2708,2707,2926,2948,2929
7,House Heating Fuel: Wood,DC,District of C,65,55,55,39,26,27,16,22,21,16
26,Median Number of Rooms,DC,District of C,4.2,4.2,4.2,4.2,4.2,4.3,4.2,4.2,4.2,4.1
27,Number of Rooms: 1,DC,District of C,18695,20044,21020,20507,19984,20368,20814,21589,22831,24131
28,Number of Rooms: 2,DC,District of C,24174,22594,19318,20151,21126,21491,23634,26110,27771,30617
29,Number of Rooms: 3,DC,District of C,64216,65140,65316,66249,66020,66118,65431,65394,66489,67006
30,Number of Rooms: 4,DC,District of C,55328,56258,57625,56596,57845,57405,58078,57041,57094,57464
31,Number of Rooms: 5,DC,District of C,35571,35460,35764,36279,37121,37648,37946,36307,36489,35624
32,Number of Rooms: 6,DC,District of C,30675,30799,30796,31471,31326,32206,31699,31655,30784,30745
33,Number of Rooms: 7,DC,District of C,22107,21736,21766,22073,21722,22257,22381,22831,23300,23318
34,Number of Rooms: 8,DC,District of C,17047,16368,17812,17452,17919,17987,18732,18044,18240,17752
35,Number of Rooms: 9+,DC,District of C,25679,27111,27254,27549,27735,27832,27996,29190,28547,28519
36,Owner-Occupied,DC,District of C,249220,251601,252460,254673,259254,265114,265901,278164,285293,290425
37,Renter-Occupied,DC,District of C,296001,302811,313419,324608,334271,342145,353141,354285,359585,363139
38,Total Housing Units,DC,District of C,293492,295510,296671,298327,300798,303312,306711,308161,311545,315176
39,Total Population,DC,District of C,584400,593955,605759,619371,633736,647484,659009,672391,684498,692683
40,Units in Structure: 1 ATTACHED,DC,District of C,75950,76376,75976,76428,76489,77175,76963,77305,76711,76019
41,Units in Structure: 1 DETACHED,DC,District of C,36265,35976,35992,35892,35925,36367,36352,36781,37443,37572
42,Units in Structure: 10-19,DC,District of C,31744,32050,31865,32406,33410,34019,34134,32236,31899,31615
43,Units in Structure: 2,DC,District of C,8737,8517,8518,8816,9051,9714,9742,9726,9616,10114
44,Units in Structure: 20-49,DC,District of C,25261,25678,25615,25705,25158,24723,24719,24403,24762,24156
45,Units in Structure: 3-4,DC,District of C,22194,22021,22667,22514,22135,22103,22761,22081,21796,22190
46,Units in Structure: 5-9,DC,District of C,18801,18662,18821,19132,19822,19912,20446,20881,21619,22096
47,Units in Structure: 50+,DC,District of C,74174,75828,76877,77144,78590,79088,81451,84574,87378,90986
48,"Units in Structure: Boat,RV,Van,Etc.",DC,District of C,254,293,222,173,95,126,58,48,91,104
49,Units in Structure: Mobile Home,DC,District of C,112,109,118,117,123,85,85,126,230,324
50,Year Built: 1940-1949,DC,District of C,45175,45570,45311,43234,40871,40117,40091,39538,39749,39794
51,Year Built: 1950-1959,DC,District of C,46450,45002,44628,42685,40789,36328,35776,35706,36000,35971
52,Year Built: 1960-1969,DC,District of C,38435,38511,38083,36805,36905,23793,24891,23965,23356,22302
53,Year Built: 1970-1979,DC,District of C,22623,21989,22258,22412,23410,13889,13853,13834,13518,13798
54,Year Built: 1980-1989,DC,District of C,11964,11910,12149,12740,13111,9045,8955,9157,9258,10291
55,Year Built: 1990-1999,DC,District of C,7605,8078,8412,8995,8966,26797,26335,26812,26453,25638
56,Year Built: 2000-2009,DC,District of C,10443,10718,22470,24702,26293,5318,7479,9373,9946,10958
57,Year Built: 2010-2013,DC,District of C,8196,11093,590,1821,3273,379,1900,4280,8053,12116
58,Year Built: before 1940,DC,District of C,102601,102639,102770,104933,107180,38557,38269,36707,36548,36745
