,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
25,Median Number of Rooms,DC,4.3,4.2,4.2,4.3,4.2,4.3,4.1,4.1,4.1,4.0
26,Number of Rooms: 1,DC,19882,21051,21243,18192,19355,23220,24628,25171,23620,25752
27,Number of Rooms: 2,DC,18919,19389,19341,25049,22547,21883,31038,31922,32912,35446
28,Number of Rooms: 3,DC,63568,66925,66347,66575,67345,64092,62980,67691,71418,70913
29,Number of Rooms: 4,DC,61226,58073,57829,54266,59154,58436,60284,53847,55221,57180
30,Number of Rooms: 5,DC,36061,37055,37749,36699,39143,36413,36355,32590,36899,35162
31,Number of Rooms: 6,DC,30630,32438,30958,33573,29138,33815,29981,33069,29545,27851
32,Number of Rooms: 7,DC,21173,21559,22138,22610,21043,24310,22358,23747,25257,22478
33,Number of Rooms: 8,DC,18044,14475,19965,16932,20282,19559,17221,16371,17288,19236
34,Number of Rooms: 9+,DC,27333,27943,24677,29079,28177,27868,28858,30435,27419,28796
