,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,DC,49982,43545,38260,35199,38075,36411,43399,32005,36384,36517
50,Year Built: 1950-1959,DC,43346,40775,41402,39270,39047,40862,40461,38616,40819,38768
51,Year Built: 1960-1969,DC,37909,37734,38368,36315,34371,36819,33874,41493,36491,33632
52,Year Built: 1970-1979,DC,19323,20659,27151,26121,25300,22887,23629,23595,21964,18312
53,Year Built: 1980-1989,DC,11183,13463,14127,13400,13430,13986,12852,14643,11770,14972
54,Year Built: 1990-1999,DC,9074,9700,7622,9982,6960,9600,11427,9548,9769,13219
55,Year Built: 2000-2009,DC,10858,11514,23869,28368,28782,26957,23755,24951,25260,28399
56,Year Built: 2010-2013,DC,13846,14873,2121,6080,7268,9924,11894,11579,8777,12767
57,Year Built: 2014 or later,DC,,,,,,1745.0,7753.0,11457.0,19438.0,20330.0
58,Year Built: before 1940,DC,101315,106645,107327,108240,112951,110405,104659,106956,108907,105898
