State,Metric,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
DC,"Losses from leaks, etc. within State (Mcf)",0,0,0,0,0,0,0,0,0,0,0,0,0,66627,1562411,1006997,1433638,1304647,816378,900401,1114699,1316409,1897608
DC,Residential Total Volume (Mcf),15806557,13248996,14146719,15436986,12946859,14249429,15155664,14275709,13852727,11412481,13370956,13221777,13465669,13608088,12385509,11259554,13214471,14242397,13493517,11378663,11903753,13111897,12064717
DC,Residential Sales Volume (Mcf),15806557,13196816,13182680,12784334,9759858,10612888,10720820,10770116,11048735,8753848,10193090,10089948,10243192,10279544,9286687,8325544,9912743,10506937,9884198,8333657,8798251,9911420,9111751
DC,Residential Transported Volume (Mcf),0,52180,964039,2652652,3187001,3636541,4434844,3505593,2803992,2658633,3177866,3131829,3222477,3328544,3098822,2934010,3301728,3735460,3609319,3045006,3105502,3200477,2952966
DC,Residential Sales Price (Dollars),9.39,8.91,8.7,10.81,12.65,11.01,13.29,14.31,16.87,16.96,15.67,16.49,13.92,13.53,13.06,12.1,12.45,13.05,11.98,10.9,12.53,11.78,12.81
DC,Residential Transported Price (Dollars),,,,,,,,,,,,4.58,4.87,4.84,4.85,5.08,5.21,5.23,5.64,6.03,6.11,5.78,5.97
DC,Residential Sales Revenue (Dollars),148437860,117630475,114736868,138142244,123449071,116891878,142435855,154150819,186341753,148479137,159755369,166354992,142578313,139065000,121244387,100773181,123385705,137104688,118451949,90844480,110248941,116738902,116693869
DC,Residential Transported Revenue (Dollars),0,0,0,0,0,0,0,0,0,0,0,14334095,15698642,16106350,15024855,14898849,17193192,19541296,20352640,18374457,18973906,18485982,17641933
DC,Residential Total Customers,134807,132867,137206,138252,138412,143874,136258,138134,141012,141953,142384,142819,143436,144151,145524,145938,146712,147877,147895,148545,151125,153691,154375
DC,Residential Sales Customers,134807,132824,126714,120003,122034,117444,113486,120709,127139,128020,128957,129812,129738,130048,130888,129674,129641,129942,130798,132221,135363,138863,139363
DC,Residential Transported Customers,0,43,10492,18249,16378,26430,22772,17425,13873,13933,13427,13007,13698,14103,14636,16264,17071,17935,17097,16324,15762,14828,15012
DC,Commercial Total Volume (Mcf),18011989,16861562,17837243,17728298,16546140,18331952,17098418,17384263,17682569,17107244,19296632,18411123,18704910,18547347,16891945,15362785,17233520,17498148,17113404,15647898,16039699,16621415,16125223
