,urban_area,source,all_exp,POC_exp,white_exp,latino_exp,black_exp,asian_exp,white_diff,white_pctDiff,POC_diff,POC_pctDiff,latino_diff,latino_pctDiff,black_diff,black_pctDiff,asian_diff,asian_pctDiff,State
0,"Bonita Springs, FL",All,3.27574301090589,3.18420073128543,3.31342923841503,3.18104304275184,3.15138601542161,3.2828703488446,0.0376862275091421,0.0115046349434842,-0.0915422796204654,-0.027945501010212,-0.0946999681540532,-0.0289094620178597,-0.124356995484277,-0.03796298887619,0.00712733793871312,0.00217579276365214,FL
1,"Cape Coral, FL",All,3.93787736423985,3.96457906772357,3.92363790033235,3.90635597740233,4.08584688833246,3.95751990079191,-0.0142394639074963,-0.00361602523146249,0.0267017034837185,0.00678073515600018,-0.0315213868375217,-0.00800466442245503,0.147969524092607,0.0375759604492332,0.0196425365520598,0.00498810265917246,FL
2,"Deltona, FL",All,2.39657020011276,2.39721306746982,2.3961635379423,2.38792049483397,2.40981626486571,2.51186462252263,-0.000406662170461036,-0.000169685065115932,0.000642867357062205,0.000268244742854583,-0.00864970527878706,-0.00360920171601069,0.0132460647529538,0.00552709232232401,0.115294422409871,0.0481080931426279,FL
3,"Fort Walton Beach--Navarre--Wright, FL",All,3.70875502894021,3.71807801395209,3.7054709353974,3.75438488153796,3.71764982979241,3.70496065480289,-0.00328409354281334,-0.000885497563788077,0.00932298501188145,0.00251377751809763,0.0456298525977439,0.0123032802764497,0.00889480085219541,0.00239832525545294,-0.00379437413732164,-0.00102308567368654,FL
4,"Gainesville, FL",All,4.80564576463516,4.78394479987508,4.82116599580051,4.96791475119701,4.62396503278631,4.93984046206162,0.0155202311653548,0.00322958285431035,-0.0217009647600772,-0.0045157229273483,0.162268986561856,0.0337663228854688,-0.18168073184885,-0.0378056853848534,0.134194697426466,0.0279243839431544,FL
5,"Homosassa Springs--Beverly Hills--Citrus Springs, FL",All,3.52581941305428,3.51032023502185,3.52825209509692,3.4998986077852,3.49275561218623,3.58781163882708,0.00243268204263103,0.000689962178330537,-0.0154991780324387,-0.0043959080760215,-0.0259208052690809,-0.00735171097337248,-0.0330638008680571,-0.00937762176520979,0.0619922257727916,0.0175823598744923,FL
6,"Jacksonville, FL",All,5.27969369702117,5.56846047152646,5.06436658582884,5.24180793998349,5.80303870904117,5.12549824595971,-0.215327111192331,-0.0407840158064131,0.288766774505294,0.0546938498853101,-0.0378857570376834,-0.00717574905132446,0.523345012019998,0.099124123870154,-0.154195451061456,-0.0292053781734448,FL
7,"Kissimmee, FL",All,4.5794510537188,4.58278869436732,4.57154604151316,4.54003287739927,4.51791445897554,5.11891391549775,-0.00790501220564011,-0.00172619209440414,0.00333764064852549,0.000728829855232346,-0.0394181763195309,-0.00860762040190842,-0.0615365947432576,-0.0134375483046786,0.539462861778952,0.117800770321778,FL
8,"Lady Lake--The Villages, FL",All,3.83711109491994,3.59078804840513,3.85580262633352,3.59428075752366,3.57218398846868,3.61162426784975,0.0186915314135847,0.00487125104048485,-0.24632304651481,-0.0641949217579143,-0.242830337396272,-0.0632846772973976,-0.264927106451253,-0.069043376617893,-0.225486827070183,-0.0587647377134093,FL
9,"Lakeland, FL",All,4.70626089328289,4.88331994028296,4.6081400646453,4.76467459072684,5.08973412087271,4.53494279358225,-0.0981208286375823,-0.0208489989957054,0.177059047000071,0.0376220211788052,0.0584136974439602,0.0124119122948183,0.383473227589827,0.0814815065049088,-0.171318099700632,-0.0364021680024475,FL
10,"Leesburg--Eustis--Tavares, FL",All,3.06794147919013,3.10415728248328,3.05518868121809,3.04482084456317,3.14779603557323,3.08146421123442,-0.0127527979720434,-0.00415679310004632,0.0362158032931426,0.011804593907281,-0.023120634626959,-0.00753620458010246,0.0798545563830997,0.026028709127848,0.0135227320442892,0.00440775423391026,FL
11,"Miami, FL",All,5.3120827342533,5.72034803510394,4.40551410675824,5.95089708906539,5.42606681668489,4.71730711099489,-0.906568627495064,-0.170661616704375,0.408265300850636,0.0768559755701968,0.63881435481209,0.120256853435828,0.11398408243159,0.0214575126431294,-0.594775623258417,-0.111966558695178,FL
