,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,FL,Alachua,All Sectors,Ammonia,CAP,4984.289682143344,TON
1,FL,Alachua,All Sectors,Carbon Monoxide,CAP,125778.18197204372,TON
2,FL,Alachua,All Sectors,Nitrogen Oxides,CAP,11029.693546185703,TON
3,FL,Alachua,All Sectors,PM10 Primary (Filt + Cond),CAP,24074.10182453454,TON
4,FL,Alachua,All Sectors,PM2.5 Primary (Filt + Cond),CAP,4066.737060460757,TON
5,FL,Alachua,All Sectors,Sulfur Dioxide,CAP,334.54432045447857,TON
6,FL,Alachua,All Sectors,Volatile Organic Compounds,CAP,122116.19230039763,TON
7,FL,Baker,All Sectors,Ammonia,CAP,4984.289682143344,TON
8,FL,Baker,All Sectors,Carbon Monoxide,CAP,125778.18197204372,TON
9,FL,Baker,All Sectors,Nitrogen Oxides,CAP,11029.693546185703,TON
10,FL,Baker,All Sectors,PM10 Primary (Filt + Cond),CAP,24074.10182453454,TON
11,FL,Baker,All Sectors,PM2.5 Primary (Filt + Cond),CAP,4066.737060460757,TON
12,FL,Baker,All Sectors,Sulfur Dioxide,CAP,334.54432045447857,TON
13,FL,Baker,All Sectors,Volatile Organic Compounds,CAP,122116.19230039763,TON
14,FL,Bay,All Sectors,Ammonia,CAP,4984.289682143344,TON
15,FL,Bay,All Sectors,Carbon Monoxide,CAP,125778.18197204372,TON
16,FL,Bay,All Sectors,Nitrogen Oxides,CAP,11029.693546185703,TON
17,FL,Bay,All Sectors,PM10 Primary (Filt + Cond),CAP,24074.10182453454,TON
18,FL,Bay,All Sectors,PM2.5 Primary (Filt + Cond),CAP,4066.737060460757,TON
19,FL,Bay,All Sectors,Sulfur Dioxide,CAP,334.54432045447857,TON
20,FL,Bay,All Sectors,Volatile Organic Compounds,CAP,122116.19230039763,TON
21,FL,Bay,All Sectors,Carbon Dioxide,GHG,13924704.30548572,TON
22,FL,Bay,All Sectors,Methane,GHG,11593.021418593355,TON
23,FL,Bay,All Sectors,Nitrous Oxide,GHG,7.354516149999999,TON
24,FL,Bradford,All Sectors,Ammonia,CAP,4984.289682143344,TON
25,FL,Bradford,All Sectors,Carbon Monoxide,CAP,125778.18197204372,TON
26,FL,Bradford,All Sectors,Nitrogen Oxides,CAP,11029.693546185703,TON
27,FL,Bradford,All Sectors,PM10 Primary (Filt + Cond),CAP,24074.10182453454,TON
28,FL,Bradford,All Sectors,PM2.5 Primary (Filt + Cond),CAP,4066.737060460757,TON
29,FL,Bradford,All Sectors,Sulfur Dioxide,CAP,334.54432045447857,TON
30,FL,Bradford,All Sectors,Volatile Organic Compounds,CAP,122116.19230039763,TON
31,FL,Bradford,All Sectors,Carbon Dioxide,GHG,13924704.30548572,TON
32,FL,Bradford,All Sectors,Methane,GHG,11593.021418593355,TON
33,FL,Bradford,All Sectors,Nitrous Oxide,GHG,7.354516149999999,TON
34,FL,Brevard,All Sectors,Ammonia,CAP,4984.289682143344,TON
35,FL,Brevard,All Sectors,Carbon Monoxide,CAP,125778.18197204372,TON
36,FL,Brevard,All Sectors,Nitrogen Oxides,CAP,11029.693546185703,TON
37,FL,Brevard,All Sectors,PM10 Primary (Filt + Cond),CAP,24074.10182453454,TON
38,FL,Brevard,All Sectors,PM2.5 Primary (Filt + Cond),CAP,4066.737060460757,TON
