,Metric,State,County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
40,Units in Structure: 1 ATTACHED,FL,Alachua,3760,3908,4575,4906,5300,5385,5768,5748,5522,5153
41,Units in Structure: 1 DETACHED,FL,Alachua,55402,56097,57057,56600,56890,57769,58298,58002,58800,59622
42,Units in Structure: 10-19,FL,Alachua,10955,11485,11124,10884,10912,10474,9629,9866,10632,10665
43,Units in Structure: 2,FL,Alachua,3078,3612,3161,3072,3307,3254,2982,2805,2922,2759
44,Units in Structure: 20-49,FL,Alachua,4707,4652,4857,5060,5409,5954,6850,7222,7372,7629
45,Units in Structure: 3-4,FL,Alachua,8539,8221,8525,8391,7462,7359,6991,6693,6375,7110
46,Units in Structure: 5-9,FL,Alachua,11013,10828,10096,10721,10144,9311,9096,9781,9809,9658
47,Units in Structure: 50+,FL,Alachua,3839,3834,3805,4064,4534,4830,4930,5296,5225,5573
48,"Units in Structure: Boat,RV,Van,Etc.",FL,Alachua,6,6,52,89,85,95,97,89,75,73
49,Units in Structure: Mobile Home,FL,Alachua,9703,9392,9335,9034,9272,9228,9554,9780,9557,9173
40,Units in Structure: 1 ATTACHED,FL,Baker,54,36,30,111,113,76,76,85,37,40
41,Units in Structure: 1 DETACHED,FL,Baker,5085,5292,5202,5228,5389,5228,4913,5460,5666,5564
42,Units in Structure: 10-19,FL,Baker,15,14,45,45,37,27,42,0,0,0
43,Units in Structure: 2,FL,Baker,90,82,152,119,102,91,109,99,180,222
44,Units in Structure: 20-49,FL,Baker,44,35,5,5,0,0,0,0,25,41
45,Units in Structure: 3-4,FL,Baker,93,238,239,160,140,108,22,69,91,88
46,Units in Structure: 5-9,FL,Baker,64,40,32,25,92,59,112,149,198,86
47,Units in Structure: 50+,FL,Baker,87,44,35,0,1,1,16,18,12,9
48,"Units in Structure: Boat,RV,Van,Etc.",FL,Baker,0,0,15,17,16,37,40,24,23,15
