,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
49,Year Built: 1940-1949,FL,210134,207749,201870,196709,200390,196897,194185,183482,190487,191654
50,Year Built: 1950-1959,FL,681202,687517,673579,663028,669427,663236,662003,675129,653259,657118
51,Year Built: 1960-1969,FL,877582,885909,870801,869222,893159,853741,854367,851504,841693,851332
52,Year Built: 1970-1979,FL,1671568,1659563,1641439,1658385,1679102,1663537,1684226,1668848,1675498,1654016
53,Year Built: 1980-1989,FL,1940449,1909498,1949665,1943943,1903420,1907853,1884675,1911407,1924649,1937197
54,Year Built: 1990-1999,FL,1570158,1572082,1566840,1535375,1576993,1607336,1596306,1593189,1587971,1620372
55,Year Built: 2000-2009,FL,1197616,1199649,1857466,1859596,1859798,1846331,1815939,1793578,1815421,1764689
56,Year Built: 2010-2013,FL,648353,707737,65594,117006,158574,218115,251627,264653,249919,247860
57,Year Built: 2014 or later,FL,,,,,,52706.0,159080.0,292373.0,408860.0,554183.0
58,Year Built: before 1940,FL,197029,197567,204276,204709,203787,200535,199732,207422,200005,195632
