,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Total carbon dioxide emissions from all sectors, coal, Florida (million metric tons CO2)",21.132116,22.17617,22.556781,29.96661,35.577483,44.40485,43.170496,55.148926,57.537826,59.909204,60.26458,61.947979,61.890575,62.123358,62.967656,65.298134,70.898327,71.399735,71.286663,68.207624,72.454126,69.161874,68.696236,69.188631,66.841576,64.287034,66.453267,68.820213,66.186933,55.525635,60.867074,52.785786,46.12346,48.239225,53.274909,44.549891,40.698057,38.915699,31.300891,,
"Total carbon dioxide emissions from all sectors, natural gas, Florida (million metric tons CO2)",17.485833,18.966326,17.99141,17.031774,16.881146,16.18552,15.860123,16.636077,16.222553,17.889753,18.145062,19.153085,19.691292,19.525437,22.161982,30.736258,29.772483,29.032714,28.096954,30.955753,30.478986,30.229407,37.597917,37.926285,40.199551,42.73428,48.677741,50.07727,51.466983,57.39267,62.631432,65.575493,71.541079,66.07083,65.856534,73.116862,75.041174,75.408167,80.17255,,
"Total carbon dioxide emissions from all sectors, petroleum, Florida (million metric tons CO2)",119.746863,117.307599,101.229666,100.574379,92.0485,92.365572,105.403286,102.90809,111.068005,111.378768,110.785394,109.255419,111.209439,114.21628,118.156796,112.507653,113.514657,118.86782,133.010653,132.62238,137.295246,139.626615,136.082517,139.578411,151.008152,154.329062,144.602346,138.479217,121.329323,111.797723,119.314021,111.364247,105.70243,108.191717,109.157939,114.961259,114.702136,115.050741,119.732202,,
"Residential carbon dioxide emissions, all fuels, Florida (million metric tons CO2)",2.23633,2.187458,1.651724,1.792133,2.101671,2.202268,2.06897,2.149484,1.968338,1.667551,1.533522,1.57393,1.739322,1.665303,1.56751,1.486472,1.651802,1.364374,1.4448,1.413269,1.51457,1.425698,1.379751,1.407868,1.543502,1.492089,1.420972,1.314056,1.326894,1.429348,1.609956,1.337336,1.105479,1.141324,1.254619,1.167035,1.187609,1.209417,1.356428,,
"Commercial carbon dioxide emissions, all fuels, Florida (million metric tons CO2)",4.507903,4.608399,3.172689,4.626002,5.294125,6.71624,7.135881,6.739974,6.271376,5.686603,6.28922,6.011991,5.986635,4.765744,4.346723,4.325149,4.156798,3.633805,3.549649,3.628869,4.795284,4.889205,5.00384,4.944626,5.843001,5.65567,5.169727,4.677422,4.786957,4.796042,5.263516,4.70254,4.665677,5.122501,5.261077,6.815356,7.338368,6.939231,7.080384,,
"Industrial carbon dioxide emissions, all fuels, Florida (million metric tons CO2)",18.961152,15.27967,11.61597,11.683058,12.980301,13.619471,11.370466,11.001944,12.593399,12.053678,12.430827,11.751567,13.399098,14.700962,15.498904,16.8587,16.904941,15.724146,16.016663,16.224521,15.256495,14.474716,12.956496,13.874501,12.834123,13.122923,13.187871,11.869249,11.59863,10.38376,11.814049,10.371571,10.676336,11.111907,10.924515,11.744171,12.043628,12.350847,12.27079,,
"Transportation carbon dioxide emissions, all fuels, Florida (million metric tons CO2)",68.169007,68.207127,66.889361,66.764918,65.480162,67.852662,71.71123,76.091625,80.63263,81.376391,81.379086,77.074993,79.850209,78.775069,84.204085,86.374509,87.093603,90.240247,91.666418,94.38822,100.092845,98.663119,101.064238,99.547652,110.573407,113.379816,115.892866,114.228656,103.467256,97.035453,104.007727,102.353272,99.421144,99.972943,101.081331,104.787828,103.521058,105.722965,109.838724,,
"Electric power carbon dioxide emissions, natural gas, Florida (million metric tons CO2)",8.942064,9.215784,9.816863,9.377023,9.37315,8.887257,9.066801,9.395328,8.265486,10.045537,10.167727,10.831625,10.911846,10.103316,11.408351,19.867281,18.095984,18.743859,18.02197,20.198885,20.030271,20.689447,28.394336,29.366069,32.04819,34.596714,40.476507,42.15002,43.507103,49.645176,53.029183,56.209188,61.288143,55.736188,56.145997,62.829174,64.085503,64.391693,68.703927,,
"Residential carbon dioxide emissions, natural gas, Florida (million metric tons CO2)",0.858934,0.960273,0.782321,0.894854,0.868113,0.796381,0.791181,0.846042,0.853151,0.750646,0.746136,0.752184,0.838985,0.812828,0.829488,0.82519,0.964995,0.736373,0.7889,0.765767,0.889866,0.878512,0.831345,0.876868,0.873313,0.887744,0.856016,0.82779,0.85347,0.832035,1.018582,0.883287,0.776484,0.827313,0.90955,0.837818,0.836332,0.818293,0.932206,,
"Commercial carbon dioxide emissions, natural gas, Florida (million metric tons CO2)",1.712934,1.978536,1.710759,1.701474,1.779998,1.805041,2.045228,2.177658,2.16763,2.013288,2.087727,2.288122,2.434452,2.399435,2.390946,2.291995,2.476208,2.060243,2.106721,2.013023,2.816778,2.784944,3.066781,3.000089,3.094901,3.176343,2.770672,2.807494,2.785899,2.754649,2.93796,2.883205,2.954354,3.238314,3.420033,3.2754,3.406185,3.359548,3.479987,,
"Industrial carbon dioxide emissions, natural gas, Florida (million metric tons CO2)",5.763864,6.570591,5.44441,4.816007,4.606804,4.469334,3.731688,3.95808,4.743425,4.841951,4.983029,5.078584,5.248684,5.951313,7.209764,7.318,7.885441,7.161483,6.950423,7.58132,6.300479,5.480594,4.668827,4.121866,3.565408,3.546095,3.908313,3.7241,3.790474,3.587161,4.403544,4.865721,5.633345,5.584904,5.175519,5.241521,5.661359,5.679026,5.908019,,
