,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Florida, Annual (Dollars per Thousand Cubic Feet)",5.1,5.28,3.9,5.87,6.6,9.3,8.32,7.97,9.73,5.76,5.49,5.07,3.93,4.44,5.05,4.87,4.04,5.77,6.88,7.22
"Florida Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",12.93,15.73,13.66,16.17,17.75,20.15,21.54,20.61,21.07,20.18,17.89,18.16,18.34,18.46,19.02,19.34,20.27,21.15,21.34,21.73
"Florida Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",7.71,10.5,8.21,10.39,11.43,13.28,13.91,13.07,14.45,11.09,10.6,11.14,10.41,10.87,11.42,10.88,10.42,10.97,11.2,11.46
"Electricity price in the residential sector, Florida (Dollars per million Btu)",22.78,25.19,23.91,25.07,26.35,28.2,33.21,32.89,34.16,36.3,33.52,33.73,33.48,33.04,34.84,33.94,32.19,34.02,33.82,34.3
"Electricity price in the commercial sector, Florida (Dollars per million Btu)",18.48,20.87,19.62,20.91,22.3,23.91,29.04,28.56,29.7,31.56,28.61,28.87,28.32,27.52,28.92,27.85,26.09,27.4,26.93,27.16
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),3.4350435942468893,3.656447450254838,2.7438805724947484,4.2247890695591295,4.876894853571051,7.103312302222154,6.559526232823398,6.463963575627902,8.192438265930774,4.83426519540158,4.6830557044118395,4.46057589779897,3.5292876672677425,4.045745131095665,4.675911293824051,4.514712285793635,3.7927198194427603,5.532634938764653,6.75752586513751,7.22
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),8.70884581835535,10.893166362217537,9.610617594943145,11.637962394339203,13.115891462255478,15.390509988147997,16.982234982574035,16.71546917110302,17.740459842051532,16.936713826945116,15.260449280861168,15.977131815390393,16.47000911391613,16.820823225231077,17.611056001689793,17.92906275302852,19.029314539629887,20.279935694085342,20.960116564249198,21.73
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),5.19297766894971,7.271344361302234,5.776220384662023,7.47794862567621,8.445895178229867,10.143224448764537,10.966707920501618,10.600251434561692,12.16657070325793,9.307639065452,9.041965476642167,9.800949803053358,9.348571149174859,9.90478594031754,10.574040985241714,10.08625660563342,9.782212999651872,10.51871841910715,11.000623501386645,11.46
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),15.343194720969441,17.444301377257457,16.822098586756265,18.043519927401597,19.47063324115109,21.539076013189753,26.182916609623202,26.675001505947517,28.761941537944008,30.465942116853704,28.593083280853346,29.67558679147125,30.066297989853435,30.106175480045216,32.25915831224356,31.463929153970422,30.21971559105506,32.62049230793302,33.217954180080035,34.3
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),12.446981494447552,14.452662554321678,13.803829957012043,15.049461574869062,16.477993217368855,18.262386789906632,22.89526944725859,23.16321201002922,25.006723175554363,26.487744716471152,24.40477663082381,25.399768475237924,25.432424106112585,25.076330181926284,26.777693983641893,25.818221182618633,24.4930841805103,26.272824492573918,26.450606329673423,27.16
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
