,Metric,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
7,"Household Income: $10,000 to $14,999",FL,442863,447984,441349,423408,402879,387849,380118,360687,351037,319988
8,"Household Income: $100,000 to $124,999",FL,446574,449410,479341,489331,522453,533357,556443,592451,646465,679999
9,"Household Income: $125,000 to $149,999",FL,231442,240529,251380,251324,277082,295708,325589,347442,384194,424429
10,"Household Income: $15,000 to $19,999",FL,435000,455142,458066,427416,433066,423590,396960,392120,377751,336106
11,"Household Income: $150,000 to $199,999",FL,215741,235660,238982,253241,275212,311201,326855,367632,403407,440216
12,"Household Income: $20,000 to $24,999",FL,454272,473543,463599,458363,452545,460310,439214,420934,413800,379345
13,"Household Income: $200,000 or more",FL,219419,235695,258152,282633,295570,328676,368009,414434,466725,530045
14,"Household Income: $25,000 to $29,999",FL,427242,445014,435999,420587,429241,416306,412385,390980,381721,370142
15,"Household Income: $30,000 to $34,999",FL,432168,423304,435069,426891,422766,425260,420447,409671,404479,387179
16,"Household Income: $35,000 to $39,999",FL,398276,390297,392314,393833,386862,393918,400969,393791,378096,361111
17,"Household Income: $40,000 to $44,999",FL,375721,368462,382651,388487,381870,369770,390918,390552,365568,376371
18,"Household Income: $45,000 to $49,999",FL,333504,317265,319182,317942,334796,339181,330999,337451,339901,335811
19,"Household Income: $50,000 to $59,999",FL,594332,588346,589760,606350,621055,621336,635701,640154,636955,651993
20,"Household Income: $60,000 to $74,999",FL,690596,695503,702159,703283,721883,758970,767782,775966,800117,825173
21,"Household Income: $75,000 to $99,999",FL,750571,746683,762824,774887,793770,849139,880905,924971,947939,1013871
22,"Household Income: Less than $10,000",FL,587347,593446,587116,593608,576996,548613,540162,530728,511203,474053
23,Household Income: Total:,FL,7035068,7106283,7197943,7211584,7328046,7463184,7573456,7689964,7809358,7905832
24,Median Household Income,FL,44409.0,44299.0,45040.0,46036.0,47463.0,49426.0,50860.0,52594.0,55462.0,59227.0
