,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Florida (Million cubic feet)",15134,16357,13622,15372,14866,13533,13860,14566,14891,13089,12976,12908,14380,13940,13855,14540,16293,13117,14102,13797,15133,15547,15127,15866,15892,16124,15641,15066,15594,15214,18744,16400,14366,15321,16652,15407,15352,14934,17092,16565,
"Natural gas consumed by (delivered to) the commercial sector, Florida (Million cubic feet)",30182,33702,29788,29228,30481,30674,35829,37492,37834,35105,36306,39264,41727,41151,39935,40383,41810,36700,37659,36269,47904,49286,55803,54283,56321,57690,50625,51097,50901,50371,54065,53532,54659,59971,62612,60233,62526,61313,63805,63355,
"Natural gas consumed by the industrial sector, Florida (Million cubic feet)",101559,111922,94798,82730,78888,75950,65373,68146,82793,84427,86657,87149,89963,102067,120424,128939,133145,127571,124244,136593,107151,96992,84954,74580,64883,64406,71412,67778,69255,65594,81034,90340,104224,103428,94751,96389,103923,103645,108324,119915,
"Natural gas consumed by the electric power sector, Florida (Million cubic feet)",166047,171468,182471,174813,174740,165683,169533,175675,154550,186814,189165,201333,203320,188228,211492,369298,337268,338858,323771,365587,364245,374311,521868,535099,585841,630410,741759,772968,797266,913672,981750,1043786,1138771,1034288,1036754,1156605,1181451,1186912,1266822,1321071,
"Total energy consumption per capita in the residential sector, Florida (Million Btu)",61.1,58.8,57.7,57,59.3,61.9,62.2,61.8,63.5,68.8,67.9,67.6,66.7,66.3,66.6,69.6,70.9,68.6,72.6,70.6,72.4,71.2,74,73.9,71.8,70.8,69.6,68.3,65.7,65.6,67.5,62.5,58.5,58.7,59.3,59.7,58.5,56.1,56.3,54.9,
"Electricity consumed by (i.e., sold to) the residential sector, Florida (Million kilowatthours)",44746,46139,45126,47280,50315,54118,57672,60406,63972,68184,71115,72814,73189,76827,80595,85770,88315,87845,95768,93846,99006,101377,108164,112650,112203,115791,117053,117816,113937,115474,122245,116341,112127,113294,116535,122759,123321,121463,125528,127182,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Florida (Kilowatthours)",4547,4527,4309,4398,4558,4768,4943,5035,5198,5395,5456,5446,5362,5516,5660,5900,5946,5785,6184,5955,6170,6198,6481,6625,6443,6490,6443,6414,6150,6191,6486,6105,5809,5795,5870,6071,5979,5790,5906,5918,
"Distillate fuel oil consumed by the residential sector, Florida (Billion Btu)",7075,5724,4217,2877,3384,3692,3007,4791,3483,2350,1616,1601,2095,1985,1612,1326,1240,845,634,586,693,707,544,667,741,574,488,291,163,220,260,156,79,63,102,81,71,52,57,68,
"Propane consumed by the residential sector, Florida (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9028,7108,5204,4974,5413,5193,5560,6254,6773,6349,
"Distillate fuel oil consumed by the commercial sector, Florida (Billion Btu)",11218,14981,3787,12612,14833,23785,22204,25681,22085,17990,22443,20231,20336,19114,14180,17133,12341,10391,8104,10478,15366,17670,14942,15957,23154,20605,21657,13337,16613,17904,16179,14515,14544,15796,15402,15483,14335,15456,14932,13545,
"Electricity consumed by (i.e., sold to) the commercial sector, Florida (Million kilowatthours)",27422,30934,32759,34189,36992,41290,43985,46570,49875,53205,55769,56993,57278,59576,62388,65201,66255,68879,73087,74790,77900,79455,83279,85257,86765,89410,91300,93931,93205,92275,91614,91778,92038,92145,92926,95847,95547,95004,96265,96567,
"Total energy consumption per capita in the commercial sector, Florida (Million Btu)",39.7,42,41.2,43.3,45.1,50,51.2,51.4,52.5,54.9,56.3,55.5,54.5,53.5,53.2,54.6,54.6,54.8,56.4,57.2,59.2,58.2,59.6,58.5,58.6,57.8,56.9,56.6,55.8,54,52.5,50.9,49.6,49.5,49.1,50.1,49.2,47.3,46.6,45,
