,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,FL,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,5.028,0.0,0.0,0.0,0.0,
2,FL,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,5.956,6855.74,485.89,1097.48,0.0,23.1
3,FL,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,15.632,20658.37,506.78,1002.54,0.0,7.31
4,FL,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,56.934,52901.74,1759.03,497.28,0.0,4.2700000000000005
5,FL,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,14.375,40542.19,1597.93,290.99,0.0,4.66
6,FL,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,1039.193,8170.53,1724.53,74.08,0.1,22.009999999999998
7,FL,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,726.303,21576.84,1896.66,67.15,0.15,9.1
8,FL,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,946.71,30842.63,1780.88,54.27,0.0,5.949999999999999
9,FL,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,2170.702,51580.55,2083.44,90.66,5.02,4.22
10,FL,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,2070.603,124683.0,2084.08,135.32,4.0,1.78
11,FL,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.074,0.0,0.0,0.0,0.0,
12,FL,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.037,0.0,0.0,0.0,0.0,
13,FL,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.073,0.0,0.0,0.0,0.0,
14,FL,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,0.044,0.0,0.0,0.0,0.0,
15,FL,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.396,0.0,0.0,0.0,0.0,
16,FL,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.366,0.0,0.0,0.0,0.0,
17,FL,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.018,0.0,0.0,0.0,0.0,
18,FL,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.137,0.0,0.0,0.0,0.0,
19,FL,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.833,0.0,0.0,0.0,0.0,
20,FL,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.391,0.0,0.0,0.0,0.0,
21,FL,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,9.431,3784.1,121.42,129.02,0.0,6.619999999999999
22,FL,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,7.94,12729.63,629.95,291.69,0.0,7.24
23,FL,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,21.202,23556.96,653.43,201.65,0.0,3.63
24,FL,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,97.575,55654.12,1407.26,956.48,0.0,4.25
25,FL,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,121.609,95060.51,1937.99,1212.02,1.51,3.32
26,FL,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,0.198,0.0,0.0,0.0,0.0,
27,FL,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.005,0.0,0.0,0.0,0.0,
28,FL,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.006,0.0,0.0,0.0,0.0,
29,FL,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,1.365,0.0,0.0,0.0,0.0,
30,FL,OWNER,1940-59,1 ATTACHED,WOOD,400%+,0.466,0.0,0.0,0.0,0.0,
31,FL,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.013,0.0,0.0,0.0,0.0,
32,FL,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.001,0.0,0.0,0.0,0.0,
33,FL,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.001,0.0,0.0,0.0,0.0,
34,FL,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.001,0.0,0.0,0.0,0.0,
35,FL,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.383,0.0,0.0,0.0,0.0,
36,FL,OWNER,1940-59,1 ATTACHED,NONE,0-100%,23.769,6927.28,659.79,0.0,0.0,9.520000000000001
37,FL,OWNER,1940-59,1 ATTACHED,NONE,100-150%,8.868,11611.81,858.55,0.0,0.0,7.39
38,FL,OWNER,1940-59,1 ATTACHED,NONE,150-200%,24.5,22559.89,964.6,448.73,0.0,6.260000000000001
39,FL,OWNER,1940-59,1 ATTACHED,NONE,200-400%,47.707,24701.06,839.19,142.59,0.0,3.9699999999999998
40,FL,OWNER,1940-59,1 ATTACHED,NONE,400%+,79.599,97848.2,1624.71,0.0,0.0,1.66
41,FL,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,4.986,3771.05,2024.83,0.0,99.99,56.35
42,FL,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,2.461,18518.31,635.85,0.0,491.01,6.09
43,FL,OWNER,1940-59,1 ATTACHED,FUEL OIL,150-200%,0.087,0.0,0.0,0.0,0.0,
44,FL,OWNER,1940-59,1 ATTACHED,FUEL OIL,200-400%,1.118,0.0,0.0,0.0,0.0,
45,FL,OWNER,1940-59,1 ATTACHED,FUEL OIL,400%+,5.946,0.0,0.0,0.0,0.0,
46,FL,OWNER,1940-59,1 DETACHED,BOTTLED GAS,0-100%,766.598,7209.94,1345.68,800.22,14.87,29.970000000000002
47,FL,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,810.615,17948.43,1404.47,940.62,32.49,13.25
48,FL,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,808.881,27172.12,1573.68,1064.43,48.41,9.89
49,FL,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,2346.514,51000.3,1689.52,1325.23,17.82,5.949999999999999
50,FL,OWNER,1940-59,1 DETACHED,BOTTLED GAS,400%+,2284.888,131813.99,2013.43,1043.02,17.91,2.33
51,FL,OWNER,1940-59,1 DETACHED,ELECTRICITY,0-100%,40792.085,10264.81,1939.39,76.62,2.77,19.67
52,FL,OWNER,1940-59,1 DETACHED,ELECTRICITY,100-150%,37480.414,23199.62,1976.93,82.44,2.99,8.89
53,FL,OWNER,1940-59,1 DETACHED,ELECTRICITY,150-200%,37950.708,32840.3,1988.75,84.78,3.8,6.329999999999999
54,FL,OWNER,1940-59,1 DETACHED,ELECTRICITY,200-400%,122626.62,55694.72,2046.84,77.78,2.3,3.82
55,FL,OWNER,1940-59,1 DETACHED,ELECTRICITY,400%+,149725.014,142382.78,2261.35,103.12,4.35,1.66
56,FL,OWNER,1940-59,1 DETACHED,OTHER,0-100%,21.764,6109.28,941.96,139.36,45.42,18.44
57,FL,OWNER,1940-59,1 DETACHED,OTHER,100-150%,13.19,9463.87,739.27,37.67,0.0,8.21
58,FL,OWNER,1940-59,1 DETACHED,OTHER,150-200%,20.338,24838.84,1269.1,207.66,0.0,5.949999999999999
59,FL,OWNER,1940-59,1 DETACHED,OTHER,200-400%,46.05,59737.15,1456.31,131.56,10.45,2.68
60,FL,OWNER,1940-59,1 DETACHED,OTHER,400%+,57.194,90093.36,737.64,150.5,0.89,0.9900000000000001
61,FL,OWNER,1940-59,1 DETACHED,SOLAR,0-100%,15.813,461.95,187.53,0.0,0.0,40.6
62,FL,OWNER,1940-59,1 DETACHED,SOLAR,100-150%,10.095,0.0,0.0,0.0,0.0,
63,FL,OWNER,1940-59,1 DETACHED,SOLAR,150-200%,19.139,21120.79,0.0,0.0,0.0,0.0
64,FL,OWNER,1940-59,1 DETACHED,SOLAR,200-400%,60.193,42572.56,1033.01,0.0,0.0,2.4299999999999997
65,FL,OWNER,1940-59,1 DETACHED,SOLAR,400%+,203.035,183164.17,1650.59,243.1,0.0,1.03
66,FL,OWNER,1940-59,1 DETACHED,UTILITY GAS,0-100%,2226.095,9235.26,1635.26,585.27,19.78,24.26
67,FL,OWNER,1940-59,1 DETACHED,UTILITY GAS,100-150%,2046.086,19496.38,1562.66,698.5,28.61,11.74
68,FL,OWNER,1940-59,1 DETACHED,UTILITY GAS,150-200%,2020.252,28356.83,1504.77,784.01,14.73,8.12
69,FL,OWNER,1940-59,1 DETACHED,UTILITY GAS,200-400%,7639.143,52296.42,1726.59,706.48,12.53,4.68
