Operator Name,Operator ID,Operator Type,State,Total Services,Services from Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,FL,968615,61520,4032,3120,15970,52085,69315,78969,156311,226833,263562,36898
Statewide Total,,Cooperative,FL,0,0,0,0,0,0,0,0,0,0,0,0
Statewide Total,,Privately Owned,FL,143946,0,0,0,0,12668,28639,22842,35938,15974,24598,3287
Statewide Total,,Investor Owned,FL,527589,10757,2868,2858,7887,21875,21034,38132,76814,159695,160515,25154
Statewide Total,,Municipal Owned,FL,297080,50763,1164,262,8083,17542,19642,17995,43559,51164,78449,8457
CITY OF JACKSONVILLE BEACH D/B/A BEACHES ENERGY SERVICES,32555,Municipal Owned,FL,372,0,0,0,0,0,0,0,0,0,0,372
PENINSULA PIPELINE COMPANY,32462,Investor Owned,FL,2,0,0,0,0,0,0,0,0,1,1,0
AMERIGAS PROPANE LP,32013,Privately Owned,FL,2548,0,0,0,0,180,386,0,384,1598,0,0
ST JOE NATURAL GAS CO INC,25136,Investor Owned,FL,3326,0,0,0,0,511,154,668,757,471,608,157
"WILLISTON GAS DEPT, CITY OF",22651,Municipal Owned,FL,549,0,0,0,0,0,0,0,0,0,549,0
"TALLAHASSEE, CITY OF",19030,Municipal Owned,FL,34487,15890,0,0,0,0,0,0,11527,1324,4926,820
"SUNRISE, CITY OF",18738,Municipal Owned,FL,9682,0,0,0,0,0,5733,1433,1381,480,634,21
"STARKE NATURAL GAS DEPT, CITY OF",18620,Municipal Owned,FL,1218,240,0,0,0,456,263,136,62,30,22,9
REEDY CREEK UTILITY CO INC,17180,Privately Owned,FL,647,0,0,0,0,0,77,73,330,89,78,0
"QUINCY MUNICIPAL GAS SYSTEM, CITY OF",16010,Municipal Owned,FL,2152,2087,0,0,0,0,0,0,0,44,17,4
"PERRY, CITY OF",15385,Municipal Owned,FL,2392,0,0,0,436,623,402,400,316,26,174,15
PEOPLES GAS SYSTEM INC,15348,Investor Owned,FL,419569,9251,2868,2617,7078,15216,16030,26057,62364,127391,130789,19908
PALATKA GAS AUTH,15042,Municipal Owned,FL,4396,0,0,0,0,846,1215,981,446,204,629,75
OKALOOSA COUNTY GAS DISTRICT,14200,Municipal Owned,FL,55685,0,0,0,4155,5508,3084,4339,13053,10570,12924,2052
FERRELLGAS,13772,Investor Owned,FL,316,0,0,0,0,0,0,0,316,0,0,0
"MILTON, CITY OF",12540,Municipal Owned,FL,5582,3942,0,0,0,0,0,0,0,1123,398,119
"MARIANNA, CITY OF",12150,Municipal Owned,FL,1422,0,0,0,1045,0,0,0,209,79,71,18
"MADISON, CITY OF",12030,Municipal Owned,FL,855,607,0,0,0,0,0,0,158,54,34,2
"LIVE OAK GAS DEPT, CITY OF",11576,Municipal Owned,FL,1458,0,0,0,0,1186,116,116,0,0,40,0
"LEESBURG, CITY OF",11352,Municipal Owned,FL,13285,0,0,0,0,1668,1180,1715,2373,3976,1726,647
"LAKE CITY, CITY OF",11113,Municipal Owned,FL,2091,0,0,0,0,0,0,0,1397,428,228,38
LAKE APOPKA NATURAL GAS DISTRICT,11096,Municipal Owned,FL,26385,4408,0,0,0,0,0,0,2315,7861,10523,1278
"JAY, TOWN OF",9160,Municipal Owned,FL,290,258,0,0,0,0,0,0,0,24,8,0
"JASPER, CITY OF",9130,Municipal Owned,FL,681,0,0,0,0,505,65,101,10,0,0,0
"HAVANA, TOWN OF",7155,Municipal Owned,FL,517,0,0,0,30,47,8,28,64,246,94,0
"GULF BREEZE, CITY OF",6850,Municipal Owned,FL,4715,0,0,0,0,637,638,177,1156,880,1033,194
GAINESVILLE REGIONAL UTIL GAS DEPT,6030,Municipal Owned,FL,37621,12225,0,0,0,1149,1787,4161,5263,7295,5741,0
FORT PIERCE UTILITIES AUTH - GAS DEPT,5460,Municipal Owned,FL,4192,0,0,0,0,769,753,918,1298,51,356,47
FLORIDA PUBLIC UTILITIES CO,5330,Investor Owned,FL,1810,0,0,0,0,0,126,23,27,1043,507,84
FLORIDA PUBLIC UTILITIES CO,5330,Investor Owned,FL,78493,1018,0,241,804,6014,4355,7664,9258,23461,21718,3960
"FLORALA UTILITY BOARD, CITY OF",5290,Municipal Owned,FL,77,0,0,0,0,58,2,4,3,5,3,2
"PENSACOLA, ENERGY SERVICES OF",4475,Municipal Owned,FL,52800,8652,0,0,0,0,0,0,0,12319,30728,1101
"DEFUNIAK SPRINGS NATURAL GAS SYSTEM, CITY OF",3190,Municipal Owned,FL,1093,1018,0,0,0,0,0,0,28,0,47,0
CRESCENT CITY NATURAL GAS,2872,Municipal Owned,FL,1690,0,0,0,0,945,138,188,186,45,166,22
CLEARWATER GAS SYSTEM,2488,Municipal Owned,FL,27895,0,1164,262,1680,2605,4017,2907,2304,4021,7321,1614
FLORIDA CITY GAS,2432,Privately Owned,FL,140751,0,0,0,0,12488,28176,22769,35224,14287,24520,3287
"CHIPLEY, CITY OF",2348,Municipal Owned,FL,823,426,0,0,0,0,0,383,0,0,10,4
"CHATTAHOOCHEE, CITY OF",2289,Municipal Owned,FL,757,0,0,0,737,0,0,0,0,0,20,0
"CENTURY, TOWN OF",2227,Municipal Owned,FL,908,0,0,0,0,540,241,8,10,79,27,3
CENTRAL FLORIDA GAS CORP,2188,Investor Owned,FL,23078,0,0,0,5,134,369,3720,3753,7328,6751,1018
"BLOUNTSTOWN, CITY OF",1544,Municipal Owned,FL,1010,1010,0,0,0,0,0,0,0,0,0,0
"SEBRING GAS SYSTEM, INC",929,Investor Owned,FL,995,488,0,0,0,0,0,0,339,0,141,27
