,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Georgia, Annual (Dollars per Thousand Cubic Feet)",4.64,6.02,4.55,6.25,6.81,9.85,9.37,8.15,9.35,6.56,5.93,5.19,4.35,4.66,5.19,3.83,3.67,4.15,4.02,3.78
"Georgia Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",8.38,10.58,9.86,11.86,13.92,16.76,18.37,17.53,18.26,16.3,15.17,15.72,16.23,14.6,14.45,14.62,14.56,16.93,13.98,14.87
"Georgia Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",7.03,9.19,8.14,9.93,11.43,14.76,14.2,13.21,14.3,11.7,10.95,10.51,9.75,9.38,9.86,8.58,7.92,8.78,8.17,8.21
"Electricity price in the residential sector, Georgia (Dollars per million Btu)",22.27,22.64,22.35,22.58,23.03,25.33,26.11,26.66,29.09,29.69,29.51,32.4,32.75,33.58,34.14,33.82,33.71,34.87,33.62,34.48
"Electricity price in the commercial sector, Georgia (Dollars per million Btu)",19.28,19.6,19.14,19.51,20.17,22.49,22.9,23.64,26.57,26.21,26.54,28.92,28.07,29.27,30.35,28.98,28.76,29.57,28.7,29.37
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),6.888995539862479,8.693027982060753,6.467118204006294,8.683865489130435,9.216110117094034,12.896096370610497,11.884760763651157,10.048865412068833,11.104813615542568,7.816203388250646,6.951807122287643,5.899081330055174,4.843895315916474,5.1141135512895355,5.605217540079843,4.131403912203272,3.90927901502052,4.328046268193982,4.092858917889941,3.78
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),12.441763496561977,15.277780074784513,14.014458349780671,16.478503152173914,18.83821627458869,21.943002555475324,23.300219341331033,21.61430805810634,21.68704776682431,19.421359028732553,17.783965268988794,17.86773767022492,18.07274045455733,16.022759195027298,15.606048835097056,15.770528771909095,15.509292223078685,17.656342968800992,14.23337504281129,14.87
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),10.437422121817505,13.270585906169156,11.56974553420027,13.796925489130436,15.468449139263555,19.324505830478266,18.011056867006022,16.2877928948993,16.98383258847687,13.940484701605573,12.836810790733505,11.94592384949516,10.857006742571409,10.294074058175074,10.64883332277211,9.255207719766076,8.43637324222412,9.156685839697147,8.318073969940503,8.21
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),33.06420919671065,32.69271653054077,31.767053155943007,31.373069239130434,31.166962701420797,33.1632610220877,33.11751371813572,32.871503298865655,34.5496286712442,35.375469298347824,34.59491200315487,36.826634892829986,36.46840726350909,36.85234614856279,36.87131537925353,36.48148310984717,35.907846211537255,36.36601767998172,34.22933254215418,34.48
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),28.624964225980303,28.30288180205827,27.204536796633068,27.10755451086957,27.29646711626824,29.444995672591883,29.04600015876323,29.14787464310518,31.55667355775038,31.229068720434366,31.11314688457235,32.87118151545195,31.257044027074816,32.122339838249935,32.77810257060178,31.260596703825282,30.635112935147184,30.838633289276153,29.22016192622918,29.37
Inflation Adjustment Factor (2019),1.4846973146255342,1.4440245817376667,1.4213446602211635,1.3894184782608696,1.3533201346687276,1.3092483624985276,1.2683842864088748,1.2329896211127402,1.187680600592788,1.1914944189406473,1.1723114877382197,1.1366245337293206,1.1135391530842471,1.0974492599333767,1.0800033795914918,1.0786955384342747,1.0651986416949646,1.0429027152274655,1.018124108927846,1.0
