,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Georgia (Million cubic feet)",90240,91934,86822,91376,95299,84033,89171,100630,108125,103681,90263,96662,108214,115655,105436,114670,127062,114383,107398,98777,140838,119969,126667,129907,126492,124560,110245,111895,119375,118589,138671,113335,97664,121629,134482,118028,115922,111249,133085,123249,
"Natural gas consumed by (delivered to) the commercial sector, Georgia (Million cubic feet)",58763,57139,54718,56280,55909,51519,50405,54592,55963,53089,49486,51036,53861,57525,54051,56536,61377,57220,55419,43581,58793,50645,48631,50273,55047,52902,48137,48591,51518,53627,60153,56602,51918,57195,59052,53745,51327,49193,56539,53611,
"Natural gas consumed by the industrial sector, Georgia (Million cubic feet)",155158,157090,144414,140285,149517,140009,128420,141201,150448,153088,161992,167098,172227,167388,173839,183680,181767,174746,164499,153867,166126,137899,143152,159406,160559,156202,159614,152674,150773,140326,146737,144940,146481,157982,160842,157937,152311,150172,158445,155992,
"Natural gas consumed by the electric power sector, Georgia (Million cubic feet)",3666,2786,1509,1633,608,885,5803,826,1569,684,1932,838,1162,3026,1340,11097,5776,17054,33351,32505,42034,34666,56588,32258,45926,72267,95407,121726,96316,142467,175082,196492,308096,279506,289972,355698,379284,370074,373647,427142,
"Total energy consumption per capita in the residential sector, Georgia (Million Btu)",66.1,63.6,63.4,63.3,67,66,68.4,69.9,71.2,72.4,66.1,66.6,67.4,73,68,74.2,78.8,74.3,76.3,73,79.9,74.5,77.5,78.9,81.8,80,77.8,78.7,77.6,75.5,84.4,76.2,67.8,68.8,73.7,68.4,68.9,63.9,70.2,67.4,
"Electricity consumed by (i.e., sold to) the residential sector, Georgia (Million kilowatthours)",20033,20207,20147,20726,22570,23505,25808,26991,27609,28349,29933,30187,30528,33867,32735,35812,37763,36831,41519,41767,44560,44380,48600,48174,51124,52827,54521,56223,55587,55158,61554,57750,53660,53544,57167,56422,57889,54771,59689,59331,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Georgia (Kilowatthours)",3652,3629,3566,3618,3868,3942,4241,4347,4371,4422,4596,4537,4478,4853,4574,4887,5034,4792,5280,5191,5416,5298,5712,5587,5830,5918,5955,6013,5848,5733,6338,5891,5418,5368,5676,5541,5616,5258,5674,5583,
"Distillate fuel oil consumed by the residential sector, Georgia (Billion Btu)",3365,1069,947,1310,1540,2299,2365,2280,1719,1728,1729,1203,1203,1463,730,955,878,460,544,318,417,354,320,225,234,242,178,164,187,159,122,141,57,133,73,68,79,61,104,43,
"Propane consumed by the residential sector, Georgia (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12671,9562,11471,7929,9603,8550,8312,7002,8733,8750,
"Distillate fuel oil consumed by the commercial sector, Georgia (Billion Btu)",1838,7148,6063,12590,14807,10054,6444,6679,8021,6312,8793,5815,7030,7043,6702,8455,6727,5056,4166,7047,7202,9376,5973,5477,6268,4908,4719,4828,4362,5386,6193,6272,8584,8932,9179,9426,10075,8855,8094,6245,
"Electricity consumed by (i.e., sold to) the commercial sector, Georgia (Million kilowatthours)",11965,12832,13476,13752,15598,17009,18249,19400,20684,22248,23715,24086,24594,26166,27149,28793,30273,31352,34026,35536,38443,39364,40401,40554,42316,44663,45547,46997,46876,46080,47897,46930,45937,45353,46608,47151,47762,46265,47312,47412,
"Total energy consumption per capita in the commercial sector, Georgia (Million Btu)",38,39.3,39.7,41.4,44.5,44.4,45,46.6,48.3,50.3,48.5,48,48.4,50.1,50.1,53.4,56,56.6,56.9,55.8,59.8,58.7,56.9,58.5,61,61,59.5,60.3,59.5,57.3,59.9,57.6,54.3,53.3,54.6,54.2,54,51.2,52.3,50.7,
