,State,Tenure,Year Built,Structure Type,Heating Fuel,Federal Poverty Line,Units,Household Income,Electricity Payments ($),Gas Payments ($),Fuel Oil Payments ($),Energy Burden (% Income)
1,GA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,0-100%,9.067,0.0,1591.59,550.73,283.05,inf
2,GA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,100-150%,0.807,0.0,0.0,0.0,0.0,
3,GA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,150-200%,4.533,8476.45,242.58,319.93,68.77,7.449999999999999
4,GA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,200-400%,38.36,61126.88,1111.42,1438.91,82.43,4.31
5,GA,OWNER,1940-59,1 ATTACHED,BOTTLED GAS,400%+,27.561,60663.86,1979.19,1210.01,64.32,5.36
6,GA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,0-100%,64.834,4181.57,1312.59,0.0,0.0,31.39
7,GA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,100-150%,124.147,22715.21,2109.6,315.54,0.0,10.68
8,GA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,150-200%,106.625,27679.35,1786.81,887.39,11.98,9.700000000000001
9,GA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,200-400%,276.102,40807.01,1515.74,396.76,9.22,4.71
10,GA,OWNER,1940-59,1 ATTACHED,ELECTRICITY,400%+,267.051,70778.62,1020.94,151.81,4.85,1.66
11,GA,OWNER,1940-59,1 ATTACHED,OTHER,0-100%,0.726,0.0,0.0,0.0,0.0,
12,GA,OWNER,1940-59,1 ATTACHED,OTHER,100-150%,0.338,0.0,0.0,0.0,0.0,
13,GA,OWNER,1940-59,1 ATTACHED,OTHER,150-200%,0.163,0.0,0.0,0.0,0.0,
14,GA,OWNER,1940-59,1 ATTACHED,OTHER,200-400%,1.054,0.0,0.0,0.0,0.0,
15,GA,OWNER,1940-59,1 ATTACHED,OTHER,400%+,0.611,0.0,0.0,0.0,0.0,
16,GA,OWNER,1940-59,1 ATTACHED,SOLAR,0-100%,0.001,0.0,0.0,0.0,0.0,
17,GA,OWNER,1940-59,1 ATTACHED,SOLAR,100-150%,0.0,0.0,0.0,0.0,0.0,
18,GA,OWNER,1940-59,1 ATTACHED,SOLAR,150-200%,0.0,0.0,0.0,0.0,0.0,
19,GA,OWNER,1940-59,1 ATTACHED,SOLAR,200-400%,0.001,0.0,0.0,0.0,0.0,
20,GA,OWNER,1940-59,1 ATTACHED,SOLAR,400%+,0.481,0.0,0.0,0.0,0.0,
21,GA,OWNER,1940-59,1 ATTACHED,UTILITY GAS,0-100%,156.863,7722.22,1311.13,971.98,119.56,31.11
22,GA,OWNER,1940-59,1 ATTACHED,UTILITY GAS,100-150%,141.374,15305.18,1117.56,943.67,0.0,13.469999999999999
23,GA,OWNER,1940-59,1 ATTACHED,UTILITY GAS,150-200%,93.017,19290.01,945.88,583.45,0.0,7.93
24,GA,OWNER,1940-59,1 ATTACHED,UTILITY GAS,200-400%,262.593,46128.7,1432.3,1773.25,0.1,6.950000000000001
25,GA,OWNER,1940-59,1 ATTACHED,UTILITY GAS,400%+,498.436,144399.56,1542.8,1467.72,1.1,2.09
26,GA,OWNER,1940-59,1 ATTACHED,WOOD,0-100%,0.237,0.0,0.0,0.0,0.0,
27,GA,OWNER,1940-59,1 ATTACHED,WOOD,100-150%,0.057,0.0,0.0,0.0,0.0,
28,GA,OWNER,1940-59,1 ATTACHED,WOOD,150-200%,0.076,0.0,0.0,0.0,0.0,
29,GA,OWNER,1940-59,1 ATTACHED,WOOD,200-400%,7.943,55757.72,3948.85,0.0,0.0,7.08
30,GA,OWNER,1940-59,1 ATTACHED,WOOD,400%+,4.762,55391.0,3909.13,0.0,0.0,7.06
31,GA,OWNER,1940-59,1 ATTACHED,COAL,0-100%,0.008,0.0,0.0,0.0,0.0,
32,GA,OWNER,1940-59,1 ATTACHED,COAL,100-150%,0.0,0.0,0.0,0.0,0.0,
33,GA,OWNER,1940-59,1 ATTACHED,COAL,150-200%,0.0,0.0,0.0,0.0,0.0,
34,GA,OWNER,1940-59,1 ATTACHED,COAL,200-400%,0.0,0.0,0.0,0.0,0.0,
35,GA,OWNER,1940-59,1 ATTACHED,COAL,400%+,0.0,0.0,0.0,0.0,0.0,
36,GA,OWNER,1940-59,1 ATTACHED,NONE,0-100%,2.962,7362.19,4236.51,1181.93,0.0,73.6
37,GA,OWNER,1940-59,1 ATTACHED,NONE,100-150%,0.023,0.0,0.0,0.0,0.0,
38,GA,OWNER,1940-59,1 ATTACHED,NONE,150-200%,0.001,0.0,0.0,0.0,0.0,
39,GA,OWNER,1940-59,1 ATTACHED,NONE,200-400%,0.263,0.0,0.0,0.0,0.0,
40,GA,OWNER,1940-59,1 ATTACHED,NONE,400%+,0.285,0.0,0.0,0.0,0.0,
41,GA,OWNER,1940-59,1 ATTACHED,FUEL OIL,0-100%,1.06,0.0,0.0,0.0,0.0,
42,GA,OWNER,1940-59,1 ATTACHED,FUEL OIL,100-150%,0.022,0.0,0.0,0.0,0.0,
43,GA,OWNER,1940-59,1 ATTACHED,FUEL OIL,150-200%,0.023,0.0,0.0,0.0,0.0,
44,GA,OWNER,1940-59,1 ATTACHED,FUEL OIL,200-400%,0.136,0.0,0.0,0.0,0.0,
45,GA,OWNER,1940-59,1 ATTACHED,FUEL OIL,400%+,0.101,0.0,0.0,0.0,0.0,
46,GA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,0-100%,1964.358,9305.19,1436.12,1439.36,27.31,31.2
47,GA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,100-150%,1539.569,18233.95,1529.11,2030.59,37.5,19.73
48,GA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,150-200%,1448.699,27214.75,1511.43,1690.66,40.92,11.92
49,GA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,200-400%,3580.584,48453.05,1727.44,1474.73,47.63,6.710000000000001
50,GA,OWNER,1940-59,1 DETACHED,BOTTLED GAS,400%+,2568.785,107092.65,1789.63,1384.55,26.04,2.9899999999999998
51,GA,OWNER,1940-59,1 DETACHED,ELECTRICITY,0-100%,9651.119,10084.91,2052.29,269.58,8.05,23.1
52,GA,OWNER,1940-59,1 DETACHED,ELECTRICITY,100-150%,8666.895,23679.33,2065.15,245.03,10.14,9.8
53,GA,OWNER,1940-59,1 DETACHED,ELECTRICITY,150-200%,8156.498,32267.54,2182.0,209.88,9.86,7.4399999999999995
54,GA,OWNER,1940-59,1 DETACHED,ELECTRICITY,200-400%,21660.755,52635.8,2158.64,259.14,11.72,4.62
55,GA,OWNER,1940-59,1 DETACHED,ELECTRICITY,400%+,19371.19,126481.2,2123.12,325.57,5.57,1.94
56,GA,OWNER,1940-59,1 DETACHED,OTHER,0-100%,28.143,4268.15,532.29,2588.29,138.13,76.35
57,GA,OWNER,1940-59,1 DETACHED,OTHER,100-150%,23.758,5150.55,195.04,130.82,0.0,6.329999999999999
58,GA,OWNER,1940-59,1 DETACHED,OTHER,150-200%,8.712,13370.76,515.56,327.42,0.0,6.3
59,GA,OWNER,1940-59,1 DETACHED,OTHER,200-400%,144.058,47694.56,1632.12,605.23,39.83,4.77
60,GA,OWNER,1940-59,1 DETACHED,OTHER,400%+,57.887,105498.78,2269.22,347.75,321.26,2.79
61,GA,OWNER,1940-59,1 DETACHED,SOLAR,0-100%,7.431,5035.21,1290.32,0.0,0.0,25.629999999999995
62,GA,OWNER,1940-59,1 DETACHED,SOLAR,100-150%,0.594,0.0,0.0,0.0,0.0,
63,GA,OWNER,1940-59,1 DETACHED,SOLAR,150-200%,0.223,0.0,0.0,0.0,0.0,
64,GA,OWNER,1940-59,1 DETACHED,SOLAR,200-400%,3.232,0.0,0.0,0.0,0.0,
65,GA,OWNER,1940-59,1 DETACHED,SOLAR,400%+,7.14,174737.4,1097.03,1329.16,0.0,1.39
66,GA,OWNER,1940-59,1 DETACHED,UTILITY GAS,0-100%,9073.246,9349.69,1513.46,1039.26,12.97,27.439999999999998
67,GA,OWNER,1940-59,1 DETACHED,UTILITY GAS,100-150%,8758.907,20398.1,1442.86,1046.78,14.24,12.280000000000001
68,GA,OWNER,1940-59,1 DETACHED,UTILITY GAS,150-200%,8614.363,29524.74,1505.46,1042.63,13.4,8.68
69,GA,OWNER,1940-59,1 DETACHED,UTILITY GAS,200-400%,27306.043,52190.89,1575.38,1059.41,12.67,5.07
