,FIP,Total Units,Average Household Income,Annual Energy Expenditures,Energy Burden,Annual Electricity Expenditures,Annual Gas Expenditures,Annual Fuel Oil Expenditures
0,13001950100,1136,66807,2688,0.040235304683640935,2457.8,225.1,5.0
1,13001950200,1564,46395,2353,0.05071667205517836,2151.7,195.8,5.6
2,13001950300,1858,48096,2470,0.05135562208915502,2166.8,299.1,4.5
3,13001950400,640,50451,2490,0.049354819527858716,2191.6,293.7,5.0
4,13001950500,1484,57314,2560,0.04466622465715183,2337.2,217.7,5.5
5,13003960100,721,49549,2322,0.04686270156814466,2157.0,159.6,5.7
6,13003960200,1554,46671,2322,0.049752522980009,2202.2,111.6,8.0
7,13003960300,510,56826,2108,0.037095695632280996,1925.1,174.5,8.2
8,13005970100,1097,56405,2263,0.04012055668823686,1988.6,268.7,5.6
9,13005970201,1489,48762,2254,0.046224519092736144,2047.2,201.9,5.0
10,13005970202,1380,43112,2304,0.05344219706810169,2081.3,216.9,6.3
11,13007960100,826,50286,3127,0.06218430577098994,2779.5,334.5,12.9
12,13007960200,559,58184,2616,0.04496081396947615,2361.3,247.2,7.6
13,13009970100,2129,69085,2770,0.04009553448650213,2308.1,450.4,11.3
14,13009970200,2758,61552,2492,0.040486093059526905,2135.5,346.6,9.5
15,13009970300,2301,72289,2655,0.03672757957642241,2372.9,273.7,8.7
16,13009970400,2002,41805,2133,0.051022604951560815,1711.1,414.4,7.2
17,13009970500,1963,38132,2031,0.053262351830483584,1709.6,314.5,6.5
18,13009970600,1566,35149,2700,0.0768158411334604,2111.8,575.7,12.1
19,13009970701,632,38542,3107,0.0806133568574542,2670.1,427.6,9.1
20,13009970702,669,47839,2783,0.05817429294090595,2387.5,386.8,8.8
21,13009970800,2102,51140,2945,0.05758701603441533,2255.6,673.5,15.4
22,13011970100,1992,56153,2595,0.0462130251277759,2056.1,518.9,19.8
23,13011970200,1722,52465,2835,0.054036024016010674,2315.2,499.6,19.9
24,13011970300,1668,58017,2443,0.042108347553303345,1921.4,500.7,20.5
25,13011970400,1221,52537,2412,0.04591050117060357,2081.5,313.3,17.7
26,13013180103,1796,96104,2430,0.02528510779988346,1912.6,508.8,8.9
27,13013180104,613,52969,2115,0.03992901508429459,1963.2,142.3,9.6
28,13013180105,871,83458,2680,0.03211196050708141,2323.9,342.8,13.3
29,13013180106,929,68298,2484,0.036370025476587894,2259.3,211.8,13.4
30,13013180107,1339,60148,2103,0.0349637560683647,1922.6,171.1,9.2
31,13013180108,994,66482,2246,0.033783580518034956,1974.2,258.4,13.3
32,13013180203,1176,38157,2260,0.059228975024241945,1744.8,505.0,10.5
