,State,County,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,ID,Ada,All Sectors,Ammonia,CAP,1572.1765304876283,TON
1,ID,Ada,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
2,ID,Ada,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
3,ID,Ada,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
4,ID,Ada,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
5,ID,Ada,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
6,ID,Ada,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
7,ID,Ada,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
8,ID,Ada,All Sectors,Methane,GHG,652.3865594416856,TON
9,ID,Ada,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
10,ID,Adams,All Sectors,Ammonia,CAP,1572.1765304876283,TON
11,ID,Adams,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
12,ID,Adams,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
13,ID,Adams,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
14,ID,Adams,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
15,ID,Adams,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
16,ID,Adams,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
17,ID,Adams,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
18,ID,Adams,All Sectors,Methane,GHG,652.3865594416856,TON
19,ID,Adams,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
20,ID,Bannock,All Sectors,Ammonia,CAP,1572.1765304876283,TON
21,ID,Bannock,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
22,ID,Bannock,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
23,ID,Bannock,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
24,ID,Bannock,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
25,ID,Bannock,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
26,ID,Bannock,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
27,ID,Bannock,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
28,ID,Bannock,All Sectors,Methane,GHG,652.3865594416856,TON
29,ID,Bannock,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
30,ID,Bear Lake,All Sectors,Ammonia,CAP,1572.1765304876283,TON
31,ID,Bear Lake,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
32,ID,Bear Lake,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
33,ID,Bear Lake,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
34,ID,Bear Lake,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
35,ID,Bear Lake,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
36,ID,Bear Lake,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
37,ID,Bear Lake,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
38,ID,Bear Lake,All Sectors,Methane,GHG,652.3865594416856,TON
39,ID,Bear Lake,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
