,State,Sector,Pollutant,Pollutant Type,Total Emissions,Emissions Unit of Measure
0,ID,All Sectors,Ammonia,CAP,1572.1765304876283,TON
1,ID,All Sectors,Carbon Monoxide,CAP,23389.794826733545,TON
2,ID,All Sectors,Nitrogen Oxides,CAP,5814.642125349478,TON
3,ID,All Sectors,PM10 Primary (Filt + Cond),CAP,14381.787085167862,TON
4,ID,All Sectors,PM2.5 Primary (Filt + Cond),CAP,3255.870724767114,TON
5,ID,All Sectors,Sulfur Dioxide,CAP,30.857600066083847,TON
6,ID,All Sectors,Volatile Organic Compounds,CAP,64554.795496089864,TON
7,ID,All Sectors,Carbon Dioxide,GHG,2447440.7033610493,TON
8,ID,All Sectors,Methane,GHG,652.3865594416856,TON
9,ID,All Sectors,Nitrous Oxide,GHG,25.675789978967998,TON
10,ID,Agriculture - Crops & Livestock Dust,PM10 Primary (Filt + Cond),CAP,445.4217644174,TON
11,ID,Agriculture - Crops & Livestock Dust,PM2.5 Primary (Filt + Cond),CAP,648.3868894808099,TON
12,ID,Agriculture - Fertilizer Application,Ammonia,CAP,1242.1,TON
13,ID,Agriculture - Livestock Waste,Ammonia,CAP,163.2075532143,TON
14,ID,Biogenics - Vegetation and Soil,Carbon Monoxide,CAP,1619.87,TON
15,ID,Biogenics - Vegetation and Soil,Nitrogen Oxides,CAP,670.1557,TON
16,ID,Biogenics - Vegetation and Soil,Volatile Organic Compounds,CAP,63136.383,TON
17,ID,Commercial Cooking,Carbon Monoxide,CAP,1.5337260499999998,TON
18,ID,Commercial Cooking,PM10 Primary (Filt + Cond),CAP,2.63533353,TON
19,ID,Commercial Cooking,PM2.5 Primary (Filt + Cond),CAP,5.776637904,TON
20,ID,Commercial Cooking,Volatile Organic Compounds,CAP,3.8154422589999997,TON
21,ID,Dust - Construction Dust,PM10 Primary (Filt + Cond),CAP,728.6484230000001,TON
22,ID,Dust - Construction Dust,PM2.5 Primary (Filt + Cond),CAP,51.62834616,TON
23,ID,Dust - Paved Road Dust,PM10 Primary (Filt + Cond),CAP,221.6556,TON
24,ID,Dust - Paved Road Dust,PM2.5 Primary (Filt + Cond),CAP,18.49513,TON
25,ID,Dust - Unpaved Road Dust,PM10 Primary (Filt + Cond),CAP,8674.306999999999,TON
26,ID,Dust - Unpaved Road Dust,PM2.5 Primary (Filt + Cond),CAP,267.8615,TON
27,ID,Fires - Agricultural Field Burning,PM2.5 Primary (Filt + Cond),CAP,8.964392,TON
28,ID,Fires - Agricultural Field Burning,Sulfur Dioxide,CAP,4.9096095,TON
29,ID,Fires - Agricultural Field Burning,Volatile Organic Compounds,CAP,21.89171,TON
30,ID,Fires - Prescribed Fires,Ammonia,CAP,131.236337,TON
31,ID,Fires - Prescribed Fires,Carbon Monoxide,CAP,258.69678899999997,TON
32,ID,Fires - Prescribed Fires,Nitrogen Oxides,CAP,45.377336,TON
33,ID,Fires - Prescribed Fires,PM2.5 Primary (Filt + Cond),CAP,1039.35646,TON
