,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Natural Gas Citygate Price in Idaho, Annual (Dollars per Thousand Cubic Feet)",4.02,4.85,3.66,4.27,5.69,7.95,7.27,6.68,7.48,5.63,4.82,4.65,4.07,3.93,4.29,3.95,3.21,2.9,2.44,2.46
"Idaho Price of Natural Gas Delivered to Residential Consumers, Annual (Dollars per Thousand Cubic Feet)",6.28,8.48,8.41,7.59,9.04,10.59,12.25,11.47,11.07,10.54,8.95,8.8,8.26,8.12,8.54,8.59,8.14,7.65,7.11,6.5
"Idaho Price of Natural Gas Sold to Commercial Consumers, Annual (Dollars per Thousand Cubic Feet)",5.48,7.58,7.73,6.93,8.37,9.86,11.49,10.67,10.28,9.77,8.21,8.09,7.35,7.29,7.7,7.59,7.12,6.62,6.03,5.44
"Electricity price in the residential sector, Idaho (Dollars per million Btu)",15.79,17.6,19.31,18.3,17.89,18.43,18.2,18.64,20.49,22.86,23.4,23.08,25.4,27.33,28.5,29.1,29.18,29.43,29.74,28.98
"Electricity price in the commercial sector, Idaho (Dollars per million Btu)",12.4,14.97,16.68,16.3,15.73,15.88,15.11,15.07,16.77,19.01,19.46,18.8,20.12,21.59,22.79,22.86,22.73,23.4,23.25,22.47
Natural Gas Citygate Price $/Tcf (Inflation Adjusted to 2019 USD),2.707622597818136,3.3586685859348413,2.5750263834181486,3.0732281647389232,4.2044745025483765,6.072186322867324,5.731701407767559,5.417726058368179,6.297989540509988,4.725158515644252,4.111535245039175,4.091060734667694,3.655012927679316,3.5810311633346767,3.9722097921792434,3.661830293405515,3.0135224307948665,2.780700402498699,2.3965644056592335,2.46
Natural Gas Residential Price $/Tcf (Inflation Adjusted to 2019 USD),4.229818386641268,5.872476207985042,5.916932208892522,5.4627170422408495,6.679868102467015,8.088610460272323,9.657956292318103,9.302592498425602,9.320687729070263,8.846033881863306,7.634489718485603,7.74222246560768,7.417790364282838,7.398975329841621,7.907382663219285,7.9633220811021195,7.641767160956453,7.335295889350018,6.983431526326701,6.5
Natural Gas Commercial Price $/Tcf (Inflation Adjusted to 2019 USD),3.690988018916266,5.249218119873422,5.438512006508822,4.987698169002515,6.184789382483287,7.53103863439897,9.058768799896734,8.653763030357556,8.655525732144742,8.199786624839136,7.00325816634266,7.1175658803143325,6.600576171607609,6.642676127407071,7.129607319296078,7.036276437201989,6.684199285750608,6.3476678153591,5.922657117264418,5.44
Electricity Residential Price $/MMBtu (Inflation Adjusted to 2019 USD),10.635164382972231,12.188158167516127,13.585726629454767,13.170977848881101,13.219340747028198,14.076779110747772,14.348963634301182,15.117726605985458,17.252113059498615,19.18598999425002,19.960565297493083,20.30573801207105,22.81015438895691,24.903201448838853,26.388806311680288,26.977028237493794,27.393951567163302,28.219314774323006,29.21058419028918,28.98
Electricity Commercial Price $/MMBtu (Inflation Adjusted to 2019 USD),8.351870699737535,10.366859532256614,11.735366140823693,11.731526717855845,11.623266067677672,12.129096705299762,11.912793434851146,12.222325104731805,14.119957833469584,15.954753709129173,16.599683790137412,16.54020254016186,18.068515996291854,19.672891301881847,21.10178581905943,21.19226341955698,21.338742944538104,22.43737566154123,22.836115750646385,22.47
Inflation Adjustment Factor (2019),0.6735379596562528,0.692508986790689,0.7035591211524996,0.7197255655126285,0.7389234626622805,0.7637970217443175,0.7884045952912737,0.8110368350850568,0.8419772112981267,0.8392821519794409,0.853015611003978,0.8797980074554181,0.8980375743683823,0.9112038583548795,0.9259230284800101,0.9270456439001303,0.9387920345155347,0.9588622077581722,0.9821985269095219,1.0
