,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Natural gas consumed by (delivered to) the residential sector, Idaho (Million cubic feet)",7387,6711,6861,6510,7339,7759,7283,7007,7683,8783,8569,10223,9659,12557,12285,13003,14941,15239,16002,17912,19131,19118,20399,18940,20682,21603,22450,23419,27532,25531,23975,26666,23924,27370,24616,23482,24889,28799,27487,30803,
"Natural gas consumed by (delivered to) the commercial sector, Idaho (Million cubic feet)",5756,5422,5729,5758,8493,8999,8543,7618,8252,9024,8535,9582,8932,10675,10088,10360,11506,11433,11676,12618,13414,13623,13592,12019,12995,13231,13573,14274,16333,15740,15033,16855,15838,18485,16963,16708,17598,19777,19113,20971,
"Natural gas consumed by the industrial sector, Idaho (Million cubic feet)",31653,28885,24275,20135,19140,19461,16279,18956,20710,22903,23327,26662,27044,29146,29781,34024,34577,34999,34303,33846,32464,30435,28729,24689,23907,22852,23488,24119,25191,24256,24195,25392,29781,27996,28046,31680,34811,35916,34818,38672,
"Natural gas consumed by the electric power sector, Idaho (Million cubic feet)",46,16,5,9,5,24,5,4,0,0,0,0,0,0,0,0,183,1781,1769,1749,1712,10479,2720,9596,11892,11425,9611,12504,12530,12575,12375,8299,13599,24860,18370,27710,23311,20924,23683,31409,
"Total energy consumption per capita in the residential sector, Idaho (Million Btu)",76.3,76.4,79.5,77.2,80.7,82.6,77,71.2,75.5,80.9,79.6,83,76.7,82.9,78.7,77.2,79.9,79.4,77.1,81.6,84.4,79.1,79.9,76.3,79.6,84.1,85.2,85.7,88.5,82.1,76.9,79.1,73.1,78.8,73.5,74.4,73,78.1,74.1,76.5,
"Electricity consumed by (i.e., sold to) the residential sector, Idaho (Million kilowatthours)",4936,5148,5499,5212,5710,5780,5433,5209,5449,5713,5626,5971,5739,6245,6222,6193,6508,6628,6610,6806,7006,6906,7056,7090,7314,7601,8057,8339,8540,8554,8137,8390,8159,8619,8135,8055,8172,8728,8428,8697,
"Electricity consumed by (i.e., sold to) the residential sector per capita, Idaho (Kilowatthours)",5207,5350,5648,5308,5763,5815,5486,5288,5528,5745,5557,5734,5355,5632,5433,5260,5409,5395,5278,5336,5392,5232,5264,5200,5255,5322,5486,5541,5566,5503,5180,5296,5113,5347,4984,4874,4853,5075,4810,4861,
"Distillate fuel oil consumed by the residential sector, Idaho (Billion Btu)",2826,2464,1609,3418,2893,3312,3421,2984,3260,3064,3118,3302,2745,3165,2571,2561,2273,2529,2167,2767,2305,2127,2039,1880,2410,1874,2167,1435,1317,988,905,1051,821,755,730,713,739,651,510,392,
"Propane consumed by the residential sector, Idaho (Billion Btu)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3917,3991,3205,4852,3537,3063,3219,4201,3848,5317,
"Distillate fuel oil consumed by the commercial sector, Idaho (Billion Btu)",1270,709,2730,2315,1959,1909,1538,2194,2285,1912,2004,2036,1996,1733,2165,2280,2646,2043,2398,2996,2514,2162,1911,1780,2331,1955,1658,1488,1294,1446,2255,2380,2159,2076,2115,1948,2492,2121,2297,3037,
"Electricity consumed by (i.e., sold to) the commercial sector, Idaho (Million kilowatthours)",3973,4868,4638,4323,4204,4592,4435,4611,4909,4965,5212,5166,5718,5253,6010,5584,6231,6285,6273,6745,7420,6885,7292,5466,5484,5615,5813,6015,6049,6005,5865,5969,5978,6250,6128,6264,6279,6421,6437,6441,
"Total energy consumption per capita in the commercial sector, Idaho (Million Btu)",62.7,67.4,66.5,61.8,61.9,65.5,61.8,63,69.4,71.9,73,72.4,75,68.1,73,67.2,73.4,70.9,69.8,75.4,80.5,72.7,75.3,56.5,56.8,57.1,56.8,57.6,57.5,54.5,52.8,53.8,52.1,54.6,53.3,53.9,53.1,53.7,52,51.7,
